Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Theropithecus_gelada	Papio_hamadryas	10938.3	22243.17	12.5784127639	0.511483513798676	0.10360016493991	0.985754903155849	0.956227199241061	4.72098136273592	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Papio_hamadryas	5267.5	22243.17	22.4016461419	0.768056186465371	0.184507718007719	0.99418295405941	0.987568691610391	4.11098381867767	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	14187.56	5267.5	10.9824679321	0.403583909597812	0.0904554104376569	0.96152182459732	0.906009137219441	4.04233100000551	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	5267.5	20667.9	22.401646142	0.696783837930479	0.184507718008542	0.987650489293419	0.976652550836525	3.6882777590093	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Chlorocebus_pygerythrus	22243.17	5060.5	29.8369393138	0.777421803881257	0.245747368307332	0.984430164257172	0.981068775424739	3.10361108798706	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Chlorocebus_pygerythrus	20667.9	5060.5	29.8369393139	0.706149455346365	0.245747368308156	0.971986074942641	0.966970570663574	2.77856787037416	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Semnopithecus_vetulus	22243.17	3876.04	38.5936741539	0.831012138202127	0.317870869960345	0.976998564264204	0.982536021263702	2.56865110034405	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Mandrillus_sphinx	10938.3	20667.9	18.570805318	0.440211165263785	0.152955585901384	0.917453536633824	0.870631309335296	2.50570530614507	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Semnopithecus_vetulus	20667.9	3876.04	38.593674154	0.759739789667236	0.317870869961168	0.962330237653873	0.970215456560526	2.31890165647844	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Colobus_guereza	22243.17	9561.58	38.5936741539	0.573772561184176	0.317870869960345	0.883509753059587	0.899214214050774	1.62312590239393	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Papio_hamadryas	141.05	22243.17	78.0653383526	1	0.642973170083161	0.945586770581032	0.991682336158846	1.54233859560669	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Papio_hamadryas	306.06	22243.17	78.0653383522	0.992534200339153	0.642973170079866	0.943760045209746	0.991186217787478	1.53005796483963	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Papio_hamadryas	560.8	22243.17	78.0653383521	0.981008609128898	0.642973170079043	0.940839914101698	0.990368314493112	1.51104258768182	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Macaca_arctoides	Papio_hamadryas	14187.56	22243.17	22.401646142	0.364472276867558	0.184507718008542	0.80937732997161	0.764450488745926	1.51007780700451	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Leontopithecus_chrysomelas	Papio_hamadryas	586.16	22243.17	78.0653383536	0.97986120788413	0.642973170091397	0.940542441775379	0.990283297124433	1.50914568881606	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Sapajus_apella	Papio_hamadryas	1574.3	22243.17	78.0653383489	0.93515327941392	0.642973170052686	0.927949292604412	0.986404299840475	1.43464651215264	390.753923263225	387.43414739611	3.31977586711486	OU	Cebidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Mandrillus_sphinx	141.05	20667.9	78.0653383527	0.928727651465108	0.642973170083984	0.925971579088122	0.985746686495526	1.42383889046089	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Mandrillus_sphinx	306.06	20667.9	78.0653383523	0.921261851804261	0.64297317008069	0.923618217522998	0.984947508674337	1.41124794625169	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Mandrillus_sphinx	560.8	20667.9	78.0653383522	0.909736260594006	0.642973170079866	0.919865657297467	0.983636202335757	1.39173695286021	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Mandrillus_sphinx	586.16	20667.9	78.0653383537	0.908588859349239	0.642973170092221	0.91948402017451	0.98350032104237	1.38978961554077	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Mandrillus_sphinx	Colobus_guereza	20667.9	9561.58	38.593674154	0.502500212649284	0.317870869961168	0.830774418639404	0.84934134032317	1.34266535394187	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Chlorocebus_pygerythrus	14187.56	5060.5	29.836939314	0.412949527013698	0.245747368308979	0.801151182166275	0.787460512905317	1.32323470474509	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Nomascus_concolor	22243.17	6475.67	62.1515760359	0.713393104371888	0.511901910793887	0.875929835542017	0.944243391111282	1.31590976682004	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Sapajus_apella	Mandrillus_sphinx	1574.3	20667.9	78.065338349	0.863880930879029	0.64297317005351	0.903427641790146	0.977374003563717	1.31317262265441	390.753923263225	387.43414739611	3.31977586711486	OU	Cebidae	PLA	Cercopithecidae	OWM	order
Macaca_arctoides	Semnopithecus_vetulus	14187.56	3876.04	38.5936741541	0.466539861334569	0.317870869961992	0.798157299974548	0.817913466983278	1.20045361663899	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Nomascus_concolor	20667.9	6475.67	62.151576036	0.642120755836997	0.51190191079471	0.833722684814466	0.914897761903329	1.14763166536126	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Macaca_arctoides	Mandrillus_sphinx	14187.56	20667.9	22.4016461421	0.293199928332667	0.184507718009366	0.707574705009256	0.66003107548355	1.04885078042798	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Cheirogaleus_medius	22243.17	216.91	121.4130573119	0.996567750061985	0.999999999957995	0.875731717408332	0.990592028956346	0.98719206956783	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Papio_hamadryas	Eulemur_macaco	22243.17	1726.07	121.413057313	0.928286517311462	0.999999999967055	0.847794781814212	0.984433951976462	0.913836764833495	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Mandrillus_sphinx	Cheirogaleus_medius	20667.9	216.91	121.413057312	0.925295401527093	0.999999999958818	0.84646968116825	0.98409726213647	0.910580671347777	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Papio_hamadryas	Lemur_catta	22243.17	1864.8	121.4130573139	0.922009743861675	0.999999999974467	0.84500400481579	0.983720052272698	0.906999473450702	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Cebuella_pygmaea	Macaca_arctoides	141.05	14187.56	78.0653383528	0.635527723132442	0.642973170084808	0.77846557042206	0.90647534876911	0.895978621320906	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Eulemur_fulvus	22243.17	2115.36	121.4130573123	0.910673274780881	0.999999999961289	0.839865367704096	0.982357536427661	0.894606754738887	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Callithrix_jacchus	Macaca_arctoides	306.06	14187.56	78.0653383524	0.628061923471595	0.642973170081514	0.77299020775818	0.902559292762137	0.881627961844015	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Macaca_arctoides	560.8	14187.56	78.0653383523	0.61653633226134	0.64297317008069	0.764349096487566	0.896257570437537	0.859406552173356	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Macaca_arctoides	586.16	14187.56	78.0653383538	0.615388931016572	0.642973170093045	0.76347628214882	0.895612884738855	0.857190130755154	390.753923263225	387.43414739611	3.31977586711486	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Varecia_rubra	22243.17	3135.22	121.4130573149	0.86453018986414	0.999999999982704	0.817615167266799	0.975728097239092	0.843546397176478	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Mandrillus_sphinx	Eulemur_macaco	20667.9	1726.07	121.4130573131	0.85701416877657	0.999999999967878	0.813783663066852	0.97446506431378	0.835130367121506	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Macaca_nigra	Theropithecus_gelada	5267.5	10938.3	22.401646142	0.256572672666694	0.184507718008542	0.643103937298575	0.596294856771648	0.829195476214292	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Lemur_catta	20667.9	1864.8	121.413057314	0.850737395326783	0.999999999975291	0.81053858024529	0.973367095938841	0.828079787916266	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Mandrillus_sphinx	Eulemur_fulvus	20667.9	2115.36	121.4130573124	0.839400926245989	0.999999999962113	0.804572364359596	0.971280521265661	0.815293769225972	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Sapajus_apella	Macaca_arctoides	1574.3	14187.56	78.0653383491	0.570681002546362	0.642973170054334	0.72767469500689	0.867924477204094	0.770340091707877	390.753923263225	387.43414739611	3.31977586711486	OU	Cebidae	PLA	Cercopithecidae	OWM	order
Mandrillus_sphinx	Varecia_rubra	20667.9	3135.22	121.413057315	0.793257841329248	0.999999999983527	0.77886581376311	0.961272994907416	0.76253734088092	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Semnopithecus_vetulus	Colobus_guereza	3876.04	9561.58	27.017026324	0.257239577017951	0.22252158804848	0.599708080302995	0.573780450214829	0.663302116477234	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Semnopithecus_vetulus	10938.3	3876.04	38.593674154	0.319528624403451	0.317870869961168	0.617957247233619	0.639224772745766	0.642558446280449	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Chlorocebus_pygerythrus	10938.3	5060.5	29.8369393139	0.26593829008258	0.245747368308156	0.59200779245159	0.577918350950458	0.625400870484149	390.753923263225	387.43414739611	3.31977586711486	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
