Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Trachypithecus_auratus	Trachypithecus_cristatus	-7.41	0.54	0.6600170348	0.1318407960199	0.00543612894173375	0.990047829236253	0.969243128798536	23.5067613383106	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Papio_ursinus	12.72	-24.42	4.8778566851	0.61592039800995	0.0401757174457425	0.999990545682252	0.999914870626011	15.3293582354509	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Galago_senegalensis	Galago_moholi	1.95	-13.46	2.243524776	0.255555555555556	0.0184784472570561	0.993268487666442	0.979700731558963	13.549188481523	965.012103489764	939.549001271298	25.4631022184653	OU	Galagidae	STR	Galagidae	STR	family
Papio_anubis	Papio_ursinus	8.04	-24.42	4.8778566851	0.538308457711443	0.0401757174457425	0.999891680365458	0.999405975897262	13.3908919047783	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Trachypithecus_phayrei	-7.41	20.48	5.1737784209	0.462520729684909	0.0426130313750078	0.998760453260237	0.995977545587142	10.8103142693792	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Trachypithecus_geei	-7.41	26.79	7.1253052128	0.567164179104478	0.0586864820810659	0.999260956168153	0.997951708316234	9.64451167223223	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_cynocephalus	Papio_ursinus	-5.96	-24.42	3.7904618637	0.306135986733002	0.0312195570013455	0.987490118664502	0.971025372822653	9.5217818317868	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Trachypithecus_pileatus	-7.41	24.83	7.1253052128	0.534660033167496	0.0586864820810659	0.998533677850547	0.996344387017558	9.07714185820866	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_fuscata	4.13	35.88	7.327012852	0.52653399668325	0.0603478160730835	0.997995011666593	0.995344658691763	8.68437062550227	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Leontopithecus_rosalia	Leontopithecus_chrysomelas	-22.1	-15.01	1.4560128688	0.117578772802653	0.0119922263794584	0.87829148668744	0.810247799419639	7.94414138854125	965.012103489764	939.549001271298	25.4631022184653	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Trachypithecus_cristatus	Trachypithecus_phayrei	0.54	20.48	5.1737784209	0.330679933665008	0.0426130313750078	0.979057654112366	0.960264065565502	7.45171247517317	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Papio_cynocephalus	12.72	-5.96	4.8778566854	0.309784411276949	0.0401757174482134	0.974103760772386	0.951888102955357	7.33975929504329	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Trachypithecus_geei	0.54	26.79	7.1253052128	0.435323383084577	0.0586864820810659	0.990408172754789	0.98204014432838	7.28455724034314	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Semnopithecus_entellus	-7.41	23.49	9.0158535418	0.512437810945274	0.0742576930425186	0.993283398280844	0.988823527186363	6.8236776948138	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Aotus_azarae	Aotus_trivirgatus	-17.05	4.15	6.086419244	0.351575456053068	0.0501298573511207	0.976389116501851	0.958663425084108	6.72338898781659	965.012103489764	939.549001271298	25.4631022184653	OU	Aotidae	PLA	Aotidae	PLA	family
Trachypithecus_cristatus	Trachypithecus_pileatus	0.54	24.83	7.1253052128	0.402819237147595	0.0586864820810659	0.983461266226976	0.971457641081922	6.66800619197577	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_obscurus	Trachypithecus_phayrei	6.82	20.48	3.9357740903	0.22653399668325	0.032416398838689	0.930261306403938	0.887929258206431	6.20507430928536	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Propithecus_coquereli	Propithecus_verreauxi	-15.49	-22.63	1.798204574	0.118407960199005	0.0148106358055463	0.839217310364372	0.767460367756084	6.13568639946878	965.012103489764	939.549001271298	25.4631022184653	OU	Indriidae	STR	Indriidae	STR	family
Alouatta_caraya	Alouatta_seniculus	-20.34	0.68	6.6926645562	0.348590381426202	0.0551231037579191	0.967655700526994	0.948142772515819	5.99591510973843	965.012103489764	939.549001271298	25.4631022184653	OU	Atelidae	PLA	Atelidae	PLA	family
Macaca_fuscata	Macaca_nemestrina	35.88	3.04	10.9824679331	0.544610281923715	0.0904554104438817	0.990948886679268	0.987728542635005	5.94687611751293	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Papio_ursinus	10.95	-24.42	12.5784127636	0.586567164179104	0.103600164935136	0.991381110171975	0.989842056419944	5.60432358754429	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Papio_ursinus	35.88	-24.42	22.4016461422	1	0.184507718006086	0.999208380327137	0.999768141202396	5.41857084357532	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_mulatta	4.13	25.07	7.3270128521	0.34726368159204	0.0603478160739071	0.958410586828907	0.938019955436372	5.39771418956911	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_obscurus	Trachypithecus_geei	6.82	26.79	7.125305212	0.331177446102819	0.0586864820744768	0.951222421090141	0.928186876962987	5.23791081954189	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nycticebus_pygmaeus	Nycticebus_coucang	16.94	0.27	5.9520781674	0.276451077943615	0.0490233777058033	0.928097248324407	0.89463005975541	5.04496948097615	965.012103489764	939.549001271298	25.4631022184653	OU	Lorisidae	STR	Lorisidae	STR	family
Papio_anubis	Papio_cynocephalus	8.04	-5.96	4.8778566854	0.232172470978441	0.0401757174482134	0.90500752826496	0.861453650627533	4.97827631721577	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Semnopithecus_entellus	0.54	23.49	9.0158535418	0.380597014925373	0.0742576930425186	0.955906027924818	0.94048571934402	4.82032288772186	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Semnopithecus_johnii	Semnopithecus_entellus	10.75	23.49	4.4833077605	0.211276948590381	0.0369260758230866	0.88699034746183	0.838081954036985	4.79518589426971	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Trachypithecus_obscurus	-7.41	6.82	5.1737784206	0.235986733001658	0.0426130313725369	0.90060890397548	0.857784588097335	4.75032580514143	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_thibetana	Papio_ursinus	28.38	-24.42	22.4016461426	0.875621890547264	0.184507718009381	0.99670016339047	0.998734137643375	4.73971215509218	965.012103489764	939.549001271298	25.4631022184653	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Alouatta_palliata	Alouatta_caraya	6.95	-20.34	11.2380789202	0.45257048092869	0.0925607110824031	0.967982772697962	0.960959947108574	4.69856054831904	965.012103489764	939.549001271298	25.4631022184653	OU	Atelidae	PLA	Atelidae	PLA	family
