Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Varecia_rubra	Varecia_variegata	1.77240740740741	2.09633333333333	3.814273482	0.132409034226953	0.0314156777389774	0.923304070381591	0.908062157906002	3.89149014300463	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lemuridae	STR	family
Pan_paniscus	Pan_troglodytes	3.26996031746032	3.63980363414236	4.786270704	0.151178378937045	0.0394213835788014	0.928809099490218	0.914545354028766	3.56192099960732	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Hominidae	APE	Hominidae	APE	family
Macaca_mulatta	Macaca_nemestrina	3.01159748382954	3.73333333333333	10.9824679332	0.295019136015748	0.0904554104461209	0.979895042190764	0.97449061803472	3.19591484143922	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_mulatta	3.38620689655172	3.01159748382954	7.3270128521	0.153126584138293	0.0603478160748515	0.860337272452232	0.842237547234842	2.18302030307217	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_mongoz	Eulemur_albifrons	1.37126666666667	2.04722222222222	15.6477288182	0.276305831450868	0.128880115235398	0.931814334311655	0.922126220941027	1.9977149611448	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_tattersalli	Propithecus_coquereli	1.86666666666667	2.22373949579832	8.601073458	0.145958272153925	0.0708414205853214	0.806210817497487	0.78681121547721	1.66107817914254	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Indriidae	STR	Indriidae	STR	family
Macaca_arctoides	Macaca_mulatta	3.4140625	3.01159748382954	10.2479298856	0.164512932853213	0.0844055006273002	0.820340874482742	0.802313495060258	1.59890862796298	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_mongoz	Eulemur_sanfordi	1.37126666666667	1.8625	15.6477288182	0.200798164150739	0.128880115235398	0.81495607521927	0.799922242185982	1.26972018506216	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_collaris	1.37126666666667	1.85801587301587	15.6477288174	0.198965217554623	0.128880115228809	0.810913130382048	0.795784858099017	1.25188829260373	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_coronatus	1.37126666666667	1.84880952380952	15.6477288181	0.195201999764369	0.128880115234574	0.802409166782958	0.78709602969411	1.21533002744612	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Macaca_nemestrina	3.38620689655172	3.73333333333333	10.9824679331	0.141892551877455	0.0904554104452973	0.736405918465728	0.717299898767621	1.15516047602209	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_mongoz	Eulemur_macaco	1.37126666666667	1.82722222222222	15.6477288181	0.186377902876879	0.128880115234574	0.781378396425576	0.765682974882686	1.12997778294994	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_flavifrons	1.37126666666667	1.82007575757576	15.6477288181	0.183456690321045	0.128880115234574	0.7740739174867	0.758268923461271	1.10186927368497	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Nycticebus_pygmaeus	1.2869298245614	3.51666666666667	99.3606340198	0.911434615798347	0.818368602313691	0.983032157055222	0.989571481750425	1.09482393856505	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Aotus_trivirgatus	Callithrix_jacchus	3	2.01363636363636	40.5102348758	0.40318926654041	0.333656327999088	0.901871415448645	0.901180771510195	1.08981860673565	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Aotidae	PLA	Callitrichidae	PLA	superfamily
Hapalemur_griseus	Loris_tardigradus	1.2869298245614	3.5	99.3606340195	0.904621893936679	0.81836860231122	0.982190668056498	0.988982460854383	1.08571025309975	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Eulemur_albifrons	Eulemur_sanfordi	2.04722222222222	1.8625	5.21120138	0.0755076673001293	0.0429212598308897	0.612210945831543	0.589890129434116	1.07700986871026	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_fulvus	2.04722222222222	1.75	9.5384061272	0.121493539866374	0.0785616171597847	0.695637857016504	0.675454593633395	1.07578622703374	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lemuridae	STR	family
Mirza_zaza	Microcebus_murinus	2.10833333333333	2.7	22.39780098	0.241851626089141	0.184476047921053	0.817894818452905	0.80681342750553	1.07227574550692	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Cheirogaleidae	STR	Cheirogaleidae	STR	family
Callithrix_jacchus	Macaca_nemestrina	2.01363636363636	3.73333333333333	78.0653383528	0.702949028453708	0.642973170080572	0.962227457419857	0.970144746518291	1.05198301860715	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Eulemur_mongoz	Nycticebus_pygmaeus	1.37126666666667	3.51666666666667	99.360634017	0.87696080892108	0.818368602290629	0.97838712882008	0.986276084577425	1.04843607822496	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Eulemur_mongoz	Loris_tardigradus	1.37126666666667	3.5	99.3606340167	0.870148087059413	0.818368602288158	0.977348280452637	0.985525415567168	1.03918666264669	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Macaca_arctoides	Macaca_nemestrina	3.4140625	3.73333333333333	10.9824679326	0.130506203162536	0.0904554104411791	0.696156625227305	0.676880207443983	1.00439274468761	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callithrix_jacchus	Pan_troglodytes	2.01363636363636	3.63980363414236	78.0653383503	0.664717518870107	0.642973170059981	0.950508737047096	0.960012294302708	0.982653458612221	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Callitrichidae	PLA	Hominidae	APE	order
Macaca_nemestrina	Hapalemur_griseus	3.73333333333333	1.2869298245614	121.4130573163	1	0.999999999987645	0.982192608552822	0.990930449050097	0.982192608564957	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Macaca_nemestrina	Eulemur_mongoz	3.73333333333333	1.37126666666667	121.4130573135	0.965526193122734	0.999999999964584	0.977857226246553	0.988246654131235	0.944146765108829	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Pan_troglodytes	Hapalemur_griseus	3.63980363414236	1.2869298245614	121.4130573138	0.961768490416399	0.999999999967055	0.977333265467304	0.987915226071456	0.939968339393186	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Hominidae	APE	Lemuridae	STR	order
Pan_troglodytes	Eulemur_mongoz	3.63980363414236	1.37126666666667	121.413057311	0.927294683539133	0.999999999943993	0.972002147751876	0.984466789908304	0.901332424049414	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Hominidae	APE	Lemuridae	STR	order
Hapalemur_griseus	Microcebus_murinus	1.2869298245614	2.7	71.9834962278	0.577611244576716	0.592881011466357	0.924525493728964	0.93493583172226	0.900714158065076	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Lemur_catta	Nycticebus_pygmaeus	1.70303703703704	3.51666666666667	99.360634018	0.741345253604568	0.818368602298865	0.947847550137449	0.962776731567482	0.858637880853717	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Lemur_catta	Loris_tardigradus	1.70303703703704	3.5	99.3606340177	0.7345325317429	0.818368602296394	0.945648930933104	0.960997629105896	0.848773891653639	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Nycticebus_pygmaeus	Galago_moholi	3.51666666666667	2.65	43.154528579	0.354261536806628	0.355435646975288	0.840883999584825	0.841419014778745	0.838106308424757	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lorisidae	STR	Galagidae	STR	superfamily
Macaca_arctoides	Hapalemur_griseus	3.4140625	1.2869298245614	121.4130573159	0.869493796837464	0.999999999984351	0.960635055011856	0.976724109279041	0.835266221370496	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Eulemur_mongoz	Eulemur_fulvus	1.37126666666667	1.75	15.6477288174	0.154812291584494	0.128880115228809	0.693148292498322	0.676791390707123	0.832617781098617	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Nycticebus_pygmaeus	1.75	3.51666666666667	99.3606340164	0.722148517336586	0.818368602285687	0.941454298731157	0.957578433048989	0.83076235338208	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Eulemur_mongoz	Microcebus_murinus	1.37126666666667	2.7	71.983496225	0.54313743769945	0.592881011443295	0.90537280933762	0.917208171412662	0.829410722109826	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Gorilla_gorilla	Hapalemur_griseus	3.39746598639456	1.2869298245614	121.4130573138	0.862709750973431	0.999999999967055	0.959073719439953	0.97562542950288	0.827402249690464	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Hominidae	APE	Lemuridae	STR	order
Macaca_fascicularis	Hapalemur_griseus	3.38620689655172	1.2869298245614	121.4130573164	0.858107448122545	0.999999999988469	0.95798489173703	0.974854742252708	0.822053970797894	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Eulemur_fulvus	Loris_tardigradus	1.75	3.5	99.3606340161	0.715335795474919	0.818368602283216	0.939034319921437	0.955591642724763	0.820809669805469	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Varecia_rubra	Nycticebus_pygmaeus	1.77240740740741	3.51666666666667	99.360634019	0.712989191278123	0.818368602307102	0.938181819108777	0.954889369293365	0.817374340355238	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Loris_tardigradus	Galago_moholi	3.5	2.65	43.1545285787	0.34744881494496	0.355435646972817	0.832712734927555	0.833257680562689	0.814001227519767	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lorisidae	STR	Galagidae	STR	superfamily
Callithrix_jacchus	Macaca_arctoides	2.01363636363636	3.4140625	78.0653383524	0.572442825291172	0.642973170077277	0.909287286943099	0.923066255450393	0.809543862423517	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Varecia_rubra	Loris_tardigradus	1.77240740740741	3.5	99.3606340187	0.706176469416456	0.818368602304631	0.935650758407795	0.952797254374394	0.807380130809677	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Callithrix_jacchus	Gorilla_gorilla	2.01363636363636	3.39746598639456	78.0653383503	0.565658779427139	0.642973170059981	0.905397219544142	0.919501242884055	0.796527615695518	36.4626217746754	38.2052924101647	-1.74267063548929	BM	Callitrichidae	PLA	Hominidae	APE	order
