Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_paniscus	Pan_troglodytes	531.33	1273	4.786270704	0.585374901341752	0.0394213835788339	0.999986836405166	0.997346323079974	14.8097669963559	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Hylobates_muelleri	1273	222	45.7765141044	0.829518547750592	0.377031228071435	0.95413256077411	0.990317720618736	2.17882991183872	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Hylobates_lar	1273	234	45.7765141047	0.820047355958958	0.377031228073906	0.951597156102403	0.989455336763097	2.15207699610762	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Pongo_abelii	1273	397	40.643277586	0.691397000789266	0.334752113849248	0.922625422924404	0.969632716600513	2.00267936896928	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hominidae	APE	family
Colobus_angolensis	Pan_troglodytes	76	1273	62.151576032	0.94475138121547	0.511901910758814	0.949008630005989	0.996621214653153	1.83933532831806	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Gorilla_gorilla	1273	799.75	20.238906202	0.373520126282557	0.16669464264491	0.823657099808872	0.789874823336934	1.76990777315322	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hominidae	APE	family
Piliocolobus_badius	Pan_troglodytes	144	1273	62.151576032	0.891081294396212	0.511901910758814	0.934332598320099	0.994298792609672	1.73080239888509	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Pongo_pygmaeus	1273	512	40.643277586	0.600631412786109	0.334752113849248	0.875037312855817	0.940029912786374	1.68665550184501	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hominidae	APE	family
Cebuella_pygmaea	Pan_troglodytes	6	1273	78.0653383507	1	0.642973170063805	0.934692236152459	0.998058381566057	1.55225509871122	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Pan_troglodytes	8	1273	78.0653383517	0.998421468034728	0.642973170072041	0.934266414253055	0.998026078311392	1.54975465326641	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Pan_troglodytes	14	1273	78.0653383502	0.993685872138911	0.642973170059687	0.932975198003007	0.997926185606457	1.54224965869502	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_geoffroyi	Pan_troglodytes	18	1273	78.0653383502	0.990528808208366	0.642973170059687	0.932102841988467	0.997857036534133	1.53724321198151	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Cercopithecus_mitis	Pan_troglodytes	268	1273	62.1515760318	0.793212312549329	0.511901910757166	0.898687033313157	0.986139564539422	1.52806236516622	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Pongo_pygmaeus	Pongo_abelii	512	397	3.10266931	0.0907655880031571	0.0255546592643762	0.598617714957317	0.422842765297002	1.50186202163789	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hominidae	APE	family
Macaca_maura	Pan_troglodytes	362	1273	62.151576032	0.719021310181531	0.511901910758814	0.862526808630628	0.974298343412585	1.36850684997399	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Alouatta_caraya	Pan_troglodytes	178	1273	78.0653383542	0.864246250986582	0.642973170092632	0.888824468697196	0.992600673838464	1.33419472381415	354.520721752598	342.673646158683	11.8470755939146	OU	Atelidae	PLA	Hominidae	APE	order
Ateles_geoffroyi	Pan_troglodytes	200	1273	78.065338351	0.846882399368587	0.642973170066276	0.881459146082747	0.99132251299807	1.30570547487909	354.520721752598	342.673646158683	11.8470755939146	OU	Atelidae	PLA	Hominidae	APE	order
Cebus_albifrons	Pan_troglodytes	216	1273	78.0653383462	0.834254143646409	0.642973170026741	0.875866226191469	0.990272555516615	1.28487318179185	354.520721752598	342.673646158683	11.8470755939146	OU	Cebidae	PLA	Hominidae	APE	order
Trachypithecus_francoisi	Pan_troglodytes	498	1273	62.1515760322	0.611681136543015	0.511901910760461	0.793603536555368	0.942261524465203	1.12592586214302	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Trachypithecus_francoisi	Colobus_angolensis	498	76	27.0170263242	0.333070244672455	0.222521588048845	0.703298081467583	0.717361570730923	1.07374657882415	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Colobus_angolensis	Gorilla_gorilla	76	799.75	62.151576032	0.571231254932912	0.511901910758814	0.761991825477661	0.923636421279267	1.03068572501908	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_gorilla	Hylobates_muelleri	799.75	222	45.7765141044	0.455998421468035	0.377031228071435	0.727606050888893	0.845002043183384	1.02198324472975	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Loris_tardigradus	1273	6	121.4130573117	1	0.999999999950582	0.86057547982523	0.998052176940537	0.998052176989858	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lorisidae	STR	order
Gorilla_gorilla	Hylobates_lar	799.75	234	45.7765141047	0.446527229676401	0.377031228073906	0.717522070138773	0.836247168670357	0.9903878080834	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Avahi_laniger	1273	26	121.413057308	0.984214680347277	0.999999999920108	0.854222112648067	0.99770525892282	0.981956162569971	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Indriidae	STR	order
Pan_troglodytes	Perodicticus_potto	1273	32	121.413057312	0.97947908445146	0.999999999953053	0.852273518122302	0.997590647640839	0.977119174254461	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lorisidae	STR	order
Pan_troglodytes	Varecia_variegata	1273	88	121.413057313	0.935280189423836	0.999999999961289	0.833115981014537	0.996239316996013	0.931762897147573	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lemuridae	STR	order
Cebuella_pygmaea	Gorilla_gorilla	6	799.75	78.0653383507	0.626479873717443	0.642973170063805	0.751784072532145	0.947799156502558	0.923486583143584	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Pan_troglodytes	Indri_indri	1273	100	121.413057306	0.925808997632202	0.999999999903635	0.828777989699313	0.995872187317796	0.921987431599325	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Indriidae	STR	order
Leontopithecus_rosalia	Gorilla_gorilla	8	799.75	78.0653383517	0.62490134175217	0.642973170072041	0.750590205358309	0.947203518221911	0.920580790926205	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	14	799.75	78.0653383502	0.620165745856354	0.642973170059687	0.746984546120247	0.94538242778457	0.91184799887075	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_geoffroyi	Gorilla_gorilla	18	799.75	78.0653383502	0.617008681925809	0.642973170059687	0.744560693120032	0.94413949219068	0.906013331126394	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	144	799.75	62.151576032	0.517561168113654	0.511901910758814	0.714982081541453	0.891655912979535	0.901513485646213	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Trachypithecus_francoisi	Piliocolobus_badius	498	144	27.0170263242	0.279400157853197	0.222521588048845	0.618632829395108	0.632562300325595	0.794251057223974	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Alouatta_caraya	Gorilla_gorilla	178	799.75	78.0653383542	0.490726124704025	0.642973170092632	0.634258889242894	0.871682466522988	0.665280261550643	354.520721752598	342.673646158683	11.8470755939146	OU	Atelidae	PLA	Hominidae	APE	order
Pan_paniscus	Gorilla_gorilla	531.33	799.75	20.238906202	0.211854775059195	0.16669464264491	0.556853517439682	0.522796486821585	0.66443006421782	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hominidae	APE	family
Cercopithecus_mitis	Gorilla_gorilla	268	799.75	62.1515760318	0.419692186266772	0.511901910757166	0.614030060862867	0.80710144499499	0.66171694785821	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_gorilla	Pongo_abelii	799.75	397	40.643277586	0.317876874506709	0.334752113849248	0.583205467610947	0.680508563214576	0.646203343310677	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hominidae	APE	family
Ateles_geoffroyi	Gorilla_gorilla	200	799.75	78.065338351	0.47336227308603	0.642973170066276	0.617051005807073	0.857612845847302	0.631381813484088	354.520721752598	342.673646158683	11.8470755939146	OU	Atelidae	PLA	Hominidae	APE	order
Cebus_albifrons	Gorilla_gorilla	216	799.75	78.0653383462	0.460734017363852	0.642973170026741	0.604229902770011	0.846657472098384	0.606687676306599	354.520721752598	342.673646158683	11.8470755939146	OU	Cebidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Loris_tardigradus	799.75	6	121.4130573117	0.626479873717443	0.999999999950582	0.645501045332126	0.947727343254193	0.593732106349796	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lorisidae	STR	order
Gorilla_gorilla	Avahi_laniger	799.75	26	121.413057308	0.61069455406472	0.999999999920107	0.633244971756611	0.941506003263988	0.574972588858494	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Indriidae	STR	order
Gorilla_gorilla	Perodicticus_potto	799.75	32	121.413057312	0.605958958168903	0.999999999953053	0.629517236464865	0.939523852098358	0.569312894619083	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lorisidae	STR	order
Cebuella_pygmaea	Pan_paniscus	6	531.33	78.0653383507	0.414625098658248	0.642973170063805	0.555260514124276	0.801183783775303	0.516648160230789	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Colobus_angolensis	Pan_paniscus	76	531.33	62.151576032	0.359376479873717	0.511901910758814	0.542128440238973	0.735119083148695	0.516084239651227	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_gorilla	Varecia_variegata	799.75	88	121.413057313	0.561760063141279	0.999999999961289	0.593600422040718	0.91820674708099	0.515811880236933	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lemuridae	STR	order
Leontopithecus_rosalia	Pan_paniscus	8	531.33	78.0653383517	0.413046566692976	0.642973170072041	0.553525047597497	0.799468796051127	0.513579503403051	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Pan_paniscus	14	531.33	78.0653383502	0.408310970797159	0.642973170059687	0.548295583212927	0.79425909300678	0.504382945403405	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Indri_indri	799.75	100	121.413057306	0.552288871349645	0.999999999903635	0.585641924830509	0.912924830294904	0.504198224199226	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Indriidae	STR	order
Saguinus_geoffroyi	Pan_paniscus	18	531.33	78.0653383502	0.405153906866614	0.642973170059687	0.544790116149692	0.790731751109711	0.498260383424458	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Pongo_pygmaeus	6	512	78.0653383547	0.399368587213891	0.64297317009675	0.538326767818219	0.784154609094782	0.487060320641872	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Pongo_pygmaeus	8	512	78.0653383557	0.397790055248619	0.642973170104987	0.536554376490717	0.782334449269194	0.484009097528714	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Macaca_maura	Gorilla_gorilla	362	799.75	62.151576032	0.345501183898974	0.511901910758814	0.524583759539687	0.716227031735043	0.483407625961171	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Colobus_angolensis	Pongo_pygmaeus	76	512	62.151576036	0.344119968429361	0.511901910791759	0.522817315766838	0.714297694468253	0.480178125706534	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Pongo_pygmaeus	14	512	78.0653383542	0.393054459352802	0.642973170092632	0.531214521414009	0.776807822035981	0.474868614607032	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_geoffroyi	Pongo_pygmaeus	18	512	78.0653383542	0.389897395422257	0.642973170092632	0.527635787939694	0.773068060607003	0.468786626464338	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Trachypithecus_francoisi	6	498	78.0653383529	0.388318863456985	0.642973170081925	0.525840793844823	0.771181512969214	0.465749338494306	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_rosalia	Trachypithecus_francoisi	8	498	78.0653383539	0.386740331491713	0.642973170090161	0.52404205798188	0.769283826579593	0.462714613831999	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Trachypithecus_francoisi	14	498	78.0653383524	0.382004735595896	0.642973170077807	0.5186234748105	0.763523736130405	0.453626522093279	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_geoffroyi	Trachypithecus_francoisi	18	498	78.0653383524	0.378847671665351	0.642973170077807	0.514992516049441	0.759627625035331	0.447581906166459	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Piliocolobus_badius	Pan_paniscus	144	531.33	62.151576032	0.305706393054459	0.511901910758814	0.472280501601047	0.657085781215712	0.392409795472459	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_maura	Colobus_angolensis	362	76	38.593674154	0.225730071033938	0.317870869959336	0.445965420373055	0.521417035467928	0.370274584989615	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Piliocolobus_badius	Pongo_pygmaeus	144	512	62.151576036	0.290449881610103	0.511901910791759	0.451477774545022	0.632460118400588	0.35885384023755	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Pan_paniscus	Hylobates_muelleri	531.33	222	45.7765141044	0.24414364640884	0.377031228071435	0.443227379396538	0.553580325083566	0.358466644361049	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Pongo_pygmaeus	799.75	512	40.643277586	0.227111286503552	0.334752113849248	0.438180057092756	0.52307097539166	0.35487549514733	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hominidae	APE	family
Pan_paniscus	Hylobates_lar	531.33	234	45.7765141047	0.234672454617206	0.377031228073906	0.427820999517968	0.535746110434907	0.333460056955112	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Loris_tardigradus	531.33	6	121.4130573117	0.414625098658248	0.999999999950582	0.459984771434371	0.801046762040096	0.332134092757158	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lorisidae	STR	order
Pongo_pygmaeus	Hylobates_muelleri	512	222	45.7765141084	0.228887134964483	0.377031228104381	0.418311690391306	0.524660183572997	0.318509336353212	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Cebuella_pygmaea	Pongo_abelii	6	397	78.0653383547	0.308602999210734	0.64297317009675	0.430508289245781	0.661113098196245	0.317309484142491	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Pongo_abelii	8	397	78.0653383557	0.307024467245462	0.642973170104987	0.428531968573824	0.658636694919634	0.314503916754402	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Pongo_pygmaeus	Loris_tardigradus	512	6	121.4130573157	0.399368587213891	0.999999999983527	0.444971443307398	0.784014521828365	0.313110771942926	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lorisidae	STR	order
Pan_paniscus	Avahi_laniger	531.33	26	121.413057308	0.398839779005525	0.999999999920108	0.444447428570165	0.783405894943161	0.312453434035719	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Indriidae	STR	order
Pan_paniscus	Perodicticus_potto	531.33	32	121.413057312	0.394104183109708	0.999999999953053	0.439744020552389	0.777900428977126	0.306573813117114	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lorisidae	STR	order
Saguinus_oedipus	Pongo_abelii	14	397	78.0653383542	0.302288871349645	0.642973170092632	0.422583512901811	0.651138189417455	0.306127592140892	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_geoffroyi	Pongo_abelii	18	397	78.0653383542	0.2991318074191	0.642973170092632	0.418601746166847	0.646081505787246	0.300577905199916	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Hominidae	APE	order
Trachypithecus_francoisi	Loris_tardigradus	498	6	121.4130573139	0.388318863456985	0.999999999968702	0.433971965845606	0.771039489852302	0.29940917838927	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Lorisidae	STR	order
Pongo_pygmaeus	Hylobates_lar	512	234	45.7765141087	0.219415943172849	0.377031228106852	0.402586448076483	0.506201983627376	0.294587761950823	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Pongo_pygmaeus	Avahi_laniger	512	26	121.413057312	0.383583267561168	0.999999999953053	0.429226082009468	0.765312182960428	0.293560947858113	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Indriidae	STR	order
Pongo_pygmaeus	Perodicticus_potto	512	32	121.413057316	0.378847671665351	0.999999999985998	0.424461330262381	0.759484147631823	0.287728801001089	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lorisidae	STR	order
Colobus_angolensis	Pongo_abelii	76	397	62.151576036	0.253354380426204	0.511901910791759	0.399268339462359	0.568136086704621	0.281186225740368	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Trachypithecus_francoisi	Avahi_laniger	498	26	121.4130573102	0.372533543804262	0.999999999938227	0.418079253586307	0.751555894364618	0.279979780711928	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Indriidae	STR	order
Trachypithecus_francoisi	Perodicticus_potto	498	32	121.4130573142	0.367797947908445	0.999999999971173	0.413271100526691	0.745490961490764	0.274190045828501	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Lorisidae	STR	order
Cebuella_pygmaea	Macaca_maura	6	362	78.0653383527	0.280978689818469	0.642973170080277	0.395461225825135	0.616114030358363	0.269241270218562	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_rosalia	Macaca_maura	8	362	78.0653383537	0.279400157853197	0.642973170088514	0.393429618227794	0.613436737351645	0.26656527709454	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Alouatta_caraya	Pan_paniscus	178	531.33	78.0653383542	0.27887134964483	0.642973170092632	0.392748347877701	0.612537302188415	0.265670656435753	354.520721752598	342.673646158683	11.8470755939146	OU	Atelidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Macaca_maura	14	362	78.0653383522	0.27466456195738	0.642973170076159	0.387316568798643	0.605336738447965	0.258587073054425	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_geoffroyi	Macaca_maura	18	362	78.0653383522	0.271507498026835	0.642973170076159	0.383226141329226	0.599880144038384	0.253310658366269	354.520721752598	342.673646158683	11.8470755939146	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Pan_paniscus	Varecia_variegata	531.33	88	121.413057313	0.349905288082084	0.999999999961289	0.394940262549409	0.721649713003585	0.252509050732647	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lemuridae	STR	order
Trachypithecus_francoisi	Gorilla_gorilla	498	799.75	62.1515760322	0.238161010260458	0.511901910760461	0.377255222580954	0.540014193142432	0.251240175295945	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Trachypithecus_francoisi	268	498	38.593674154	0.181531176006314	0.317870869959336	0.365827995357276	0.431213706471243	0.246259530657151	354.520721752598	342.673646158683	11.8470755939146	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pan_paniscus	Indri_indri	531.33	100	121.413057306	0.34043409629045	0.999999999903635	0.385134366435907	0.708432996926063	0.2411747471141	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Indriidae	STR	order
Alouatta_caraya	Pongo_pygmaeus	178	512	78.0653383582	0.263614838200474	0.642973170125577	0.372948114570368	0.586041673922662	0.240273293238168	354.520721752598	342.673646158683	11.8470755939146	OU	Atelidae	PLA	Hominidae	APE	order
Ateles_geoffroyi	Pan_paniscus	200	531.33	78.065338351	0.261507498026835	0.642973170066276	0.370191481133315	0.58229944609432	0.236830521613898	354.520721752598	342.673646158683	11.8470755939146	OU	Atelidae	PLA	Hominidae	APE	order
Pongo_pygmaeus	Varecia_variegata	512	88	121.413057317	0.334648776637727	0.999999999994235	0.379110409929099	0.700155503213125	0.234306182607795	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Lemuridae	STR	order
Pongo_pygmaeus	Indri_indri	512	100	121.41305731	0.325177584846093	0.99999999993658	0.36919359136109	0.686269157098266	0.223159347073731	354.520721752598	342.673646158683	11.8470755939146	OU	Hominidae	APE	Indriidae	STR	order
Alouatta_caraya	Trachypithecus_francoisi	178	498	78.0653383564	0.252565114443567	0.642973170110752	0.358436775549918	0.566199263185743	0.222407696544692	354.520721752598	342.673646158683	11.8470755939146	OU	Atelidae	PLA	Cercopithecidae	OWM	order
