Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Macaca_nigra	Papio_hamadryas	23.93	103.16	22.4016461419	0.774486803519062	0.184507718007719	0.999294112561552	0.997699832578709	4.19462183679946	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	60.76	23.93	10.9824679321	0.360019550342131	0.0904554104376569	0.975475634353356	0.940699426712747	3.88246869424848	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Theropithecus_gelada	23.93	77.22	22.401646142	0.520918866080156	0.184507718008542	0.977290207056492	0.959673720938236	2.75917404423993	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	23.93	75.77	22.401646142	0.50674486803519	0.184507718008542	0.973328397152364	0.953913561712954	2.67321700952934	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Semnopithecus_vetulus	103.16	19.16	38.5936741539	0.821114369501466	0.317870869960345	0.993781709156243	0.99314705880854	2.56710670480034	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Chlorocebus_pygerythrus	103.16	42.58	29.8369393138	0.592179863147605	0.245747368307332	0.975177892834735	0.96517030096887	2.34989581007942	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Papio_hamadryas	77.22	103.16	12.5784127639	0.253567937438905	0.10360016493991	0.861124046302983	0.790078043962788	2.10765541181078	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Papio_hamadryas	60.76	103.16	22.401646142	0.414467253176931	0.184507718008542	0.930122954157082	0.897191196059895	2.08937333401116	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Colobus_guereza	103.16	36.97	38.5936741539	0.647018572825024	0.317870869960345	0.968911392076707	0.966879089653132	1.97219602467375	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Semnopithecus_vetulus	77.22	19.16	38.593674154	0.567546432062561	0.317870869961168	0.941392584581729	0.938365351787751	1.68082090257211	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Semnopithecus_vetulus	75.77	19.16	38.593674154	0.553372434017595	0.317870869961168	0.934801923362697	0.931581476741473	1.62737030832281	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Papio_hamadryas	0.86	103.16	78.0653383526	1	0.642973170083161	0.980863952591383	0.995230100918285	1.52551303573759	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Papio_hamadryas	2.83	103.16	78.0653383522	0.980742913000977	0.642973170079866	0.978424159504123	0.994356896499857	1.49241462162941	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Papio_hamadryas	3.68	103.16	78.0653383521	0.972434017595308	0.642973170079043	0.977290488038888	0.993937467682559	1.47805625470267	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Papio_hamadryas	3.82	103.16	78.0653383536	0.971065493646139	0.642973170091397	0.97709888388607	0.993865752956419	1.47568678470214	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Mandrillus_sphinx	103.16	75.77	18.5708053179	0.267741935483871	0.15295558590056	0.801595570027833	0.741887872293569	1.4031573160988	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Sapajus_apella	Papio_hamadryas	13.38	103.16	78.0653383489	0.87761485826002	0.642973170052686	0.960230741023568	0.98674277448186	1.31064996944003	178.990085874601	178.803261436413	0.186824438188381	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Theropithecus_gelada	Chlorocebus_pygerythrus	77.22	42.58	29.8369393139	0.3386119257087	0.245747368308156	0.80058635113272	0.772452572378905	1.103116944525	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Theropithecus_gelada	0.86	77.22	78.0653383527	0.746432062561095	0.642973170083984	0.919673247384588	0.964844493690267	1.06765512290019	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Macaca_arctoides	Semnopithecus_vetulus	60.76	19.16	38.5936741541	0.406647116324536	0.317870869961992	0.824580117568013	0.819454680137181	1.05487214675466	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Mandrillus_sphinx	0.86	75.77	78.0653383527	0.732258064516129	0.642973170083984	0.913762062169594	0.961224474535192	1.04064939285908	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Mandrillus_sphinx	Chlorocebus_pygerythrus	75.77	42.58	29.8369393139	0.324437927663734	0.245747368308156	0.781119073050705	0.752396253111474	1.031240558399	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callithrix_jacchus	Theropithecus_gelada	2.83	77.22	78.0653383523	0.727174975562072	0.64297317008069	0.911558452426168	0.959851302537309	1.03093336738019	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Theropithecus_gelada	3.68	77.22	78.0653383522	0.718866080156403	0.642973170079866	0.907858870342908	0.957517931826353	1.01501738770462	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Theropithecus_gelada	3.82	77.22	78.0653383537	0.717497556207234	0.642973170092221	0.907237770676972	0.957122817260239	1.01239198404851	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Mandrillus_sphinx	2.83	75.77	78.0653383523	0.713000977517106	0.64297317008069	0.905173318684412	0.955802643390134	1.00375799656368	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Theropithecus_gelada	Colobus_guereza	77.22	36.97	38.593674154	0.393450635386119	0.317870869961168	0.810149190075222	0.804894333495433	1.00277736563777	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saguinus_oedipus	Mandrillus_sphinx	3.68	75.77	78.0653383522	0.704692082111437	0.642973170079866	0.901261826600431	0.953272862083972	0.987773833604479	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Mandrillus_sphinx	3.82	75.77	78.0653383537	0.703323558162268	0.642973170092221	0.900605396733598	0.952844721290478	0.985137516764447	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Mandrillus_sphinx	Colobus_guereza	75.77	36.97	38.593674154	0.379276637341153	0.317870869961168	0.793695044388743	0.78831577478684	0.947019736495118	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Cheirogaleus_medius	103.16	0.93	121.4130573119	0.999315738025415	0.999999999957995	0.93953110636897	0.992900677731646	0.938888220998381	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Papio_hamadryas	Eulemur_macaco	103.16	9.14	121.413057313	0.919061583577713	0.999999999967055	0.915758688379395	0.986711591843418	0.841638630344744	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Sapajus_apella	Theropithecus_gelada	13.38	77.22	78.065338349	0.624046920821114	0.64297317005351	0.856275459821574	0.921790408059236	0.831070546896796	178.990085874601	178.803261436413	0.186824438188381	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Lemur_catta	103.16	11.66	121.4130573139	0.894428152492669	0.999999999974467	0.90710348961981	0.984029220978987	0.811338898361015	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Papio_hamadryas	Eulemur_fulvus	103.16	11.8	121.4130573123	0.8930596285435	0.999999999961289	0.906602451747293	0.983867136199024	0.809650048825405	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Sapajus_apella	Mandrillus_sphinx	13.38	75.77	78.065338349	0.609872922776148	0.64297317005351	0.846953511065955	0.914779789947532	0.803352359486987	178.990085874601	178.803261436413	0.186824438188381	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Macaca_arctoides	0.86	60.76	78.0653383528	0.58553274682307	0.642973170084808	0.829882740477406	0.901562542200362	0.755744630073287	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Varecia_rubra	103.16	18.11	121.4130573149	0.831378299120235	0.999999999982704	0.88168004850726	0.974891335853813	0.73300965910889	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Callithrix_jacchus	Macaca_arctoides	2.83	60.76	78.0653383524	0.566275659824047	0.642973170081514	0.815395460104816	0.889985858684549	0.718130434789137	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Nomascus_concolor	0.86	58.19	78.0653383547	0.560410557184751	0.642973170100457	0.810806640822344	0.886253884503824	0.706692942228606	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Saguinus_oedipus	Macaca_arctoides	3.68	60.76	78.0653383523	0.557966764418377	0.64297317008069	0.808870013007849	0.884669769687713	0.701930663664242	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Macaca_arctoides	3.82	60.76	78.0653383538	0.556598240469208	0.642973170093045	0.807779149203308	0.883775116967769	0.699264719038296	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Nomascus_concolor	2.83	58.19	78.0653383543	0.541153470185728	0.642973170097163	0.795149281803097	0.873296255907536	0.669231335264598	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Saguinus_oedipus	Nomascus_concolor	3.68	58.19	78.0653383542	0.532844574780059	0.642973170096339	0.788110116435474	0.867362280351072	0.65312243092352	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Leontopithecus_chrysomelas	Nomascus_concolor	3.82	58.19	78.0653383557	0.53147605083089	0.642973170108693	0.786934156140636	0.86636460406006	0.650472954414041	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Papio_hamadryas	Nomascus_concolor	103.16	58.19	62.1515760359	0.439589442815249	0.511901910793887	0.751600807278876	0.802972316568196	0.645427909379779	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Hylobatidae	APE	order
Theropithecus_gelada	Cheirogaleus_medius	77.22	0.93	121.413057312	0.74574780058651	0.999999999958818	0.838784451082875	0.95546699106098	0.625521659586977	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Mandrillus_sphinx	Cheirogaleus_medius	75.77	0.93	121.413057312	0.731573802541544	0.999999999958818	0.830672274051283	0.951259450967235	0.607698074218555	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Theropithecus_gelada	Eulemur_macaco	77.22	9.14	121.4130573131	0.665493646138807	0.999999999967878	0.788783010217401	0.927000659163	0.524930081498784	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Sapajus_apella	Macaca_arctoides	13.38	60.76	78.0653383491	0.463147605083089	0.642973170054334	0.722120262422829	0.808815835744105	0.52015898283103	178.990085874601	178.803261436413	0.186824438188381	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Semnopithecus_vetulus	Nomascus_concolor	19.16	58.19	62.151576036	0.381524926686217	0.51190191079471	0.683552157589308	0.737142958942318	0.509457341945833	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Hylobatidae	APE	order
Mandrillus_sphinx	Eulemur_macaco	75.77	9.14	121.4130573131	0.651319648093841	0.999999999967878	0.778896133753944	0.92068083607915	0.507310355754568	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Theropithecus_gelada	Lemur_catta	77.22	11.66	121.413057314	0.640860215053763	0.999999999975291	0.771390542876031	0.91573756449879	0.494353509210188	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Theropithecus_gelada	Eulemur_fulvus	77.22	11.8	121.4130573124	0.639491691104594	0.999999999962113	0.770395238996788	0.915072722640496	0.49266135422365	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Mandrillus_sphinx	Lemur_catta	75.77	11.66	121.413057314	0.626686217008798	0.999999999975291	0.760932458550133	0.908644022487497	0.47686588385977	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Mandrillus_sphinx	Eulemur_fulvus	75.77	11.8	121.4130573124	0.625317693059628	0.999999999962113	0.759905129092404	0.907934441635909	0.475182122286244	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Sapajus_apella	Nomascus_concolor	13.38	58.19	78.065338351	0.43802541544477	0.642973170069983	0.695219937155041	0.783610127718502	0.473618520916944	178.990085874601	178.803261436413	0.186824438188381	BM	Cebidae	PLA	Hylobatidae	APE	order
Macaca_arctoides	Theropithecus_gelada	60.76	77.22	22.4016461421	0.160899315738025	0.184507718009366	0.518384418410371	0.473473038499277	0.452055334656782	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Cheirogaleus_medius	60.76	0.93	121.4130573121	0.584848484848485	0.999999999959642	0.728110847228471	0.884876763906475	0.425834525820504	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Cebuella_pygmaea	Chlorocebus_pygerythrus	0.86	42.58	78.0653383526	0.407820136852395	0.642973170083161	0.66065971832788	0.750243164613459	0.419038226286321	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Theropithecus_gelada	Varecia_rubra	77.22	18.11	121.413057315	0.57781036168133	0.999999999983527	0.722299871378302	0.880438486947522	0.417352349930349	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Macaca_arctoides	Colobus_guereza	60.76	36.97	38.5936741541	0.232551319648094	0.317870869961992	0.561593241089294	0.556195856814841	0.410856299403532	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Nomascus_concolor	23.93	58.19	62.151576036	0.334897360703812	0.51190191079471	0.620789790058631	0.674306718451282	0.406134178947975	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Hylobatidae	APE	order
Semnopithecus_vetulus	Colobus_guereza	19.16	36.97	27.017026324	0.174095796676442	0.22252158804848	0.511904373254108	0.47870378556359	0.400502263467633	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Varecia_rubra	75.77	18.11	121.413057315	0.563636363636363	0.999999999983527	0.710342104797743	0.871094488239902	0.400374640892596	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Chlorocebus_pygerythrus	Semnopithecus_vetulus	42.58	19.16	38.5936741539	0.228934506353861	0.317870869960345	0.55443809567981	0.549075774375653	0.399313129114559	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nomascus_concolor	Cheirogaleus_medius	58.19	0.93	121.413057314	0.559726295210166	0.999999999975291	0.706983279690724	0.868419461872459	0.3957171319266	178.990085874601	178.803261436413	0.186824438188381	BM	Hylobatidae	APE	Cheirogaleidae	STR	order
Callithrix_jacchus	Chlorocebus_pygerythrus	2.83	42.58	78.0653383522	0.388563049853372	0.642973170079866	0.637363480655776	0.727180790011132	0.385172989221318	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Macaca_arctoides	Mandrillus_sphinx	60.76	75.77	22.4016461421	0.146725317693059	0.184507718009366	0.478941965959784	0.436415948840332	0.380867060034966	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Chlorocebus_pygerythrus	23.93	42.58	29.8369393139	0.182306940371457	0.245747368308156	0.510359812319417	0.484102042015501	0.378608879977234	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saguinus_oedipus	Chlorocebus_pygerythrus	3.68	42.58	78.0653383521	0.380254154447703	0.642973170079043	0.627009703634573	0.716793556414028	0.37081336482012	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Chlorocebus_pygerythrus	3.82	42.58	78.0653383536	0.378885630498534	0.642973170091397	0.625286981051295	0.715057352592406	0.368463667036788	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Macaca_arctoides	Chlorocebus_pygerythrus	60.76	42.58	29.836939314	0.177712609970674	0.245747368308979	0.499351846187384	0.473468029528499	0.361107101533882	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Eulemur_macaco	60.76	9.14	121.4130573132	0.504594330400782	0.999999999968702	0.656846824376371	0.825971667425211	0.331441183532449	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Cebuella_pygmaea	Colobus_guereza	0.86	36.97	78.0653383527	0.352981427174976	0.642973170083984	0.591757049616312	0.680835223559208	0.324864640754972	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Macaca_arctoides	Lemur_catta	60.76	11.66	121.4130573141	0.479960899315738	0.999999999976115	0.632770963936414	0.803992748056494	0.303705320919062	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Nomascus_concolor	Eulemur_macaco	58.19	9.14	121.4130573151	0.479472140762463	0.999999999984351	0.632282858271678	0.803536966400342	0.303162015627675	178.990085874601	178.803261436413	0.186824438188381	BM	Hylobatidae	APE	Lemuridae	STR	order
Macaca_arctoides	Eulemur_fulvus	60.76	11.8	121.4130573125	0.478592375366569	0.999999999962937	0.631403250386589	0.802714603928719	0.30218478142789	178.990085874601	178.803261436413	0.186824438188381	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Callithrix_jacchus	Colobus_guereza	2.83	36.97	78.0653383523	0.333724340175953	0.64297317008069	0.565710643698216	0.653719716020756	0.293622533697648	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Colobus_guereza	3.68	36.97	78.0653383522	0.325415444770284	0.642973170079866	0.55418233091248	0.641579865137774	0.280477472606386	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Colobus_guereza	3.82	36.97	78.0653383537	0.324046920821114	0.642973170092221	0.552266967573	0.639554984925418	0.278332625119609	178.990085874601	178.803261436413	0.186824438188381	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Nomascus_concolor	Lemur_catta	58.19	11.66	121.413057316	0.454838709677419	0.999999999991764	0.60716106730582	0.779549851384381	0.276160356422018	178.990085874601	178.803261436413	0.186824438188381	BM	Hylobatidae	APE	Lemuridae	STR	order
Nomascus_concolor	Eulemur_fulvus	58.19	11.8	121.4130573144	0.45347018572825	0.999999999978586	0.605735569353946	0.778158182416352	0.274683021143024	178.990085874601	178.803261436413	0.186824438188381	BM	Hylobatidae	APE	Lemuridae	STR	order
