Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_beringei	Gorilla_gorilla	2969.47	4071.32	2.069936054	0.277451829618364	0.0170487104083346	0.999993531512069	0.999745002919403	16.2699156457137	670.438530315931	666.38182715556	4.05670316037049	OU	Hominidae	APE	Hominidae	APE	family
Macaca_mulatta	Papio_anubis	1353	3398	22.4016461426	0.51494213510873	0.18450771801242	0.98906179045688	0.980638796390734	2.73686239808086	670.438530315931	666.38182715556	4.05670316037049	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Cercopithecus_ascanius	3398	1189	29.8369393136	0.556238228095444	0.245747368304268	0.982769399905746	0.977673440718398	2.21292030947757	670.438530315931	666.38182715556	4.05670316037049	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Cercopithecus_mitis	3398	1366	29.8369393137	0.511668664323197	0.245747368305091	0.971541543290643	0.964419998725919	2.00801130037756	670.438530315931	666.38182715556	4.05670316037049	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Erythrocebus_patas	3398	1591	29.8369393139	0.455012439188985	0.245747368306739	0.948622394451617	0.938374096090711	1.73744235503288	670.438530315931	666.38182715556	4.05670316037049	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Gorilla_gorilla	133	4071.32	78.0653383507	0.991690420313649	0.642973170063805	0.991339736317043	0.998676809112417	1.54031034372384	670.438530315931	666.38182715556	4.05670316037049	OU	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	221	4071.32	78.0653383503	0.969531541150046	0.64297317006051	0.989727635915114	0.998305646346937	1.50533312572039	670.438530315931	666.38182715556	4.05670316037049	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	262	4071.32	78.0653383502	0.959207517903367	0.642973170059687	0.988889181971467	0.998101891319523	1.48899966961045	670.438530315931	666.38182715556	4.05670316037049	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	280	4071.32	78.0653383511	0.95467501989263	0.642973170067099	0.988502258830725	0.99800552107762	1.48182068092873	670.438530315931	666.38182715556	4.05670316037049	OU	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Gorilla_gorilla	281	4071.32	78.0653383533	0.954423214447589	0.642973170085219	0.988480416644199	0.998000037724302	1.48142169586547	670.438530315931	666.38182715556	4.05670316037049	OU	Callitrichidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	352	4071.32	78.065338345	0.936545027849682	0.642973170016858	0.986832342779124	0.997573437780005	1.4530504329493	670.438530315931	666.38182715556	4.05670316037049	OU	Cebidae	PLA	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_gorilla	1189	4071.32	62.1515760317	0.725783870350412	0.511901910756343	0.968700661374823	0.985580380989419	1.39737384921857	670.438530315931	666.38182715556	4.05670316037049	OU	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_gorilla	Nomascus_concolor	4071.32	1900	45.776514104	0.546750198926302	0.377031228068141	0.941252647510941	0.952049305413727	1.38061016799523	670.438530315931	666.38182715556	4.05670316037049	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Aotus_trivirgatus	Gorilla_gorilla	539	4071.32	78.0653383541	0.889457409627026	0.642973170091808	0.981455001937847	0.996021875579883	1.37784759706013	670.438530315931	666.38182715556	4.05670316037049	OU	Aotidae	PLA	Hominidae	APE	order
