Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_macaco	Eulemur_flavifrons	13.56405371	19.56579754	3.030803714	0.295589604116524	0.0305030633496716	0.989415968890495	0.933395626764226	9.04506018417008	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Varecia_variegata	21.04294946	16.08345337	3.814273482	0.244258256830757	0.0383881757558182	0.940280548498144	0.830218510518834	5.28255698988829	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_macaco	27.02731211	13.56405371	15.6477288181	0.663073822091882	0.15748418850492	0.988382119436066	0.977972180269784	4.11766893951235	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_albifrons	27.02731211	15.31167002	15.6477288182	0.577002635474695	0.157484188505926	0.97190599778401	0.953699761661626	3.49423825433522	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_collaris	15.31167002	21.75155971	9.5384061272	0.317168559328728	0.0959978387940162	0.877910254197124	0.792186643945538	2.6173161785318	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_fulvus	27.02731211	17.76230322	15.6477288174	0.456307431223898	0.157484188497875	0.917546858685014	0.884935435377369	2.56408353859282	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_mongoz	14.77573538	27.02731211	22.837425719	0.603397748721294	0.229843800254125	0.942682219690606	0.946664858525177	2.48523320531637	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_macaco	21.75155971	13.56405371	14.8274950171	0.403239745945915	0.149229070076143	0.885097715149374	0.841724070692943	2.27446703413483	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_sanfordi	27.02731211	18.56929557	15.6477288182	0.416562557730761	0.157484188505926	0.887116418694141	0.849729072846092	2.24762447151726	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_coronatus	27.02731211	18.70221486	15.6477288181	0.410016200301415	0.15748418850492	0.881346431178372	0.843215035562664	2.19534308936434	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_rufus	15.31167002	20.64608049	9.5384061272	0.262723022455682	0.0959978387940162	0.799687804547657	0.703225966476512	1.92456052868498	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_flavifrons	27.02731211	19.56579754	15.6477288181	0.367484217975358	0.15748418850492	0.838061254573349	0.795589572069434	1.85648232052294	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rufus	Eulemur_macaco	20.64608049	13.56405371	14.8274950171	0.348794209072869	0.149229070076143	0.827329135376258	0.7776846578708	1.81768810200148	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_sanfordi	15.31167002	18.56929557	5.21120138	0.160440077743934	0.0524473442762965	0.709980957578139	0.572458727861829	1.75119110549234	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Hapalemur_griseus	27.02731211	10.11813342	47.7997285408	0.832787532504976	0.481073103164717	0.93023139126435	0.987290583376334	1.70910259456733	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_collaris	17.76230322	21.75155971	7.651134656	0.196473355077931	0.0770036819048309	0.715082877620615	0.599555536101949	1.52975396525952	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_rufus	27.02731211	20.64608049	15.6477288174	0.314279613019013	0.157484188497875	0.768339850817099	0.722231922065969	1.4413051312763	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Galago_moholi	Otolemur_garnettii	6.722999149	12.64461766	15.608317406	0.291643382485982	0.157087538337694	0.733579780420515	0.686439111999586	1.27441951546703	152.33904176217	145.177141046391	7.16190071577935	OU	Galagidae	STR	Galagidae	STR	family
Eulemur_mongoz	Microcebus_murinus	27.02731211	8.808149068	71.983496225	0.897305073902027	0.724466957506844	0.888660672851296	0.992305047960837	1.22904204969961	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Eulemur_macaco	18.70221486	13.56405371	13.292473054	0.253057621790466	0.133780074825382	0.703948942787408	0.637580410097379	1.20604344473592	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Propithecus_coquereli	27.02731211	9.578435394	71.983496226	0.859367994845004	0.724466957516908	0.872712321925776	0.989304373493274	1.17352007143882	152.33904176217	145.177141046391	7.16190071577935	OU	Lemuridae	STR	Indriidae	STR	superfamily
