Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	0.393939394	0.139534884	5.9520781674	0.404666822658932	0.0599037861025927	0.994628921227809	0.889595532953256	6.00946653280388	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lorisidae	STR	Lorisidae	STR	family
Eulemur_albifrons	Eulemur_sanfordi	0.214285714	0.058823529	5.21120138	0.247284878902363	0.0524473442762965	0.930951202823869	0.682903681378101	3.21983422576999	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_rufus	0.058823529	0.265734266	9.5384061272	0.329121172088529	0.0959978387940162	0.926316697532429	0.778276766016751	2.66826175108297	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_fulvus	0.058823529	0.260869565	9.5384061272	0.321383168163772	0.0959978387940162	0.91927997690528	0.767220348798074	2.56851309856581	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_coronatus	0.058823529	0.328358209	14.8274950179	0.428733525801063	0.149229070084195	0.938337342675929	0.880394358785231	2.52936359735003	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_macaco	0.058823529	0.323232323	14.8274950179	0.420580069712836	0.149229070084195	0.933223503614042	0.873197084204237	2.46097687495112	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Varecia_variegata	0.156028369	0.264150943	3.814273482	0.171984445080338	0.0383881757558182	0.860590434462117	0.545878167588839	2.44561123017181	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Eulemur_flavifrons	0.323232323	0.231884058	3.030803714	0.145302503296644	0.0305030633496716	0.838733130007974	0.500416564265056	2.38375335110732	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_collaris	0.058823529	0.245901639	9.5384061272	0.297574537348957	0.0959978387940162	0.894151501296054	0.730767872911335	2.26523757641747	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_coucang	Perodicticus_potto	0.139534884	0.6875	39.9170348614	0.871617026048999	0.401738930661854	0.979411792291602	0.998351223558641	2.16603335653073	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lorisidae	STR	Lorisidae	STR	family
Eulemur_rubriventer	Eulemur_sanfordi	0.363636364	0.058823529	22.8374257192	0.48484848576431	0.229843800256138	0.911400402041932	0.920131451438067	1.9409892302368	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
Loris_tardigradus	Perodicticus_potto	0.34	0.6875	39.9170348617	0.552748537649662	0.401738930664873	0.857998254573526	0.954044572794966	1.31266029307207	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lorisidae	STR	Lorisidae	STR	family
Eulemur_mongoz	Eulemur_sanfordi	0.238095238	0.058823529	15.6477288182	0.285157338105628	0.157484188505926	0.773681275063844	0.69884439533551	1.26540073269903	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
Perodicticus_potto	Otolemur_garnettii	0.6875	0.329059829	43.154528579	0.570150447065165	0.434322194139443	0.854796508338005	0.960470502133901	1.26084435373968	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lorisidae	STR	Galagidae	STR	superfamily
Eulemur_sanfordi	Eulemur_flavifrons	0.058823529	0.231884058	14.8274950179	0.275277566416192	0.149229070084195	0.769801526893553	0.68236995495252	1.25874362474334	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_coucang	Loris_tardigradus	0.139534884	0.34	22.2897034071	0.318868488399338	0.224331332290351	0.743025399804796	0.750665394867094	1.06700895194237	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lorisidae	STR	Lorisidae	STR	family
Nycticebus_pygmaeus	Perodicticus_potto	0.393939394	0.6875	39.917034862	0.466950203390068	0.401738930667892	0.785192465970036	0.908206409011463	1.05562875547814	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lorisidae	STR	Lorisidae	STR	family
Eulemur_sanfordi	Perodicticus_potto	0.058823529	0.6875	99.3606340172	1	0.999999999963768	0.907773327499747	0.999694603330779	0.999694603367	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lorisidae	STR	superfamily
Perodicticus_potto	Galago_moholi	0.6875	0.390946502	43.154528579	0.471710826919113	0.434322194139443	0.771866132421488	0.911468958265647	0.989932777592647	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lorisidae	STR	Galagidae	STR	superfamily
Daubentonia_madagascariensis	Perodicticus_potto	0.103448276	0.6875	99.360634014	0.929017946338889	0.999999999931563	0.882241113613386	0.999204585109607	0.928278991694458	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Daubentoniidae	STR	Lorisidae	STR	superfamily
Varecia_rubra	Perodicticus_potto	0.156028369	0.6875	99.360634019	0.845381775072031	0.999999999981884	0.845387325313667	0.99772982201176	0.843462607989883	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lorisidae	STR	superfamily
Microcebus_murinus	Perodicticus_potto	0.158333333	0.6875	99.360634016	0.841715399589052	0.999999999951691	0.843590959850249	0.99762764296373	0.839718550178866	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Cheirogaleidae	STR	Lorisidae	STR	superfamily
Nycticebus_coucang	Galago_moholi	0.139534884	0.390946502	43.1545285784	0.399906199129886	0.434322194133404	0.693089086063624	0.851242513753313	0.783789460476654	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lorisidae	STR	Galagidae	STR	superfamily
Lemur_catta	Perodicticus_potto	0.197368421	0.6875	99.360634018	0.779624499419193	0.99999999997182	0.810718013551416	0.995121876814282	0.775821395094285	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lorisidae	STR	superfamily
Eulemur_sanfordi	Hapalemur_griseus	0.058823529	0.326086957	47.799728541	0.425120774084131	0.48107310316673	0.697938048399898	0.875210011302825	0.773416670027979	-19.677968238287	-26.8364175044723	7.1584492661853	OU	Lemuridae	STR	Lemuridae	STR	family
