Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	0.294117647	0.105263158	5.9520781674	0.446383337717524	0.0599037861025927	0.990767457896466	0.917434231503791	6.83641854779608	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lorisidae	STR	Lorisidae	STR	family
Eulemur_albifrons	Eulemur_rufus	0.076923077	0.265625	9.5384061272	0.446022727172004	0.0959978387940162	0.96010332583011	0.868174776171767	4.03369165592312	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_coronatus	0.076923077	0.3	14.8274950179	0.527272727186777	0.149229070084195	0.948620746461517	0.894872055971612	3.1618613529467	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Eulemur_flavifrons	0.22	0.151515152	3.030803714	0.161873277120341	0.0305030633496716	0.814154994272695	0.582894896695341	3.09329938646353	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_albifrons	0.384615385	0.076923077	22.8374257192	0.727272728132231	0.229843800256138	0.969638997720898	0.965677706249967	3.05560149605181	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_rufus	0.111111111	0.265625	9.5384061272	0.365214646793675	0.0959978387940162	0.907535052064678	0.782768416255982	2.97796798610838	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_sanfordi	0.384615385	0.111111111	22.8374257192	0.646464647753903	0.229843800256138	0.945739893275066	0.940044982049439	2.64399495446989	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_coronatus	0.111111111	0.3	14.8274950179	0.446464646808448	0.149229070084195	0.90099747300873	0.829978758368587	2.48313665028187	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_collaris	0.076923077	0.212121212	9.5384061272	0.31955922823992	0.0959978387940162	0.859033792532571	0.71971108164667	2.39578641244436	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_coucang	Perodicticus_potto	0.105263158	0.5	39.9170348614	0.933014353987821	0.401738930661854	0.964374838865807	0.991869906646062	2.30355783210932	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lorisidae	STR	Lorisidae	STR	family
Eulemur_rubriventer	Eulemur_flavifrons	0.384615385	0.151515152	22.8374257191	0.550964187191084	0.229843800255132	0.899081210391066	0.89111631367048	2.13611667971544	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_rufus	0.16	0.265625	7.651134656	0.249659090954483	0.0770036819048309	0.800934100365574	0.630143880388302	2.04303410507965	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_fulvus	0.384615385	0.16	22.8374257184	0.530909091914711	0.229843800248087	0.886054369402277	0.877623086227982	2.02719444792404	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Loris_tardigradus	Perodicticus_potto	0.15	0.5	39.9170348617	0.82727272742314	0.401738930664873	0.937544253231207	0.981057911115548	2.02022356296268	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lorisidae	STR	Lorisidae	STR	family
Eulemur_coronatus	Eulemur_flavifrons	0.3	0.151515152	13.292473054	0.35096418624563	0.133780074825382	0.829208142510137	0.728758859306093	1.91185615914404	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_mongoz	0.384615385	0.186046512	22.837425719	0.469344608994426	0.229843800254125	0.837708235690924	0.827975967393686	1.6907397817279	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_macaco	0.076923077	0.22	14.8274950179	0.338181818061488	0.149229070084195	0.788553698989785	0.701356206844589	1.58940826345424	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_coronatus	0.16	0.3	14.8274950171	0.330909090969256	0.149229070076143	0.778566525265941	0.690843997014059	1.53191706506543	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_collaris	0.111111111	0.212121212	9.5384061272	0.238751147861591	0.0959978387940162	0.728633628465083	0.580132073593977	1.44281579900027	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_collaris	0.384615385	0.212121212	22.8374257184	0.407713499892311	0.229843800248087	0.775216962037522	0.764532023703557	1.35618201068499	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Lemur_catta	Hapalemur_griseus	0.162962963	0.35	25.8477057818	0.44208754208038	0.260140306435535	0.783999266517402	0.797530696864565	1.35533931800714	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_macaco	0.384615385	0.22	22.8374257191	0.389090910070744	0.229843800255132	0.753324237801688	0.742450338875558	1.25685651609815	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Hapalemur_griseus	0.076923077	0.35	47.799728541	0.645454545390083	0.48107310316673	0.815931951351005	0.932327259247233	1.25090108615705	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rufus	Eulemur_flavifrons	0.265625	0.151515152	14.8274950171	0.269714186230857	0.149229070076143	0.681044748778101	0.592851527549211	1.07151017711943	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Hapalemur_griseus	0.111111111	0.35	47.799728541	0.564646465011754	0.48107310316673	0.754777421744664	0.890051551541494	1.04467379063168	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Loris_tardigradus	0.294117647	0.15	22.2897034077	0.340641711152844	0.224331332296389	0.695389484281119	0.679449720782417	1.03172799430376	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lorisidae	STR	Lorisidae	STR	family
Nycticebus_coucang	Galago_moholi	0.105263158	0.324786325	43.1545285784	0.518872940276159	0.434322194133404	0.738916275125287	0.858505960290944	1.02563377574931	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lorisidae	STR	Galagidae	STR	superfamily
Perodicticus_potto	Otolemur_garnettii	0.5	0.282051282	43.154528579	0.515151515366391	0.434322194139443	0.735480721545629	0.855628898467074	1.01486529950407	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lorisidae	STR	Galagidae	STR	superfamily
Nycticebus_pygmaeus	Perodicticus_potto	0.294117647	0.5	39.917034862	0.486631016270297	0.401738930667892	0.726881667866939	0.832534435075235	1.00845859659938	-30.7605213044099	-36.3134811584371	5.55295985402716	OU	Lorisidae	STR	Lorisidae	STR	family
