Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_macaco	Eulemur_flavifrons	574.6875	299	3.030803714	0.22058954451395	0.024962749320008	0.937453351781997	0.861653293331872	7.61421368569678	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_collaris	527.4	1189.55208333333	9.5384061272	0.529816645518794	0.0785616171597847	0.988313622417224	0.966952634151423	6.52109286344879	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_flavifrons	1189.55208333333	299	14.8274950171	0.712569407131077	0.122124385504014	0.993470751589707	0.984066860950693	5.7418175476668	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_flavifrons	1075.5	299	13.292473054	0.621311380875384	0.109481412853371	0.987748022367826	0.971472982843616	5.51314789170729	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_collaris	727	1189.55208333333	7.651134656	0.370108014967955	0.0630173955340987	0.95077933463178	0.897752070275375	5.2725955086989	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Varecia_variegata	912.666666666667	672	3.814273482	0.192567854471787	0.0314156777389774	0.852733755258127	0.754688058770324	4.6259915663882	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_flavifrons	1386.75	299	22.8374257191	0.870356026461299	0.188096949567152	0.992570453256144	0.988910396142508	4.57585370147421	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_macaco	1189.55208333333	574.6875	14.8274950171	0.491979862617126	0.122124385504014	0.939609916173415	0.903936405883527	3.64152095378673	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_collaris	559	1189.55208333333	15.6477288174	0.504532112826376	0.128880115228809	0.939165076429002	0.905736090969613	3.54572109769386	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_albifrons	1386.75	527.4	22.8374257192	0.687603264849016	0.188096949567976	0.965558040490183	0.955203000591337	3.49182006039295	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_mongoz	1386.75	559	22.837425719	0.662318732156599	0.188096949566329	0.958359129341483	0.946735537875591	3.33360366863495	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_macaco	1386.75	574.6875	22.8374257191	0.649766481947349	0.188096949567152	0.954335853680912	0.942058569297	3.2542690552349	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_coronatus	527.4	1075.5	14.8274950179	0.438558619263101	0.122124385510603	0.905873477868514	0.862067346444733	3.09575408373933	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_macaco	1075.5	574.6875	13.292473054	0.400721836361433	0.109481412853371	0.893797725322675	0.842179749959535	3.08253069771933	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_coronatus	559	1075.5	15.6477288181	0.413274086570683	0.128880115234574	0.875364782316192	0.829518205977144	2.65997883571872	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_fulvus	1386.75	727	22.8374257184	0.527894634298177	0.188096949561387	0.895548143214512	0.876560458003293	2.46006946681969	398.64806098218	394.548234514483	4.09982646769612	OU	Lemuridae	STR	Lemuridae	STR	family
