Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	20.325	28.6666666666667	1.4560128688	0.169661016949153	0.0119922263796461	0.961373358115258	0.784468369889298	11.0983313011633	300.003879924016	284.407452159937	15.5964277640788	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Propithecus_tattersalli	Propithecus_coquereli	13	41.218487394958	8.601073458	0.573935336846603	0.0708414205853214	0.996004401870207	0.96951418243563	7.85470483618518	300.003879924016	284.407452159937	15.5964277640788	OU	Indriidae	STR	Indriidae	STR	family
Macaca_arctoides	Macaca_nigra	53.4	25	10.9824679321	0.577627118644067	0.0904554104370609	0.989645699456802	0.960549383617946	6.13384395796454	300.003879924016	284.407452159937	15.5964277640788	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_macaco	Eulemur_flavifrons	40.4625	50.4166666666667	3.030803714	0.202457627118645	0.024962749320008	0.912836094866135	0.720308482885393	5.84198256245442	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Macaca_nigra	45.8463235294118	25	10.9824679326	0.423993020937189	0.0904554104411791	0.94014637867741	0.869387984406378	4.07509552029124	300.003879924016	284.407452159937	15.5964277640788	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nemestrina	Macaca_nigra	39.2805353093618	25	7.6582823365	0.290451565614138	0.0630762663067973	0.877361452824285	0.741065203715574	3.41243325333214	300.003879924016	284.407452159937	15.5964277640788	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nigra	42.6895872094387	25	10.9824679327	0.359788214429261	0.0904554104420027	0.889712166973563	0.800430430277968	3.18372813607654	300.003879924016	284.407452159937	15.5964277640788	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nycticebus_pygmaeus	Loris_tardigradus	62.1666666666667	32.3333333333333	22.2897034077	0.60677966101695	0.183585718868412	0.941299079353165	0.951077524611708	3.14346073072478	300.003879924016	284.407452159937	15.5964277640788	OU	Lorisidae	STR	Lorisidae	STR	family
Callithrix_jacchus	Leontopithecus_rosalia	51.566265060241	20.325	23.8355055674	0.635415560547274	0.196317480952731	0.944427523497744	0.959993188352413	3.10718437776505	300.003879924016	284.407452159937	15.5964277640788	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Cebuella_pygmaea	Leontopithecus_rosalia	49.5277777777778	20.325	23.8355055678	0.593954802259887	0.196317480956025	0.926459356943603	0.945101212057972	2.85938572963461	300.003879924016	284.407452159937	15.5964277640788	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_fulvus	Eulemur_collaris	59.25	47.1676303854875	7.651134656	0.245743110803644	0.0630173955340987	0.808709404937095	0.660617318051954	2.57614827482047	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_macaco	59.25	40.4625	14.8274950171	0.382118644067796	0.122124385504014	0.855610536469103	0.80411782923543	2.5160283370931	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_nemestrina	53.4	39.2805353093618	10.9824679326	0.287175553029929	0.0904554104411791	0.797553864364576	0.694111673200584	2.2036482134535	300.003879924016	284.407452159937	15.5964277640788	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_fulvus	Eulemur_coronatus	59.25	42.2738095238095	14.8274950171	0.345278450363196	0.122124385504014	0.812802201281981	0.757466701286265	2.14156188170336	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Leontopithecus_chrysomelas	51.566265060241	28.6666666666667	23.8355055674	0.465754543598121	0.196317480952731	0.839448863858239	0.867760752560982	2.05872401836043	300.003879924016	284.407452159937	15.5964277640788	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Leontopithecus_rosalia	Saimiri_sciureus	20.325	52.8496905871906	41.3912937967	0.661519130586927	0.340913034488192	0.86956981451926	0.964823711989983	1.87217641614513	300.003879924016	284.407452159937	15.5964277640788	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Cebuella_pygmaea	Leontopithecus_chrysomelas	49.5277777777778	28.6666666666667	23.8355055678	0.424293785310734	0.196317480956025	0.798859092642385	0.82972722297182	1.79325907451377	300.003879924016	284.407452159937	15.5964277640788	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Propithecus_tattersalli	Cheirogaleus_medius	13	61.3333333333333	69.529333389	0.983050847457626	0.57266767615452	0.917098790088017	0.998229308736349	1.71357701642921	300.003879924016	284.407452159937	15.5964277640788	OU	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_fulvus	Propithecus_tattersalli	59.25	13	71.9834962254	0.940677966101694	0.59288101144659	0.897071248180688	0.997223437135177	1.58221649282449	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_albifrons	Eulemur_macaco	54.4791666666667	40.4625	14.8274950179	0.285084745762712	0.122124385510603	0.723838561770716	0.665424186863083	1.55335303709472	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Saguinus_oedipus	51.566265060241	31.8023175542406	26.3249190819	0.401978593342381	0.216821153041178	0.750840117127641	0.803914076073257	1.49042768630003	300.003879924016	284.407452159937	15.5964277640788	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_arctoides	Macaca_mulatta	53.4	42.6895872094387	10.2479298856	0.217838904214806	0.0844055006273002	0.683133362371047	0.569363807333564	1.46944911134141	300.003879924016	284.407452159937	15.5964277640788	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_mongoz	Eulemur_fulvus	45.249	59.25	15.6477288174	0.284766101694915	0.128880115228809	0.710342070539048	0.661321351386402	1.46121768177798	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Propithecus_tattersalli	54.4791666666667	13	71.9834962262	0.84364406779661	0.592881011453179	0.856421461303889	0.992700712640142	1.4125702310209	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
Propithecus_tattersalli	Mirza_zaza	13	51.95	69.529333389	0.792203389830508	0.57266767615452	0.83771914386005	0.988241224373574	1.36708964119664	300.003879924016	284.407452159937	15.5964277640788	OU	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_sanfordi	Eulemur_fulvus	49.775	59.25	9.5384061272	0.19271186440678	0.0785616171597847	0.641280244258581	0.521394956791097	1.27898327259663	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Lemuridae	STR	family
Leontopithecus_chrysomelas	Saimiri_sciureus	28.6666666666667	52.8496905871906	41.3912937967	0.491858113637774	0.340913034488192	0.739206541285098	0.882677283599452	1.27349775380084	300.003879924016	284.407452159937	15.5964277640788	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Eulemur_flavifrons	Propithecus_tattersalli	50.4166666666667	13	71.9834962261	0.761016949152543	0.592881011452355	0.8129466555506	0.984484176474035	1.26367539185294	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
Pan_paniscus	Pan_troglodytes	34.0886363636364	40.0040892565542	4.786270704	0.120314296127142	0.0394213835788014	0.58143240268305	0.411806332233286	1.25683536460123	300.003879924016	284.407452159937	15.5964277640788	OU	Hominidae	APE	Hominidae	APE	family
Cebuella_pygmaea	Saguinus_oedipus	49.5277777777778	31.8023175542406	26.3249190823	0.360517835054994	0.216821153044472	0.698645294467193	0.753724613925125	1.25325025821725	300.003879924016	284.407452159937	15.5964277640788	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Daubentonia_madagascariensis	Propithecus_tattersalli	59.9833333333333	13	92.496943883	0.955593220338982	0.761836872626379	0.856113890736395	0.997625074806673	1.25134893332074	300.003879924016	284.407452159937	15.5964277640788	OU	Daubentoniidae	STR	Indriidae	STR	superfamily
Eulemur_sanfordi	Propithecus_tattersalli	49.775	13	71.9834962262	0.747966101694915	0.592881011453179	0.805272661853578	0.982621795797451	1.23965480399117	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
Propithecus_tattersalli	Nycticebus_pygmaeus	13	62.1666666666667	99.360634017	1	0.818368602290629	0.859953385549659	0.998527515770569	1.22014397054783	300.003879924016	284.407452159937	15.5964277640788	OU	Indriidae	STR	Lorisidae	STR	superfamily
Eulemur_albifrons	Eulemur_coronatus	54.4791666666667	42.2738095238095	14.8274950179	0.248244552058112	0.122124385510603	0.657002185302068	0.599228173345195	1.21806246025912	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Propithecus_tattersalli	47.7222222222222	13	71.9834962288	0.706214689265536	0.592881011474593	0.779175159629179	0.975285299657602	1.16171844183351	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_collaris	Propithecus_tattersalli	47.1676303854875	13	71.9834962254	0.69493485529805	0.59288101144659	0.771712657389038	0.972892207482439	1.14035817031444	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
Propithecus_tattersalli	Microcebus_murinus	13	46	69.529333389	0.671186440677966	0.57266767615452	0.763574420972929	0.967194327853091	1.13358540282003	300.003879924016	284.407452159937	15.5964277640788	OU	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_rubriventer	Propithecus_tattersalli	46.92	13	71.983496227	0.689898305084745	0.592881011459768	0.768323207539798	0.971760662931817	1.13077670113606	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
Varecia_variegata	Propithecus_tattersalli	45.6777777777778	13	71.983496228	0.664632768361582	0.592881011468004	0.750781128428079	0.965450421341521	1.0822913431875	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_mongoz	Propithecus_tattersalli	45.249	13	71.983496226	0.655911864406779	0.592881011451531	0.74451590716343	0.963009155825616	1.06538937600975	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
Loris_tardigradus	Galago_moholi	32.3333333333333	54	43.1545285787	0.440677966101695	0.355435646972817	0.676214707425447	0.83930874918356	1.04059588753026	300.003879924016	284.407452159937	15.5964277640788	OU	Lorisidae	STR	Galagidae	STR	superfamily
Saguinus_oedipus	Saimiri_sciureus	31.8023175542406	52.8496905871906	41.3912937952	0.428082163382034	0.340913034475838	0.672276230726866	0.827131216591317	1.03862300584556	300.003879924016	284.407452159937	15.5964277640788	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Leontopithecus_rosalia	Macaca_arctoides	20.325	53.4	78.0653383538	0.672711864406779	0.642973170088808	0.73724547089276	0.967586339321357	1.01233899108029	300.003879924016	284.407452159937	15.5964277640788	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Propithecus_tattersalli	Galago_moholi	13	54	99.360634018	0.833898305084745	0.818368602298865	0.781495649618377	0.991994560523328	1.01081906166726	300.003879924016	284.407452159937	15.5964277640788	OU	Indriidae	STR	Galagidae	STR	superfamily
Lemur_catta	Propithecus_tattersalli	43.1253472222222	13	71.983496227	0.612718926553672	0.592881011459768	0.711876739855609	0.948645702466536	0.98038757399889	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_coronatus	Propithecus_tattersalli	42.2738095238095	13	71.9834962261	0.595399515738498	0.592881011452355	0.698031714109278	0.941699264782226	0.945699517090529	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
Varecia_rubra	Propithecus_tattersalli	41.8731481481481	13	71.983496228	0.587250470809791	0.592881011468004	0.691366703084746	0.938170299764745	0.929260576034391	300.003879924016	284.407452159937	15.5964277640788	OU	Lemuridae	STR	Indriidae	STR	superfamily
