Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	683.5185185	1500.5	5.9520781674	0.177246703873841	0.0599037861025927	0.88909981926906	0.889099817073347	2.63071873471196	394.655600818033	396.655600818033	-1.99999999999983	BM	Lorisidae	STR	Lorisidae	STR	family
Varecia_rubra	Varecia_variegata	4190.5	3726.25	3.814273482	0.100720498734377	0.0383881757558182	0.742205135406999	0.742205132479345	1.9473514937755	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_macaco	1796.5	2873.5	13.292473054	0.233658539874905	0.133780074825382	0.840354240067751	0.840354237500128	1.46775179314417	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Microcebus_murinus	4704.290123	95	69.529333389	1	0.699767408634338	0.991499215327355	0.991499214922415	1.41689824803696	394.655600818033	396.655600818033	-1.99999999999983	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	4704.290123	337	69.529333389	0.947497338301089	0.699767408634338	0.987345350475287	0.987345349928623	1.33688291283102	394.655600818033	396.655600818033	-1.99999999999983	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_macaco	1741.25	2873.5	15.6477288181	0.245645201275173	0.15748418850492	0.826993691145868	0.826993688502949	1.28995192243365	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	4190.5	95	71.983496227	0.888531615652435	0.724466957526973	0.978436546388264	0.978436545583716	1.20001581347951	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_rubra	1237.5	4190.5	52.6432531428	0.640662644615222	0.52982002038936	0.947318150157691	0.947318148702335	1.14550475258752	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	4190.5	337	71.983496227	0.836028953953524	0.724466957526973	0.969396111594821	0.969396110570091	1.11867519798245	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_macaco	Eulemur_flavifrons	2873.5	2596.666667	3.030803714	0.0600598629317394	0.0305030633496716	0.550947664865423	0.550947662075777	1.08480387215717	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_collaris	1741.25	2747.666667	15.6477288174	0.218345263618373	0.157484188497875	0.774170912633608	0.774170909778949	1.07335570394067	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_coronatus	2747.666667	1796.5	14.8274950171	0.206358602218106	0.149229070076143	0.760372058488017	0.760372055597339	1.05146614580677	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Microcebus_murinus	3726.25	95	71.983496227	0.787811116918057	0.724466957526973	0.958398206156043	0.958398204901361	1.04219627051237	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Nycticebus_coucang	Loris_tardigradus	1500.5	219.8333333	22.2897034071	0.277844664259594	0.224331332290351	0.803411506828287	0.803411504075158	0.995062072239126	394.655600818033	396.655600818033	-1.99999999999983	BM	Lorisidae	STR	Lorisidae	STR	family
Hapalemur_griseus	Propithecus_coquereli	1237.5	4704.290123	71.9834962288	0.752131028962787	0.724466957545089	0.948249549923822	0.948249548484329	0.984458852498205	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Indriidae	STR	superfamily
Lemur_catta	Hapalemur_griseus	2653	1237.5	25.8477057818	0.307097180309125	0.260140306435535	0.814967494519825	0.814967491817278	0.962073978615268	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Cheirogaleus_medius	3726.25	337	71.983496227	0.735308455219147	0.724466957526973	0.942789136136246	0.942789134606112	0.956897779929357	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Galago_moholi	4704.290123	165.6666667	99.360634018	0.98466864423496	0.99999999997182	0.969807775894253	0.969807774878857	0.954939307885226	394.655600818033	396.655600818033	-1.99999999999983	BM	Indriidae	STR	Galagidae	STR	superfamily
Propithecus_coquereli	Loris_tardigradus	4704.290123	219.8333333	99.3606340167	0.972917015425631	0.999999999958736	0.96778160109456	0.967781600033775	0.941571186959611	394.655600818033	396.655600818033	-1.99999999999983	BM	Indriidae	STR	Lorisidae	STR	superfamily
Galago_moholi	Otolemur_garnettii	165.6666667	1087.966667	15.608317406	0.200095888019241	0.157087538337694	0.733579352928034	0.733579349986707	0.934423020501893	394.655600818033	396.655600818033	-1.99999999999983	BM	Galagidae	STR	Galagidae	STR	family
Hapalemur_griseus	Varecia_variegata	1237.5	3726.25	52.6432531428	0.539942145880844	0.52982002038936	0.897513418099309	0.897513415986553	0.914660266271667	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_flavifrons	1796.5	2596.666667	13.292473054	0.173598676943165	0.133780074825382	0.703882842450094	0.703882839479222	0.913388113527556	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Varecia_rubra	1741.25	4190.5	52.64325314	0.531372496553956	0.52982002036118	0.891945563643402	0.891945561475027	0.894559138441622	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_fulvus	1741.25	2629	15.6477288174	0.192600156707471	0.157484188497875	0.714643445986444	0.714643443023269	0.873995294383563	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Varecia_rubra	1796.5	4190.5	52.6432531401	0.519385835153688	0.529820020362186	0.883759062764562	0.883759060519441	0.866354462360314	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_coronatus	2629	1796.5	14.8274950171	0.180613495307204	0.149229070076143	0.696619426730228	0.696619423755989	0.843125736134711	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Galago_moholi	4190.5	165.6666667	99.36063402	0.873200259887394	0.999999999991949	0.945417280227027	0.945417278739819	0.825538614802921	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Galagidae	STR	superfamily
Propithecus_coquereli	Nycticebus_pygmaeus	4704.290123	683.5185185	99.360634017	0.872319055039877	0.999999999961755	0.945172827733174	0.945172826241919	0.824492267969103	394.655600818033	396.655600818033	-1.99999999999983	BM	Indriidae	STR	Lorisidae	STR	superfamily
Eulemur_mongoz	Eulemur_flavifrons	1741.25	2596.666667	15.6477288181	0.185585338343433	0.15748418850492	0.69673266010968	0.696732657135482	0.821056181505713	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Loris_tardigradus	4190.5	219.8333333	99.3606340187	0.861448631078066	0.999999999978865	0.942081485316955	0.942081483775477	0.811554805907434	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Eulemur_mongoz	Propithecus_coquereli	1741.25	4704.290123	71.983496226	0.642840880901521	0.724466957516908	0.903597747949519	0.903597745900937	0.801788910102145	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_coronatus	Propithecus_coquereli	1796.5	4704.290123	71.9834962261	0.630854219501253	0.724466957517915	0.897225868865542	0.897225866749843	0.781289911632041	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_sanfordi	Eulemur_collaris	2195	2747.666667	9.5384061272	0.119902772932916	0.0959978387940162	0.605720368732026	0.605720365823418	0.756554030229326	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Microcebus_murinus	2873.5	95	71.9834962251	0.602804320373652	0.72446695750785	0.881005194381503	0.881005192111841	0.733054464308048	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Perodicticus_potto	4704.290123	1039	99.360634017	0.795196228744745	0.999999999961755	0.919963130889576	0.91996312903317	0.731551212295576	394.655600818033	396.655600818033	-1.99999999999983	BM	Indriidae	STR	Lorisidae	STR	superfamily
Propithecus_coquereli	Otolemur_garnettii	4704.290123	1087.966667	99.360634018	0.784572756215719	0.99999999997182	0.915847896876154	0.915847894968536	0.718549308746742	394.655600818033	396.655600818033	-1.99999999999983	BM	Indriidae	STR	Galagidae	STR	superfamily
Eulemur_mongoz	Eulemur_albifrons	1741.25	2528.5	15.6477288182	0.170796365382097	0.157484188505926	0.656573530434797	0.656573527466413	0.712073851148145	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_sanfordi	2528.5	2195	5.21120138	0.0723538746966395	0.0524473442762965	0.513241747469277	0.513241744789243	0.708044031549934	394.655600818033	396.655600818033	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
