Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	630.6363636	1506.066667	5.9520781674	0.18887659467224	0.0599037861025927	0.910921817436634	0.910921815534725	2.87213583788209	394.878940422941	396.878940422941	-1.99999999999994	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_mongoz	Eulemur_fulvus	1818.192308	3066.25	15.6477288174	0.269272020746747	0.157484188497875	0.865086560663827	0.865086558342469	1.47915551734228	394.878940422941	396.878940422941	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Microcebus_murinus	4751.307692	116.375	69.529333389	1	0.699767408634338	0.991557973421186	0.99155797303158	1.41698221607135	394.878940422941	396.878940422941	-1.99999999999994	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	4751.307692	332.02	69.529333389	0.953473973770491	0.699767408634338	0.98797183851203	0.987971838002877	1.34616934600858	394.878940422941	396.878940422941	-1.99999999999994	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Lemur_catta	Hapalemur_griseus	3028	1299.090909	25.8477057818	0.373017086954496	0.260140306435535	0.892900240532604	0.892900238444256	1.28033618176342	394.878940422941	396.878940422941	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_coronatus	3066.25	1993	14.8274950171	0.231556760652092	0.149229070076143	0.813394659273307	0.813394656652228	1.26213366026429	394.878940422941	396.878940422941	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Galago_moholi	Otolemur_garnettii	201.1820988	1304.125	15.608317406	0.237963089108868	0.157087538337694	0.814112391033721	0.814112388415831	1.23325313708671	394.878940422941	396.878940422941	-1.99999999999994	BM	Galagidae	STR	Galagidae	STR	family
Varecia_rubra	Microcebus_murinus	4220	116.375	71.983496227	0.885368844100574	0.724466957526973	0.97808518544907	0.978085184661947	1.19531490163331	394.878940422941	396.878940422941	-1.99999999999994	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_rufus	1818.192308	2897	15.6477288174	0.232755848615029	0.157484188497875	0.803734714661956	0.803734712000259	1.18789039939096	394.878940422941	396.878940422941	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Microcebus_murinus	4129.291667	116.375	71.983496227	0.865798261520903	0.724466957526973	0.974985661658427	0.974985660795048	1.16518894630228	394.878940422941	396.878940422941	-1.99999999999994	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_rubra	Cheirogaleus_medius	4220	332.02	71.983496227	0.838842817871065	0.724466957526973	0.970099437619144	0.970099436643428	1.1232547425564	394.878940422941	396.878940422941	-1.99999999999994	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_rubra	1299.090909	4220	52.6432531428	0.630194500136228	0.52982002038936	0.943552900384488	0.943552898916396	1.12230913428471	394.878940422941	396.878940422941	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Cheirogaleus_medius	4129.291667	332.02	71.983496227	0.819272235291394	0.724466957526973	0.966056753981168	0.966056752918769	1.0924769832902	394.878940422941	396.878940422941	-1.99999999999994	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_variegata	1299.090909	4129.291667	52.6432531428	0.610623917556557	0.52982002038936	0.935445181027462	0.935445179437573	1.0781117721422	394.878940422941	396.878940422941	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_coucang	Loris_tardigradus	1506.066667	219.6494253	22.2897034071	0.277548203433544	0.224331332290351	0.803334221464215	0.803334218800925	0.993904719629163	394.878940422941	396.878940422941	-1.99999999999994	BM	Lorisidae	STR	Lorisidae	STR	family
Hapalemur_griseus	Propithecus_coquereli	1299.090909	4751.307692	71.9834962288	0.744825656035654	0.724466957545089	0.946149216600929	0.946149215174201	0.972737546720408	394.878940422941	396.878940422941	-1.99999999999994	BM	Lemuridae	STR	Indriidae	STR	superfamily
