Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	513.2670219	1105.211656	5.9520781674	0.149131355330318	0.0599037861025927	0.845491946560948	0.845491952415838	2.10486461900019	384.615117369526	386.615117369526	-1.99999999999989	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_coronatus	Eulemur_macaco	1540.46118	2495.059091	13.292473054	0.240496276276525	0.133780074825382	0.875569774396254	0.875569779744052	1.57401070852612	384.615117369526	386.615117369526	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Microcebus_murinus	4038.060366	68.7768254	69.529333389	1	0.699767408634338	0.994783589878419	0.994783590518196	1.42159177121414	384.615117369526	386.615117369526	-1.99999999999989	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	4038.060366	238.7730576	69.529333389	0.957172061289856	0.699767408634338	0.992498565945388	0.992498566794653	1.35758237161569	384.615117369526	386.615117369526	-1.99999999999989	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_macaco	1507.071828	2495.059091	15.6477288181	0.248908210485426	0.15748418850492	0.857250595296243	0.857250600969663	1.35490879204097	384.615117369526	386.615117369526	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Eulemur_flavifrons	2495.059091	2248.481112	3.030803714	0.0621215331376219	0.0305030633496716	0.594104956195926	0.594104962863043	1.20993456625883	384.615117369526	386.615117369526	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	3427.557569	68.7768254	71.983496227	0.846193200673259	0.724466957526973	0.979824960936964	0.979824962708934	1.14445691577857	384.615117369526	386.615117369526	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_rubra	Varecia_variegata	3427.557569	3147.818627	3.814273482	0.0704759282471704	0.0383881757558182	0.599380180164919	0.599380186854616	1.10038765162412	384.615117369526	386.615117369526	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Varecia_rubra	1011.790266	3427.557569	52.6432531428	0.60861545371859	0.52982002038936	0.949276176070819	0.949276179353426	1.09045360380872	384.615117369526	386.615117369526	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	3427.557569	238.7730576	71.983496227	0.803365261963115	0.724466957526973	0.972580965433499	0.972580967628936	1.07850020481677	384.615117369526	386.615117369526	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
