Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	518.9491857	1144.393927	5.9520781674	0.164072997107915	0.0599037861025927	0.860492210199845	0.860492199506718	2.35683827519196	385.47591353845	387.47591353845	-1.99999999999977	BM	Lorisidae	STR	Lorisidae	STR	family
Propithecus_coquereli	Microcebus_murinus	3892.49495	80.50423657	69.529333389	1	0.699767408634338	0.991585851588568	0.991585849823546	1.41702205526225	385.47591353845	387.47591353845	-1.99999999999977	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Lemur_catta	Hapalemur_griseus	2540.556792	1046.859588	25.8477057818	0.391841774099177	0.260140306435535	0.909622155928852	0.909622147224858	1.37013738556276	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Cheirogaleus_medius	3892.49495	232.724744	69.529333389	0.960067975272418	0.699767408634338	0.988586035348517	0.988586033124912	1.35632180297153	385.47591353845	387.47591353845	-1.99999999999977	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Galago_moholi	Otolemur_garnettii	179.3825347	1137.079269	15.608317406	0.251232703932343	0.157087538337694	0.83764792758777	0.837647916237547	1.33966421536763	385.47591353845	387.47591353845	-1.99999999999977	BM	Galagidae	STR	Galagidae	STR	family
Varecia_rubra	Microcebus_murinus	3621.166366	80.50423657	71.983496227	0.928822338668328	0.724466957526973	0.983842958823435	0.983842955949455	1.26136231390888	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_rubra	1046.859588	3621.166366	52.6432531428	0.675318218622747	0.52982002038936	0.959147766341192	0.959147760893468	1.22254715947787	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Microcebus_murinus	3473.620249	80.50423657	71.983496227	0.890116547366114	0.724466957526973	0.978839767945954	0.978839764458366	1.20265177813339	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_rubra	Cheirogaleus_medius	3621.166366	232.724744	71.983496227	0.888890313940746	0.724466957526973	0.978661313951184	0.978661310442831	1.20077603755633	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_macaco	1522.885153	2387.719965	15.6477288181	0.226872224256241	0.15748418850492	0.792379813508771	0.79237980122717	1.14150488663733	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Cheirogaleus_medius	3473.620249	232.724744	71.983496227	0.850184522638532	0.724466957526973	0.972313652004791	0.97231364779952	1.14104033247623	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_variegata	1046.859588	3473.620249	52.6432531428	0.636612427320532	0.52982002038936	0.946122000499991	0.946121994018151	1.13682571458327	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_fulvus	1522.885153	2366.778571	15.6477288174	0.221378665752486	0.157484188497875	0.781161677637398	0.781161665189206	1.09809455528086	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_flavifrons	1522.885153	2362.082034	15.6477288181	0.220146622614644	0.15748418850492	0.778587096497723	0.778587084014499	1.08838430913311	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_collaris	1522.885153	2321.288744	15.6477288174	0.209445313753559	0.157484188497875	0.755308624045508	0.7553086112963	1.00451895046032	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_macaco	1690.214414	2387.719965	13.292473054	0.182976718317446	0.133780074825382	0.729839692470243	0.729839679526099	0.998232898287197	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Propithecus_coquereli	1046.859588	3892.49495	71.9834962288	0.746495879954419	0.724466957545089	0.94678625333556	0.946786246902664	0.975575255643717	385.47591353845	387.47591353845	-1.99999999999977	BM	Lemuridae	STR	Indriidae	STR	superfamily
