Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	350.521875	858.5714286	5.9520781674	0.164455226746562	0.0599037861025927	0.87905491016867	0.879054902775219	2.4132894426219	373.176872001698	375.176872001698	-1.99999999999989	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_coronatus	Eulemur_macaco	1212	1966	13.292473054	0.24406918594507	0.133780074825382	0.876471673215472	0.876471665750686	1.59904027610117	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_flavifrons	1212	1963.625	13.292473054	0.243300400379261	0.133780074825382	0.875284982510024	0.875284975013034	1.59184532501278	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Microcebus_murinus	3141.140351	51.85238095	69.529333389	1	0.699767408634338	0.994203497128272	0.994203496154934	1.42076279183758	373.176872001698	375.176872001698	-1.99999999999989	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	3141.140351	128.3333333	69.529333389	0.975243178010122	0.699767408634338	0.992871271454717	0.992871270311282	1.38373254052823	373.176872001698	375.176872001698	-1.99999999999989	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_albifrons	Eulemur_coronatus	1948.375	1212	14.8274950179	0.238363987798807	0.149229070084195	0.84559574182706	0.845595733629736	1.35067231186168	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_macaco	1250	1966	15.6477288181	0.231768616892135	0.15748418850492	0.822328438374973	0.822328429752033	1.21021625474028	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_flavifrons	1250	1963.625	15.6477288181	0.230999831326327	0.15748418850492	0.820885923919009	0.820885915272803	1.20408602135651	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_albifrons	1250	1948.375	15.6477288182	0.226063418745873	0.157484188505926	0.811415400017348	0.811415391226786	1.1647603552535	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	2623.90625	51.85238095	71.983496227	0.83257174273992	0.724466957526973	0.976031311567771	0.976031308766148	1.12167446920511	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_rubra	697	2623.90625	52.6432531428	0.623737983859372	0.52982002038936	0.952046761899876	0.952046757460581	1.12081028453941	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	2623.90625	128.3333333	71.983496227	0.807814920750042	0.724466957526973	0.971511954888078	0.97151195173204	1.08328177661079	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_fulvus	Eulemur_coronatus	1843.5	1212	14.8274950171	0.204416035708636	0.149229070076143	0.778034388954878	0.77803437976178	1.06576222282962	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Propithecus_coquereli	697	3141.140351	71.9834962288	0.791166241119452	0.724466957545089	0.968075458858592	0.96807545544978	1.05720297375671	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Indriidae	STR	superfamily
Varecia_variegata	Microcebus_murinus	2459.5	51.85238095	71.983496227	0.779353573506788	0.724466957526973	0.965426827239553	0.965426823644616	1.03856889531149	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_variegata	697	2459.5	52.6432531428	0.57051981462624	0.52982002038936	0.92955451224827	0.929554506659158	1.0009611709711	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Cheirogaleus_medius	2459.5	128.3333333	71.983496227	0.75459675151691	0.724466957526973	0.95926242234481	0.959262418342537	0.999157104727838	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Galago_moholi	3141.140351	123.6	99.360634018	0.976775354144522	0.99999999997182	0.975830373835211	0.975830371017245	0.95316705901473	373.176872001698	375.176872001698	-1.99999999999989	BM	Indriidae	STR	Galagidae	STR	superfamily
Propithecus_coquereli	Loris_tardigradus	3141.140351	146.5	99.3606340167	0.969362642794201	0.999999999958736	0.974734134491321	0.974734131585194	0.944870856671214	373.176872001698	375.176872001698	-1.99999999999989	BM	Indriidae	STR	Lorisidae	STR	superfamily
Eulemur_mongoz	Eulemur_fulvus	1250	1843.5	15.6477288174	0.192115466655701	0.157484188497875	0.736149971701601	0.73614996220382	0.89803171157048	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Nycticebus_pygmaeus	3141.140351	350.521875	99.360634017	0.903320928011394	0.999999999961755	0.962920480732808	0.962920476968107	0.869826222290003	373.176872001698	375.176872001698	-1.99999999999989	BM	Indriidae	STR	Lorisidae	STR	superfamily
Eulemur_collaris	Eulemur_coronatus	1741.833333	1212	14.8274950171	0.17150661839771	0.149229070076143	0.694492978400813	0.694492968781948	0.798169834910193	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Galago_moholi	Otolemur_garnettii	123.6	674	15.608317406	0.178164031756189	0.157087538337694	0.700498884742991	0.700498875131669	0.794485080530272	373.176872001698	375.176872001698	-1.99999999999989	BM	Galagidae	STR	Galagidae	STR	family
Eulemur_coronatus	Propithecus_coquereli	1212	3141.140351	71.9834962261	0.624461160533628	0.724466957517915	0.909603678592302	0.909603672185462	0.784041511990366	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_macaco	Microcebus_murinus	1966	51.85238095	71.9834962251	0.619608025411441	0.72446695750785	0.907072036304226	0.907072029804491	0.775782949789406	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_flavifrons	Microcebus_murinus	1963.625	51.85238095	71.9834962251	0.618839239845633	0.72446695750785	0.906665826363784	0.906665819849351	0.774473404157838	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_albifrons	Eulemur_sanfordi	1948.375	1720	5.21120138	0.0739248015122086	0.0524473442762965	0.543741433593478	0.543741424636251	0.766406347299611	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Microcebus_murinus	1948.375	51.85238095	71.9834962252	0.613902827265179	0.724466957508857	0.90402347733739	0.90402347072871	0.766056426589665	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Propithecus_coquereli	1250	3141.140351	71.983496226	0.612160591480694	0.724466957516908	0.903076726903513	0.903076720261633	0.763082398110339	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Indriidae	STR	superfamily
Varecia_rubra	Galago_moholi	2623.90625	123.6	99.36063402	0.809347096884443	0.999999999991949	0.938237018863785	0.938237013685384	0.759359407413032	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Galagidae	STR	superfamily
Nycticebus_coucang	Loris_tardigradus	858.5714286	146.5	22.2897034071	0.23049694152937	0.224331332290351	0.738651440150031	0.738651430664936	0.758952822472805	373.176872001698	375.176872001698	-1.99999999999989	BM	Lorisidae	STR	Lorisidae	STR	family
Varecia_rubra	Loris_tardigradus	2623.90625	146.5	99.3606340187	0.801934385534121	0.999999999978865	0.93581386424992	0.935813858953093	0.750461316217432	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Propithecus_coquereli	Otolemur_garnettii	3141.140351	674	99.360634018	0.798611322388333	0.99999999997182	0.934702379030167	0.934702373680033	0.746463902977838	373.176872001698	375.176872001698	-1.99999999999989	BM	Indriidae	STR	Galagidae	STR	superfamily
Eulemur_sanfordi	Eulemur_coronatus	1720	1212	14.8274950179	0.164439186286599	0.149229070084195	0.674131472100378	0.674131462478667	0.742842065958258	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Varecia_rubra	1212	2623.90625	52.6432531401	0.457032903273549	0.529820020362186	0.852714070222773	0.852714062176058	0.735567498770066	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Lemur_catta	Hapalemur_griseus	1483	697	25.8477057818	0.254427559884383	0.260140306435535	0.750404643282306	0.750404633865765	0.733925568599036	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Cheirogaleus_medius	1966	128.3333333	71.9834962251	0.594851203421563	0.72446695750785	0.893259709402714	0.893259702433355	0.733444924712722	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_flavifrons	Cheirogaleus_medius	1963.625	128.3333333	71.9834962251	0.594082417855755	0.72446695750785	0.892806054045343	0.892806047061563	0.732125011039949	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_albifrons	Cheirogaleus_medius	1948.375	128.3333333	71.9834962252	0.589146005275301	0.724466957508857	0.889856614725781	0.889856607649699	0.72364303768414	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Perodicticus_potto	3141.140351	733.4583333	99.360634017	0.779364708321779	0.999999999961755	0.92794862632665	0.927948620665548	0.723210410522324	373.176872001698	375.176872001698	-1.99999999999989	BM	Indriidae	STR	Lorisidae	STR	superfamily
Eulemur_fulvus	Microcebus_murinus	1843.5	51.85238095	71.9834962244	0.579954875175008	0.724466957500805	0.884194557378531	0.884194550132153	0.707821024610797	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_macaco	Hapalemur_griseus	1966	697	47.7997285409	0.410774266530893	0.481073103165723	0.828344815884806	0.82834480736268	0.707299435243073	373.176872001698	375.176872001698	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
