Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_coronatus	Eulemur_flavifrons	1220.190476	2122	13.292473054	0.283897886946166	0.133780074825382	0.909214400028527	0.909214402290887	1.92946555969598	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_macaco	1220.190476	2084.880952	13.292473054	0.272212471110334	0.133780074825382	0.895122651347467	0.895122653781841	1.82137399151685	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Nycticebus_coucang	405.5581761	807.6666667	5.9520781674	0.126587430900156	0.0599037861025927	0.740241677570537	0.740241680909392	1.56426326790753	377.276074029768	379.276074029768	-1.99999999999989	BM	Lorisidae	STR	Lorisidae	STR	family
Propithecus_coquereli	Microcebus_murinus	3233.027778	56.5	69.529333389	1	0.699767408634338	0.990806371080914	0.990806371570624	1.41590814155602	377.276074029768	379.276074029768	-1.99999999999989	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_flavifrons	1301.034091	2122	15.6477288181	0.258447577473066	0.15748418850492	0.844117767526511	0.84411777042519	1.38528314613873	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Cheirogaleus_medius	3233.027778	144.0666667	69.529333389	0.972433212356439	0.699767408634338	0.988689731499944	0.988689732072619	1.37393470996691	377.276074029768	379.276074029768	-1.99999999999989	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Varecia_rubra	Microcebus_murinus	3128.5	56.5	71.983496227	0.967093699377056	0.724466957526973	0.986704018049127	0.986704018695109	1.31715494970633	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_macaco	1301.034091	2084.880952	15.6477288181	0.246762161637234	0.15748418850492	0.82454945950249	0.82454946252769	1.29198752544794	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	3128.5	144.0666667	71.983496227	0.939526911733495	0.724466957526973	0.983835100704887	0.983835101450403	1.27588918199331	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Lemur_catta	Hapalemur_griseus	2092.681818	910.9885057	25.8477057818	0.372007863581163	0.260140306435535	0.887997775464674	0.887997777977784	1.26986148298899	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Varecia_rubra	910.9885057	3128.5	52.6432531428	0.698092901833897	0.52982002038936	0.963360054253569	0.96336005556962	1.26932692216974	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Galago_moholi	Otolemur_garnettii	149.6969697	908.6666667	15.608317406	0.238930602860291	0.157087538337694	0.811002652673608	0.811002655772827	1.2335373943415	377.276074029768	379.276074029768	-1.99999999999989	BM	Galagidae	STR	Galagidae	STR	family
Varecia_variegata	Microcebus_murinus	2903.25	56.5	71.983496227	0.89618293903048	0.724466957526973	0.978221633593575	0.978221634516517	1.21008353729431	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_variegata	Cheirogaleus_medius	2903.25	144.0666667	71.983496227	0.868616151386919	0.724466957526973	0.973827379886378	0.973827380935529	1.16759250652314	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_variegata	910.9885057	2903.25	52.6432531428	0.62718214148732	0.52982002038936	0.939547788087188	0.939547789888631	1.11220333525553	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Varecia_variegata	3128.5	2903.25	3.814273482	0.0709107603465761	0.0383881757558182	0.569656992894295	0.569656996124952	1.05227220902145	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Varecia_rubra	1220.190476	3128.5	52.6432531401	0.600753293333864	0.529820020362186	0.927880922062789	0.927880924058385	1.05210731631059	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Varecia_rubra	1301.034091	3128.5	52.64325314	0.575302983860763	0.52982002036118	0.914963033366078	0.914963035551401	0.993509008698774	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_coronatus	1840.429487	1220.190476	14.8274950179	0.195256913947252	0.149229070084195	0.729256057379573	0.729256060737	0.954185985082784	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_coronatus	1840	1220.190476	14.8274950179	0.195121707511163	0.149229070084195	0.728924128411228	0.728924131769148	0.953091247579574	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Propithecus_coquereli	910.9885057	3233.027778	71.9834962288	0.730999202456841	0.724466957545089	0.938702590831327	0.938702592647655	0.947166517527701	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Indriidae	STR	superfamily
Propithecus_coquereli	Galago_moholi	3233.027778	149.6969697	99.360634018	0.970660741472036	0.99999999997182	0.965571348057636	0.965571349320701	0.93724220067619	377.276074029768	379.276074029768	-1.99999999999989	BM	Indriidae	STR	Galagidae	STR	superfamily
Propithecus_coquereli	Loris_tardigradus	3233.027778	152	99.3606340167	0.969935726467933	0.999999999958736	0.965436484002968	0.965436485269312	0.936411337508706	377.276074029768	379.276074029768	-1.99999999999989	BM	Indriidae	STR	Lorisidae	STR	superfamily
Varecia_rubra	Galago_moholi	3128.5	149.6969697	99.36063402	0.937754440849092	0.999999999991949	0.958978657105191	0.958978658521609	0.899286494387133	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Galagidae	STR	superfamily
Varecia_rubra	Loris_tardigradus	3128.5	152	99.3606340187	0.937029425844989	0.999999999978865	0.958822120677331	0.958822122097228	0.898444541244744	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Eulemur_coronatus	Varecia_variegata	1220.190476	2903.25	52.6432531401	0.529842532987287	0.529820020362186	0.887281797933651	0.887281800454391	0.887319499495895	377.276074029768	379.276074029768	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Nycticebus_pygmaeus	3233.027778	405.5581761	99.360634017	0.890113293352097	0.999999999961755	0.947560347129892	0.947560348783095	0.843436061265901	377.276074029768	379.276074029768	-1.99999999999989	BM	Indriidae	STR	Lorisidae	STR	superfamily
