Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	350.6851852	858.5714286	5.9520781674	0.164402363367822	0.0599037861025927	0.867238320004759	0.867238323067024	2.38008377580246	374.655216189892	376.655216189892	-1.99999999999977	BM	Lorisidae	STR	Lorisidae	STR	family
Varecia_rubra	Varecia_variegata	2765	2459.5	3.814273482	0.0988901012018816	0.0383881757558182	0.741348785476305	0.741348789239683	1.90975619388563	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Microcebus_murinus	3141.140351	51.85238095	69.529333389	1	0.699767408634338	0.992535873999775	0.992535874470574	1.41837968123837	374.655216189892	376.655216189892	-1.99999999999977	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	3141.140351	128.3333333	69.529333389	0.975243178010122	0.699767408634338	0.990923538726126	0.990923539273084	1.38101804849458	374.655216189892	376.655216189892	-1.99999999999977	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Eulemur_flavifrons	1343.333333	2007	13.292473054	0.214828359620116	0.133780074825382	0.811322067216141	0.811322070709797	1.30284714708933	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_flavifrons	1250	2007	15.6477288181	0.24504028350188	0.15748418850492	0.833004579088886	0.8330045824426	1.29612807581587	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Varecia_rubra	697	2765	52.6432531428	0.669409915828122	0.52982002038936	0.960431400710574	0.960431402271294	1.21347302549245	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_macaco	1250	1966	15.6477288181	0.231768616892135	0.15748418850492	0.808813170003315	0.80881317351121	1.19032590836861	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	2765	51.85238095	71.983496227	0.87824367470867	0.724466957526973	0.979070153865847	0.979070154877977	1.18688942372739	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Eulemur_macaco	1343.333333	1966	13.292473054	0.201556693010371	0.133780074825382	0.782533531397251	0.782533535032326	1.17898626506249	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	2765	128.3333333	71.983496227	0.853486852718792	0.724466957526973	0.975177388409318	0.975177389550046	1.14884615706578	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_albifrons	1250	1948.375	15.6477288182	0.226063418745873	0.157484188505926	0.797655829698623	0.797655833265284	1.14500894061159	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_collaris	1250	1928.5	15.6477288174	0.219629897432002	0.157484188497875	0.784513373995005	0.784513377621824	1.09409454693848	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Propithecus_coquereli	697	3141.140351	71.9834962288	0.791166241119452	0.724466957545089	0.962500766414155	0.962500767921209	1.05111503776359	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Indriidae	STR	superfamily
Varecia_variegata	Microcebus_murinus	2459.5	51.85238095	71.983496227	0.779353573506788	0.724466957526973	0.959560044701549	0.959560046284427	1.03225763723619	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_variegata	Cheirogaleus_medius	2459.5	128.3333333	71.983496227	0.75459675151691	0.724466957526973	0.952758790986597	0.952758792734192	0.992382994404403	374.655216189892	376.655216189892	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
