Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_paniscus	Pan_troglodytes	23.3440476190476	26.6727820744389	4.786270704	0.218360544545689	0.0394213835788014	0.98481614184699	0.970075484057829	5.45503403200521	176.120633557578	176.211914982657	-0.0912814250795009	BM	Hominidae	APE	Hominidae	APE	family
Macaca_fascicularis	Macaca_nemestrina	25.0661764705882	19.8653499082173	10.9824679331	0.341167292094346	0.0904554104452973	0.987730151564379	0.978273292789593	3.72538491031385	176.120633557578	176.211914982657	-0.0912814250795009	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Lemur_catta	Hapalemur_griseus	20.4953125	12.0648148148148	25.8477057818	0.553029414030509	0.212890658985247	0.99185708078667	0.989774424047349	2.57656274260241	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_nemestrina	23.6645161290323	19.8653499082173	10.9824679326	0.249220241480401	0.0904554104411791	0.932654828893082	0.906371978582804	2.56962475258176	176.120633557578	176.211914982657	-0.0912814250795009	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nemestrina	23.6391489752706	19.8653499082173	10.9824679332	0.247556189996809	0.0904554104461209	0.93080566560379	0.904160692194222	2.5474065406134	176.120633557578	176.211914982657	-0.0912814250795009	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_nigra	25.0661764705882	21.6666666666667	10.9824679326	0.223003313097093	0.0904554104411791	0.898353253493464	0.866436186661459	2.21474592712029	176.120633557578	176.211914982657	-0.0912814250795009	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_fulvus	Eulemur_collaris	16.2666666666667	18.466201814059	7.651134656	0.144286574663255	0.0630173955340987	0.795525637098553	0.748906848099504	1.82146006290667	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_fulvus	18.8475	16.2666666666667	9.5384061272	0.169299227559466	0.0785616171597847	0.817622881558239	0.775690982946751	1.76196630475693	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Eulemur_flavifrons	18.5958888888889	17.6197826086957	3.030803714	0.0640312712635406	0.024962749320008	0.629055221975798	0.573053959758018	1.61357248922076	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Galago_moholi	25.7166666666667	17	43.154528579	0.571801717879252	0.355435646975288	0.96577244393641	0.971485867547429	1.5536718031033	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lorisidae	STR	Galagidae	STR	superfamily
Loris_tardigradus	Galago_moholi	24.8666666666667	17	43.1545285787	0.516042850552594	0.355435646972817	0.943983294703367	0.951909670760266	1.37053172472037	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lorisidae	STR	Galagidae	STR	superfamily
Macaca_nemestrina	Macaca_nigra	19.8653499082173	21.6666666666667	7.6582823365	0.118163978997252	0.0630762663067973	0.701051222052473	0.652525562737253	1.31331492380486	176.120633557578	176.211914982657	-0.0912814250795009	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pan_paniscus	Gorilla_gorilla	23.3440476190476	27.3090269151139	20.238906202	0.260097358261534	0.166694642644773	0.840394845325339	0.818494834745437	1.31128676781494	176.120633557578	176.211914982657	-0.0912814250795009	BM	Hominidae	APE	Hominidae	APE	family
Cebuella_pygmaea	Leontopithecus_chrysomelas	21.3055555555556	25.2916666666667	23.8355055678	0.261483577169127	0.196317480956025	0.80737861892217	0.790475596173242	1.07538181713389	176.120633557578	176.211914982657	-0.0912814250795009	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Hapalemur_griseus	Nycticebus_pygmaeus	12.0648148148148	25.7166666666667	99.3606340198	0.895543289612458	0.818368602313691	0.971146049291717	0.993480080559519	1.06272812179991	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Leontopithecus_chrysomelas	Saimiri_sciureus	25.2916666666667	19.0645213760598	41.3912937967	0.408492433038551	0.340913034488192	0.877539870418976	0.887601382222394	1.05149513363121	176.120633557578	176.211914982657	-0.0912814250795009	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Eulemur_mongoz	Eulemur_sanfordi	16.0566	18.8475	15.6477288182	0.183079320967021	0.128880115235398	0.739770737352872	0.706654146651301	1.05087370552442	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Hapalemur_griseus	18.8475	12.0648148148148	47.799728541	0.444935109834382	0.393695123053229	0.882532222169705	0.900299040444373	0.997395060823166	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Loris_tardigradus	12.0648148148148	24.8666666666667	99.3606340195	0.839784422285801	0.81836860231122	0.959577248110955	0.989259764106995	0.984688345407712	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lorisidae	STR	superfamily
Gorilla_gorilla	Hapalemur_griseus	27.3090269151139	12.0648148148148	121.4130573138	1	0.999999999967055	0.972732649321047	0.996609784604424	0.972732649353094	176.120633557578	176.211914982657	-0.0912814250795009	BM	Hominidae	APE	Lemuridae	STR	order
Macaca_arctoides	Macaca_nigra	23.6645161290323	21.6666666666667	10.9824679321	0.131056262483149	0.0904554104370609	0.663949733516955	0.622031761745001	0.961963138865643	176.120633557578	176.211914982657	-0.0912814250795009	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Leontopithecus_rosalia	Saimiri_sciureus	24.8821428571429	19.0645213760598	41.3912937967	0.381628216847557	0.340913034488192	0.850966720841711	0.861952848622811	0.952597523174735	176.120633557578	176.211914982657	-0.0912814250795009	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Eulemur_macaco	Hapalemur_griseus	18.5958888888889	12.0648148148148	47.7997285409	0.42842975623161	0.393695123052405	0.868296349848331	0.887086734860269	0.944903738248236	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Macaca_mulatta	Macaca_nigra	23.6391489752706	21.6666666666667	10.9824679327	0.129392210999557	0.0904554104420027	0.657777963638057	0.615946340753547	0.940920445178735	176.120633557578	176.211914982657	-0.0912814250795009	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_mulatta	25.0661764705882	23.6391489752706	7.3270128521	0.0936111020975364	0.0603478160748515	0.59979804450544	0.552698860229907	0.930402450893324	176.120633557578	176.211914982657	-0.0912814250795009	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pan_troglodytes	Hapalemur_griseus	26.6727820744389	12.0648148148148	121.4130573138	0.958263186284156	0.999999999967055	0.965615028414805	0.995009693706783	0.925313333883121	176.120633557578	176.211914982657	-0.0912814250795009	BM	Hominidae	APE	Lemuridae	STR	order
Eulemur_albifrons	Eulemur_fulvus	18.0133333333333	16.2666666666667	9.5384061272	0.114579005800656	0.0785616171597847	0.633193897526717	0.58914720847085	0.923488210662648	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Leontopithecus_rosalia	Leontopithecus_chrysomelas	24.8821428571429	25.2916666666667	1.4560128688	0.0268642161909942	0.0119922263796461	0.411888363101071	0.367230270425839	0.922685886891042	176.120633557578	176.211914982657	-0.0912814250795009	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_collaris	Hapalemur_griseus	18.466201814059	12.0648148148148	47.7997285402	0.419922456938171	0.39369512304664	0.860454301307499	0.879757309722375	0.917776378564023	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Saguinus_oedipus	Saimiri_sciureus	24.7324612403101	19.0645213760598	41.3912937952	0.371809302242593	0.340913034475838	0.840225017094826	0.851526342449395	0.916372933094583	176.120633557578	176.211914982657	-0.0912814250795009	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Cebuella_pygmaea	Leontopithecus_rosalia	21.3055555555556	24.8821428571429	23.8355055678	0.234619360978133	0.196317480956025	0.757600514083081	0.739813910169309	0.905409684482925	176.120633557578	176.211914982657	-0.0912814250795009	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_mongoz	Eulemur_macaco	16.0566	18.5958888888889	15.6477288181	0.166573967364248	0.128880115234574	0.694329757251767	0.660965744046683	0.897401915834534	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_macaco	16.2666666666667	18.5958888888889	14.8274950171	0.152793873956693	0.122124385504014	0.665579176564706	0.63083713792448	0.832728208969244	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Hapalemur_griseus	18.0595238095238	12.0648148148148	47.7997285409	0.393244921762233	0.393695123052405	0.833525399981411	0.85434351598173	0.832572240573304	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Macaca_nemestrina	Gorilla_gorilla	19.8653499082173	27.3090269151139	62.1515760325	0.488295292529455	0.51190191076251	0.868109177854073	0.904121973495233	0.828075879451871	176.120633557578	176.211914982657	-0.0912814250795009	BM	Cercopithecidae	OWM	Hominidae	APE	order
Eulemur_albifrons	Hapalemur_griseus	18.0133333333333	12.0648148148148	47.799728541	0.390214888075572	0.393695123053229	0.830235125076481	0.851214527982747	0.82289590964612	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_collaris	16.0566	18.466201814059	15.6477288174	0.15806666807081	0.128880115228809	0.66896620694194	0.635723440996316	0.820462172892627	176.120633557578	176.211914982657	-0.0912814250795009	BM	Lemuridae	STR	Lemuridae	STR	family
Leontopithecus_chrysomelas	Hapalemur_griseus	25.2916666666667	12.0648148148148	121.4130573095	0.86766385594913	0.999999999931638	0.944573098010029	0.98898453207093	0.819571936501225	176.120633557578	176.211914982657	-0.0912814250795009	BM	Callitrichidae	PLA	Lemuridae	STR	order
Daubentonia_madagascariensis	Hapalemur_griseus	22.3638020833333	12.0648148148148	92.4969438858	0.675599840828535	0.76183687264944	0.912512931521012	0.962756363430555	0.809219943825501	176.120633557578	176.211914982657	-0.0912814250795009	BM	Daubentoniidae	STR	Lemuridae	STR	superfamily
Macaca_fascicularis	Hapalemur_griseus	25.0661764705882	12.0648148148148	121.4130573164	0.852871999564891	0.999999999988469	0.940280538977383	0.987540943619972	0.801938943438841	176.120633557578	176.211914982657	-0.0912814250795009	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Leontopithecus_rosalia	Hapalemur_griseus	24.8821428571429	12.0648148148148	121.4130573095	0.840799639758136	0.999999999931638	0.936575991997808	0.986241097548272	0.787472756731709	176.120633557578	176.211914982657	-0.0912814250795009	BM	Callitrichidae	PLA	Lemuridae	STR	order
Pongo_pygmaeus	Hapalemur_griseus	24.8124029982363	12.0648148148148	121.4130573178	0.836224797946191	1	0.935123419232177	0.985718068705491	0.781973392302179	176.120633557578	176.211914982657	-0.0912814250795009	BM	Hominidae	APE	Lemuridae	STR	order
