Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	4.37857142857143	3.13888888888889	1.4560128688	0.309157708531773	0.0119922263796461	0.999635886619476	0.694789102469448	17.911553704229	118.639574300127	100.11706322104	18.5225110790875	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Varecia_rubra	Varecia_variegata	3.6962962962963	2.77222222222222	3.814273482	0.230449824136042	0.0314156777389774	0.899360467633248	0.550928547740933	4.04133846779635	118.639574300127	100.11706322104	18.5225110790875	OU	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Saguinus_oedipus	2.61204819277108	5.50987103174603	26.3249190819	0.722672329367447	0.216821153041178	0.949973248071689	0.982391127993808	3.27434327720953	118.639574300127	100.11706322104	18.5225110790875	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_arctoides	Macaca_nemestrina	2.775	4.25	10.9824679326	0.367842254357427	0.0904554104411791	0.877501078819933	0.773045477148188	3.14363496498547	118.639574300127	100.11706322104	18.5225110790875	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Callithrix_jacchus	3.83333333333333	2.61204819277108	8.0860732424	0.304569680893318	0.0665997004031833	0.86383984975497	0.682888587827431	3.12294436793515	118.639574300127	100.11706322104	18.5225110790875	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_fulvus	Eulemur_collaris	3.83333333333333	2.69739229024943	7.651134656	0.283286179054311	0.0630173955340987	0.845830547299308	0.647888857779671	2.91249673866563	118.639574300127	100.11706322104	18.5225110790875	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_nigra	2.775	4.16666666666667	10.9824679321	0.347060206088646	0.0904554104370609	0.854915827121877	0.745704918787777	2.86112794740874	118.639574300127	100.11706322104	18.5225110790875	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pan_paniscus	Gorilla_gorilla	2.56969696969697	4.62629399585921	20.238906202	0.512883584005626	0.166694642644773	0.887311698954854	0.90794471626124	2.79355072704634	118.639574300127	100.11706322104	18.5225110790875	OU	Hominidae	APE	Hominidae	APE	family
Eulemur_macaco	Eulemur_flavifrons	3.03125	2.3695652173913	3.030803714	0.165013981090704	0.024962749320008	0.812766434189259	0.412242408844107	2.7250909018769	118.639574300127	100.11706322104	18.5225110790875	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_coronatus	3.83333333333333	2.20833333333333	14.8274950171	0.405249941241233	0.122124385504014	0.856886610664496	0.816848206291242	2.71057812275871	118.639574300127	100.11706322104	18.5225110790875	OU	Lemuridae	STR	Lemuridae	STR	family
Leontopithecus_chrysomelas	Saguinus_oedipus	3.13888888888889	5.50987103174603	26.3249190833	0.591286384047303	0.216821153052709	0.891163371134633	0.947884904765575	2.58494814708236	118.639574300127	100.11706322104	18.5225110790875	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Pan_troglodytes	Gorilla_gorilla	2.75361349612933	4.62629399585921	20.238906202	0.467017638448699	0.166694642644773	0.851365812491665	0.874970283074491	2.45134785876126	118.639574300127	100.11706322104	18.5225110790875	OU	Hominidae	APE	Hominidae	APE	family
Saguinus_oedipus	Saimiri_sciureus	5.50987103174603	2.22257256632257	41.3912937952	0.819801544587847	0.340913034475838	0.923761131454313	0.992914080893546	2.38768370476384	118.639574300127	100.11706322104	18.5225110790875	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Eulemur_fulvus	Eulemur_flavifrons	3.83333333333333	2.3695652173913	14.8274950171	0.365041195677721	0.122124385504014	0.812833601288558	0.769487832164279	2.30007100673168	118.639574300127	100.11706322104	18.5225110790875	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_fulvus	1.90166666666667	3.83333333333333	22.8374257184	0.481727878870346	0.188096949561387	0.839248291226939	0.886423018587459	2.27018397439043	118.639574300127	100.11706322104	18.5225110790875	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_fulvus	2.775	3.83333333333333	9.5384061272	0.26393201301352	0.0785616171597847	0.76557303905886	0.614019679526079	2.06283240984749	118.639574300127	100.11706322104	18.5225110790875	OU	Lemuridae	STR	Lemuridae	STR	family
