Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_beringei	Gorilla_gorilla	251206.07	275016.8	2.069936054	0.0868105146805168	0.0170487104083346	0.95567324074767	0.95567323575363	4.86620300941616	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Hominidae	APE	Hominidae	APE	family
Papio_anubis	Papio_cynocephalus	140142	100100	4.8778566854	0.145987402689344	0.0401757174488752	0.972405933387315	0.972405929736853	3.5334531799107	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Papio_anubis	118780	140142	3.47880109	0.0778827954709999	0.0286526109040897	0.835983482038569	0.835983472126295	2.2723489585883	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Gorilla_gorilla	Hylobates_lar	275016.8	61802.5	45.7765141047	0.777348830558581	0.377031228073906	0.999871449087926	0.999871449040904	2.06149741396237	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Pan_troglodytes	227900	253761.83	4.786270704	0.0942885318039401	0.0394213835788339	0.849111812541447	0.849111802937526	2.03091568264747	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Hominidae	APE	Hominidae	APE	family
Pongo_pygmaeus	Hylobates_lar	266455.56	61802.5	45.7765141087	0.746135774482458	0.377031228106852	0.999762581473238	0.999762581392874	1.97850621491414	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Hylobates_lar	253761.83	61802.5	45.7765141047	0.699856251153458	0.377031228073906	0.999434178863391	0.999434178693618	1.855178578356	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_lar	251206.07	61802.5	45.7765141047	0.690538315878064	0.377031228073906	0.999330049297334	0.999330049101308	1.83028788563067	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_ascanius	Gorilla_gorilla	45166	275016.8	62.1515760317	0.838003129166075	0.511901910756343	0.999603955980045	0.99960395585497	1.63639014708969	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_mulatta	Papio_anubis	55528.67	140142	22.4016461426	0.308488094490695	0.18450771801242	0.97016476367758	0.970164759827679	1.6220691606449	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cercopithecus_nictitans	Gorilla_gorilla	47800	275016.8	62.1515760318	0.828399942045458	0.511901910757166	0.999538407430967	0.999538407288317	1.61753168212106	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	48763	275016.8	62.1515760308	0.824888981833935	0.51190191074893	0.99951201272004	0.999512012570432	1.61063365693863	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Gorilla_gorilla	49933	275016.8	62.1515760318	0.820623329240494	0.511901910757166	0.999478051224596	0.999478051066127	1.60225033089945	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pan_paniscus	Hylobates_lar	227900	61802.5	45.7765141047	0.605567719349518	0.377031228073906	0.997145853543734	0.997145852889721	1.60156320067722	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Piliocolobus_badius	Gorilla_gorilla	50906	275016.8	62.151576032	0.817075910459796	0.511901910758814	0.999448143635729	0.999448143469537	1.59527633078767	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_ascanius	Pongo_pygmaeus	45166	266455.56	62.1515760357	0.806790073089952	0.511901910789288	0.999352157728874	0.999352157538359	1.57504276382465	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_mulatta	Gorilla_gorilla	55528.67	275016.8	62.1515760327	0.800222317063114	0.511901910764579	0.99928297563318	0.999282975425527	1.56211282151408	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_nictitans	Pongo_pygmaeus	47800	266455.56	62.1515760358	0.797186885969335	0.511901910790112	0.999248735335318	0.999248735119291	1.55613403825987	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Pongo_pygmaeus	48763	266455.56	62.1515760348	0.793675925757811	0.511901910781876	0.999207239604446	0.999207239378363	1.54921619594205	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	2535	275016.8	78.0653383507	0.99342965541475	0.642973170063805	0.999821282934961	0.999821282872211	1.54478002944329	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Cercopithecus_mitis	Pongo_pygmaeus	49933	266455.56	62.1515760358	0.789410273164371	0.511901910790112	0.999153963850777	0.999153963611923	1.54080769559796	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	4371	275016.8	78.0653383503	0.986735862114275	0.64297317006051	0.999802422518433	0.999802422449941	1.53434225760123	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Piliocolobus_badius	Pongo_pygmaeus	50906	266455.56	62.151576036	0.785862854383673	0.511901910791759	0.999107149455881	0.999107149205924	1.53381180994641	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	5883	275016.8	78.0653383511	0.98122332645506	0.642973170067099	0.999785502271004	0.99978550219743	1.52574462193737	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	5894	275016.8	78.0653383502	0.981183222028967	0.642973170059687	0.999785374331301	0.99978537425769	1.52568206669146	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Gorilla_gorilla	6476	275016.8	78.0653383533	0.979061333303	0.642973170085219	0.999778502044349	0.99977850196869	1.52237219025715	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Plecturocebus_moloch	Gorilla_gorilla	8016.5	275016.8	78.0653383522	0.973444890721637	0.642973170076159	0.999759301412486	0.999759301331158	1.51360994393614	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Pitheciidae	PLA	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	62685	275016.8	62.151576031	0.774131361828913	0.511901910750577	0.998934686541967	0.998934686251994	1.510654000367	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Aotus_trivirgatus	Gorilla_gorilla	9453.33	275016.8	78.0653383541	0.968206414126908	0.642973170091808	0.999739995217527	0.999739995130566	1.50543556224998	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Aotidae	PLA	Hominidae	APE	order
Macaca_mulatta	Pongo_pygmaeus	55528.67	266455.56	62.1515760367	0.76900926098699	0.511901910797525	0.998850124607287	0.998850124298151	1.50053160568262	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Pongo_pygmaeus	2535	266455.56	78.0653383547	0.962216599338627	0.64297317009675	0.999716143811377	0.999716143717543	1.49608648220479	1197.02452062406	1199.02452062406	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
