Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	6384.64285714286	4852.77777777778	1.4560128688	0.211564093458026	0.0119922263796461	0.988919901712673	0.899453020570677	15.8679428557231	670.551551846765	655.624264673928	14.9272871728361	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_nemestrina	Macaca_nigra	4941.03462099125	8333.66666666667	7.6582823365	0.46855244162721	0.0630762663067973	0.985832323635473	0.937843972924703	6.96663117696106	670.551551846765	655.624264673928	14.9272871728361	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nigra	4161.5149810228	8333.66666666667	10.9824679327	0.576210986876512	0.0904554104420027	0.988232207703576	0.961731090322733	6.12633360411312	670.551551846765	655.624264673928	14.9272871728361	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Propithecus_tattersalli	Propithecus_coquereli	7048.66666666667	3770.44922969188	8.601073458	0.452750773912364	0.0708414205853214	0.974686391192687	0.918135489504065	5.86784609900248	670.551551846765	655.624264673928	14.9272871728361	OU	Indriidae	STR	Indriidae	STR	family
Macaca_arctoides	Macaca_nigra	4442.76666666667	8333.66666666667	10.9824679321	0.537367645704815	0.0904554104370609	0.981187210897013	0.946676074391441	5.62391006665951	670.551551846765	655.624264673928	14.9272871728361	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Varecia_rubra	Varecia_variegata	3517.50925925926	5116.82222222222	3.814273482	0.220879241731373	0.0314156777389774	0.898686249337579	0.741295335853847	5.21194395495255	670.551551846765	655.624264673928	14.9272871728361	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_collaris	1829.75	4210.63571428571	7.651134656	0.32882133978718	0.0630173955340987	0.914977927454511	0.809577793935955	4.22433286250185	670.551551846765	655.624264673928	14.9272871728361	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Macaca_mulatta	6079.55	4161.5149810228	7.3270128521	0.264897571905515	0.0603478160748515	0.843752428117552	0.715072310889762	3.13881978192248	670.551551846765	655.624264673928	14.9272871728361	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_macaco	Eulemur_flavifrons	4178.51145833333	3228.58260869565	3.030803714	0.13119356177668	0.024962749320008	0.725070878321607	0.538856691499267	2.8320009041762	670.551551846765	655.624264673928	14.9272871728361	OU	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Saguinus_oedipus	2658.46626506024	7094.44191321499	26.3249190819	0.612647405600969	0.216821153041178	0.916357706738429	0.944020481575106	2.66741362989306	670.551551846765	655.624264673928	14.9272871728361	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_fascicularis	Macaca_nigra	6079.55	8333.66666666667	10.9824679326	0.311313414970997	0.0904554104411791	0.826478268558684	0.737044706655068	2.53662996492944	670.551551846765	655.624264673928	14.9272871728361	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callithrix_jacchus	Leontopithecus_rosalia	2658.46626506024	6384.64285714286	23.8355055674	0.514617888603621	0.196317480952731	0.873270286279558	0.894600147086881	2.34506492546728	670.551551846765	655.624264673928	14.9272871728361	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_fulvus	Eulemur_macaco	1829.75	4178.51145833333	14.8274950171	0.324384696390755	0.122124385504014	0.777714837915882	0.725061482923253	1.92589586454835	670.551551846765	655.624264673928	14.9272871728361	OU	Lemuridae	STR	Lemuridae	STR	family
