Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Trachypithecus_auratus	Trachypithecus_cristatus	1640.8	1747.3	0.6600170348	0.107326413383049	0.00543612894173375	0.950599772660788	0.779964390348828	15.3989689133346	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_fuscata	1719.8	842.5	7.327012852	0.884107628741308	0.0603478160730835	0.999998817197252	0.999986809585699	14.6500076477453	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saguinus_oedipus	Saguinus_geoffroyi	1586.1	1738.4	1.0824088122	0.153481809936511	0.00891509394537232	0.9717954115168	0.840409345988978	14.4684451224323	1675.83813782883	1598.29344401756	77.5446938112702	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Trachypithecus_obscurus	Trachypithecus_phayrei	1834.8	1419.1	3.9357740903	0.41892572810642	0.032416398838689	0.998316873423601	0.982585162083686	12.6982089065733	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_radiata	Macaca_thibetana	1589.6	1031	5.65138246	0.56293459639222	0.0465467436926409	0.999572370233672	0.996452749153606	12.0510626881379	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_obscurus	Trachypithecus_geei	1834.8	1243.1	7.125305212	0.596291444119722	0.0586864820744768	0.999109127562372	0.996846525623087	10.1285855501642	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Macaca_nemestrina	842.5	1732.2	10.9824679331	0.896603849642245	0.0904554104438817	0.99994290117234	0.999973460373199	9.91184551273385	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_obscurus	Trachypithecus_pileatus	1834.8	1264.7	7.125305212	0.574523833518089	0.0586864820744768	0.99863331652844	0.995553156129539	9.74617996363645	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Macaca_mulatta	842.5	1218	4.6628169341	0.378413786153381	0.0384045755624295	0.990859978017063	0.959780105994199	9.45705084524523	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_radiata	Macaca_fuscata	1589.6	842.5	10.2479298864	0.752897309281467	0.0844055006325684	0.999532061227988	0.999615493599077	8.91657308832325	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Trachypithecus_geei	1747.3	1243.1	7.1253052128	0.508112465988109	0.0586864820810659	0.995367148020685	0.988122879022178	8.55525045896752	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Papio_ursinus	1620.7	1264.6	4.8778566851	0.358863247001915	0.0401757174457425	0.984350523538103	0.945593151922404	8.44636139478848	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_mulatta	1719.8	1218	7.3270128521	0.505693842587927	0.0603478160739071	0.994546908019716	0.987300328890908	8.27323554664707	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_thibetana	Macaca_fascicularis	1031	1719.8	10.2479298864	0.694144915852061	0.0844055006325684	0.998742318109414	0.998937502481694	8.21519194134212	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Trachypithecus_pileatus	1747.3	1264.7	7.1253052128	0.486344855386476	0.0586864820810659	0.993275926987725	0.983959739211422	8.15424166014693	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Macaca_silenus	842.5	1571.9	10.9824679336	0.73505996170513	0.0904554104479999	0.99903103254871	0.999427527835943	8.1215612941192	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_thibetana	Macaca_nemestrina	1031	1732.2	10.9824679335	0.706641136752998	0.0904554104471762	0.998485157110516	0.999070924496546	7.80478039172003	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nycticebus_pygmaeus	Nycticebus_coucang	1359.8	1740.3	5.9520781674	0.383452584903759	0.0490233777058033	0.980610829413713	0.950512557104135	7.4347487680743	1675.83813782883	1598.29344401756	77.5446938112702	OU	Lorisidae	STR	Lorisidae	STR	family
Papio_anubis	Papio_ursinus	1584.1	1264.6	4.8778566851	0.321979240149148	0.0401757174457425	0.969884721193861	0.915630473767228	7.33811423776377	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_cynocephalus	Papio_ursinus	1524	1264.6	3.7904618637	0.261412879169606	0.0312195570013455	0.954206337686677	0.866388591742015	7.25459160862595	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Trachypithecus_phayrei	1747.3	1419.1	5.1737784209	0.330746749974806	0.0426130313750078	0.9694570658493	0.919510712717897	7.13690554239304	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nasalis_larvatus	Rhinopithecus_roxellana	1721	870.6	14.9942228144	0.856998891464275	0.123497613398515	0.999005725702387	0.999918465171593	6.93883057838121	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Leontopithecus_rosalia	Leontopithecus_chrysomelas	1476.7	1596.7	1.4560128688	0.12093117000907	0.0119922263794584	0.863982860300884	0.671825736794379	6.77477807889905	1675.83813782883	1598.29344401756	77.5446938112702	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Trachypithecus_obscurus	Rhinopithecus_roxellana	1834.8	870.6	17.7111143207	0.971681951022876	0.145874873030038	0.999406316216214	0.999991184003822	6.66100586410399	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Trachypithecus_geei	1640.8	1243.1	7.1253052128	0.400786052605059	0.0586864820810659	0.974478986558013	0.952786296054025	6.50683845803204	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Trachypithecus_pileatus	1640.8	1264.7	7.1253052128	0.379018442003426	0.0586864820810659	0.965323960266362	0.93942733465655	6.06716013860087	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Rhinopithecus_roxellana	1747.3	870.6	17.7111143215	0.883502972891263	0.145874873036627	0.998208656767097	0.999946782179965	6.05625860299619	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Rhinopithecus_roxellana	Presbytis_comata	870.6	1752.7	17.9572585524	0.888944875541671	0.147902202191612	0.998194155832618	0.999951900565216	6.01006681864009	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_thibetana	Macaca_silenus	1031	1571.9	10.982467934	0.545097248815882	0.0904554104512944	0.985583724282923	0.989357029822603	5.9620070525614	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nasalis_larvatus	Rhinopithecus_bieti	1721	1018.5	14.9942228144	0.707951224428096	0.123497613398515	0.993463485242766	0.998864610438698	5.72600072615229	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nemestrina	1218	1732.2	10.9824679332	0.518190063488864	0.0904554104447053	0.979978496287754	0.984822955615486	5.64173516417393	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_obscurus	Rhinopithecus_bieti	1834.8	1018.5	17.7111143207	0.822634283986698	0.145874873030038	0.996358599378388	0.999831857954424	5.63836627577431	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_assamensis	Macaca_radiata	1260	1589.6	6.6281560944	0.332157613624912	0.054591789719511	0.94503419617114	0.904274159405128	5.50195456851512	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Semnopithecus_vetulus	Rhinopithecus_roxellana	1644.5	870.6	17.7111143214	0.779905270583493	0.145874873035804	0.994160040097156	0.999639161781754	5.34446978242718	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_assamensis	Macaca_fascicularis	1260	1719.8	10.247929886	0.463367933084753	0.0844055006292739	0.968690725590532	0.971121400530843	5.33124633801746	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Rhinopithecus_roxellana	1640.8	870.6	17.7111143215	0.776176559508213	0.145874873036627	0.993920362577219	0.999614958003498	5.31878919778932	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_geei	Semnopithecus_vetulus	1243.1	1644.5	9.0158535421	0.404514763680339	0.0742576930449895	0.954926727563671	0.946988225255694	5.15866710153902	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_assamensis	Macaca_nemestrina	1260	1732.2	10.9824679331	0.47586415398569	0.0904554104438817	0.96731739403263	0.97423904675888	5.12523725768022	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_obscurus	Semnopithecus_entellus	1834.8	1435.8	9.015853541	0.402096140280157	0.0742576930359295	0.953627639998827	0.945552159669176	5.12004693779783	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebus_olivaceus	Cebus_albifrons	1703.1	1559.7	2.3047363682	0.144512748160838	0.0189826071353369	0.843217379454992	0.671591010403327	5.11275726571985	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cebidae	PLA	Cebidae	PLA	family
Pygathrix_nemaeus	Rhinopithecus_roxellana	1472.1	870.6	14.5090833354	0.606167489670463	0.119501836587438	0.98207621907345	0.994737586296432	5.04575998817368	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Rhinopithecus_bieti	1747.3	1018.5	17.7111143215	0.734455305855084	0.145874873036627	0.990568066587533	0.999218603133005	5.03089661367433	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Rhinopithecus_bieti	Presbytis_comata	1018.5	1752.7	17.9572585524	0.739897208505492	0.147902202191612	0.990602303512239	0.99928342820332	4.99902643826468	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Semnopithecus_johnii	Rhinopithecus_roxellana	1577.6	870.6	17.7111143206	0.712486143303436	0.145874873029215	0.988208935984327	0.998881224761429	4.87876367375451	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_pileatus	Semnopithecus_vetulus	1264.7	1644.5	9.0158535421	0.382747153078706	0.0742576930449895	0.942057548585658	0.932855988863021	4.8082287414103	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_assamensis	Macaca_fuscata	1260	842.5	10.247929886	0.420739695656556	0.0844055006292739	0.949421669284737	0.952756925407342	4.74924804475991	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Galago_senegalensis	Galago_moholi	1594.8	1461.9	2.243524776	0.133931270785045	0.0184784472570561	0.816507135140459	0.639664935557183	4.63627362754159	1675.83813782883	1598.29344401756	77.5446938112702	OU	Galagidae	STR	Galagidae	STR	family
Aotus_azarae	Aotus_trivirgatus	1410.8	1676.3	6.086419244	0.267560213645067	0.0501298573511207	0.893309145808275	0.827557132501249	4.41695577995861	1675.83813782883	1598.29344401756	77.5446938112702	OU	Aotidae	PLA	Aotidae	PLA	family
Semnopithecus_vetulus	Rhinopithecus_bieti	1644.5	1018.5	17.7111143214	0.630857603547314	0.145874873035804	0.97424021573079	0.996091573035924	4.30774628694885	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Rhinopithecus_bieti	1640.8	1018.5	17.7111143215	0.627128892472035	0.145874873036627	0.973351937529119	0.995874528079595	4.28135207136634	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Papio_hamadryas	842.5	1620.7	22.4016461425	0.784238637508818	0.184507718008557	0.986288169714517	0.999649302673643	4.24894749974122	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Lophocebus_aterrimus	842.5	1594.9	22.4016461428	0.758238435956868	0.184507718011028	0.982828331208427	0.999452024579514	4.10726959338254	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_radiata	Macaca_mulatta	1589.6	1218	10.2479298865	0.374483523128086	0.084405500633392	0.918159032632608	0.922600918810617	4.09332140588862	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_geei	Semnopithecus_johnii	1243.1	1577.6	9.0158535413	0.337095636400282	0.0742576930384004	0.905075692652108	0.893115106661559	4.05433017025045	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Papio_anubis	842.5	1584.1	22.4016461425	0.747354630656052	0.184507718008557	0.981166251050956	0.999342052019312	4.0478681230631	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Trachypithecus_phayrei	1640.8	1419.1	5.1737784209	0.223420336591757	0.0426130313750078	0.856011182723849	0.762270236158086	3.99658666001876	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Cercocebus_torquatus	842.5	1560.8	22.4016461426	0.72387382847929	0.184507718009381	0.977094627678738	0.999031427129325	3.91947129220072	1675.83813782883	1598.29344401756	77.5446938112702	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
