Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	8.64928571428571	5.0125	1.4560128688	0.673567932266173	0.0119922263796461	0.99999994812279	0.986620211313394	55.4155429215631	167.331966583047	114.592902052997	52.7390645300506	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_nemestrina	Macaca_nigra	6.1	3.25	7.6582823365	0.527847598888742	0.0630762663067973	0.937180704483723	0.945113499081352	7.90909038180766	167.331966583047	114.592902052997	52.7390645300506	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_nemestrina	3.6445	6.1	10.9824679331	0.454782378621511	0.0904554104452973	0.819281256987604	0.901879909403719	4.53437874429434	167.331966583047	114.592902052997	52.7390645300506	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_macaco	Eulemur_flavifrons	5.32364583333333	6.27810606060606	3.030803714	0.176775276912531	0.024962749320008	0.678034063761033	0.479784942543648	3.39762720000703	167.331966583047	114.592902052997	52.7390645300506	OU	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Leontopithecus_rosalia	5.18238636363636	8.64928571428571	23.8355055674	0.642103332571649	0.196317480952731	0.800451515207368	0.980473288017276	3.20687267724753	167.331966583047	114.592902052997	52.7390645300506	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Cebuella_pygmaea	Leontopithecus_rosalia	5.21666666666667	8.64928571428571	23.8355055678	0.63575428848613	0.196317480956025	0.795970378167522	0.979234910385453	3.17115312748096	167.331966583047	114.592902052997	52.7390645300506	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_arctoides	Macaca_nemestrina	4.2842803030303	6.1	10.9824679326	0.336288870982614	0.0904554104411791	0.677721977089363	0.778699559644587	2.89499538469093	167.331966583047	114.592902052997	52.7390645300506	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nemestrina	4.44325122290947	6.1	10.9824679332	0.306845917175122	0.0904554104461209	0.633542572741548	0.735575250357554	2.49524336061385	167.331966583047	114.592902052997	52.7390645300506	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Leontopithecus_rosalia	Saimiri_sciureus	8.64928571428571	4.22748846772885	41.3912937967	0.818959669953646	0.340913034488192	0.785621862927089	0.997103783194951	2.39529646151782	167.331966583047	114.592902052997	52.7390645300506	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Aotus_trivirgatus	Leontopithecus_rosalia	5.20588235294118	8.64928571428571	40.5102348772	0.637751647821451	0.333656328010619	0.671602431723416	0.97963167725804	1.87247075502648	167.331966583047	114.592902052997	52.7390645300506	OU	Aotidae	PLA	Callitrichidae	PLA	superfamily
