Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_troglodytes	Gorilla_gorilla	2750	4871	20.238906202	0.443881715254379	0.16669464264491	0.999464726126772	0.998796494896476	2.66141796718952	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_gorilla	Hylobates_lar	4871	1264	45.7765141047	0.75487097921855	0.377031228073906	0.999909696567494	0.999889934818076	2.0019636453829	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Piliocolobus_badius	Gorilla_gorilla	937	4871	62.151576032	0.823305359646736	0.511901910758814	0.999752425921017	0.999819351319723	1.60792822468758	593.499870892468	595.029466175116	-1.52959528264796	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	942	4871	62.1515760308	0.822258962392483	0.51190191074893	0.999747881817362	0.999815896370911	1.60587729542665	593.499870892468	595.029466175116	-1.52959528264796	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_gorilla	1052	4871	62.1515760317	0.799238222798903	0.511901910756343	0.999625779883603	0.999722214197812	1.56072699669688	593.499870892468	595.029466175116	-1.52959528264796	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	133	4871	78.0653383507	0.991566038130716	0.642973170063805	0.999917920349393	0.999967518841205	1.54203114048812	593.499870892468	595.029466175116	-1.52959528264796	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	191	4871	78.0653383503	0.979427829981374	0.64297317006051	0.999899770435601	0.999959475267942	1.52312679277807	593.499870892468	595.029466175116	-1.52959528264796	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	243	4871	78.0653383511	0.968545298537137	0.642973170067099	0.999880335705041	0.999950687610925	1.50617388614487	593.499870892468	595.029466175116	-1.52959528264796	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Gorilla_gorilla	253	4871	78.0653383533	0.966452504028629	0.642973170085219	0.999876212202229	0.999948802505123	1.502913206897	593.499870892468	595.029466175116	-1.52959528264796	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	256	4871	78.0653383502	0.965824665676077	0.642973170059687	0.999874949264295	0.999948223785417	1.50193496954379	593.499870892468	595.029466175116	-1.52959528264796	BM	Callitrichidae	PLA	Hominidae	APE	order
Macaca_mulatta	Gorilla_gorilla	1220	4871	62.1515760327	0.764079275055982	0.511901910764579	0.999328908655056	0.999489655004663	1.49162660269655	593.499870892468	595.029466175116	-1.52959528264796	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Gorilla_gorilla	1265	4871	62.1515760318	0.7546616997677	0.511901910757166	0.999218328861152	0.999401808429228	1.47307870248429	593.499870892468	595.029466175116	-1.52959528264796	BM	Cercopithecidae	OWM	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	1268	4871	62.151576031	0.754033861415148	0.511901910750577	0.999210386193245	0.999395478104015	1.47184147987001	593.499870892468	595.029466175116	-1.52959528264796	BM	Cercopithecidae	OWM	Hominidae	APE	order
Aotus_trivirgatus	Gorilla_gorilla	394	4871	78.0653383541	0.936944101458678	0.642973170091808	0.999801801009066	0.999913784673343	1.45691677920161	593.499870892468	595.029466175116	-1.52959528264796	BM	Aotidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	413	4871	78.065338345	0.932967791892514	0.642973170016858	0.999789032663515	0.999907615327961	1.45071522368185	593.499870892468	595.029466175116	-1.52959528264796	BM	Cebidae	PLA	Hominidae	APE	order
Erythrocebus_patas	Gorilla_gorilla	1339	4871	62.151576032	0.739175020404746	0.511901910758814	0.998999084866557	0.999226184391988	1.44253255051529	593.499870892468	595.029466175116	-1.52959528264796	BM	Cercopithecidae	OWM	Hominidae	APE	order
Alouatta_seniculus	Gorilla_gorilla	827	4871	78.0653383544	0.846326099240316	0.642973170094279	0.999224486585507	0.999609883119454	1.31524891135554	593.499870892468	595.029466175116	-1.52959528264796	BM	Atelidae	PLA	Hominidae	APE	order
Cebus_albifrons	Gorilla_gorilla	931	4871	78.0653383462	0.82456103635184	0.642973170026741	0.998943172302962	0.999450666619059	1.28106374543819	593.499870892468	595.029466175116	-1.52959528264796	BM	Cebidae	PLA	Hominidae	APE	order
Papio_anubis	Gorilla_gorilla	2111	4871	62.1515760319	0.57761128434799	0.51190191075799	0.989862546486079	0.991389749403557	1.11692448257749	593.499870892468	595.029466175116	-1.52959528264796	BM	Cercopithecidae	OWM	Hominidae	APE	order
Ateles_geoffroyi	Gorilla_gorilla	1625	4871	78.065338351	0.67932109746144	0.642973170066276	0.993026114698552	0.995584119516656	1.04916289115976	593.499870892468	595.029466175116	-1.52959528264796	BM	Atelidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Carlito_syrichta	4871	92.7	115.745494551	1	0.953319989695427	0.998892953313586	0.999785278877058	1.04780447710188	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Tarsiidae	TAR	order
Gorilla_gorilla	Microcebus_murinus	4871	103	121.41305731	0.997844421656238	0.99999999993658	0.998516546749718	0.999731582920306	0.996364166168845	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Cheirogaleidae	STR	order
Gorilla_gorilla	Galago_senegalensis	4871	163	121.413057313	0.985287654605194	0.999999999961289	0.998298433316313	0.999679523247114	0.983611121996346	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Galagidae	STR	order
Gorilla_gorilla	Cheirogaleus_medius	4871	198	121.41305731	0.977962873825419	0.99999999993658	0.998157949112475	0.999644936089928	0.97616141650763	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Cheirogaleidae	STR	order
Gorilla_gorilla	Loris_tardigradus	4871	256	121.4130573117	0.965824665676077	0.999999999950582	0.997901498701406	0.999579835144052	0.963797881408571	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Lorisidae	STR	order
Gorilla_gorilla	Avahi_laniger	4871	284	121.413057308	0.959964841052257	0.999999999920108	0.997766321956282	0.999544563882356	0.95782058874058	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Indriidae	STR	order
Gorilla_gorilla	Lepilemur_ruficaudatus	4871	302	121.413057307	0.956197810936944	0.999999999911871	0.997675257226008	0.999520450561999	0.953974897069534	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Lepilemuridae	STR	order
Gorilla_gorilla	Cheirogaleus_major	4871	332	121.41305731	0.949919427411422	0.99999999993658	0.997515897556861	0.9994775985361	0.947559730301098	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Cheirogaleidae	STR	order
Gorilla_gorilla	Otolemur_crassicaudatus	4871	386	121.413057313	0.938618337065483	0.999999999961289	0.997203641700254	0.999391346507357	0.93599362392457	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Galagidae	STR	order
Gorilla_gorilla	Nycticebus_coucang	4871	510	121.4130573114	0.912667685159994	0.999999999948111	0.996346586220809	0.999140726403674	0.909333332510392	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Lorisidae	STR	order
Gorilla_gorilla	Eulemur_fulvus	4871	641	121.4130573104	0.88525207709855	0.999999999939875	0.995187461300935	0.998774342717199	0.880991767272055	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Lemuridae	STR	order
Gorilla_gorilla	Perodicticus_potto	4871	661	121.413057312	0.881066488081535	0.999999999953053	0.994983786398135	0.998707121116084	0.876646870421029	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Lorisidae	STR	order
Gorilla_gorilla	Propithecus_verreauxi	4871	664	121.413057311	0.880438649728983	0.999999999944817	0.994952571851632	0.998696749291306	0.87599469895377	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Indriidae	STR	order
Macaca_mulatta	Papio_anubis	1220	2111	22.4016461426	0.186467990707992	0.18450771801242	0.833190980988637	0.806068826627271	0.842043085105599	593.499870892468	595.029466175116	-1.52959528264796	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Gorilla_gorilla	Indri_indri	4871	838	121.413057306	0.844024025280958	0.999999999903635	0.9928122724403	0.997945790827304	0.837957410614147	593.499870892468	595.029466175116	-1.52959528264796	BM	Hominidae	APE	Indriidae	STR	order
