Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_paniscus	Pan_troglodytes	382.203246753247	271.175941632494	4.786270704	0.205226072311928	0.0394213835788014	0.89304601546304	0.715151703960261	3.72304982694393	285.690907129318	280.9536729466	4.7372341827176	OU	Hominidae	APE	Hominidae	APE	family
Eulemur_sanfordi	Eulemur_macaco	384.347222222222	148	14.8274950179	0.436871020743479	0.122124385510603	0.948784116542968	0.871762489684841	3.1185235210983	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_mulatta	Macaca_nemestrina	358.645605870233	545.949382716049	10.9824679332	0.346217702117959	0.0904554104461209	0.927396223629329	0.813093444056727	3.11211172908419	285.690907129318	280.9536729466	4.7372341827176	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_sanfordi	Eulemur_flavifrons	384.347222222222	157.979166666667	14.8274950179	0.418425241322653	0.122124385510603	0.938146815520212	0.854846302027456	2.92889310127631	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Macaca_nemestrina	384.681818181818	545.949382716049	10.9824679331	0.29809161651429	0.0904554104452973	0.87783634801658	0.744180928585299	2.45241379027572	285.690907129318	280.9536729466	4.7372341827176	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Lemur_catta	Hapalemur_griseus	231.5625	537.25	25.8477057818	0.565041589648798	0.212890658985247	0.943853778384508	0.91768107614949	2.43565394803941	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_macaco	396.5	148	22.8374257191	0.459334565619224	0.188096949567152	0.901416197256731	0.851344240530031	2.07899084921992	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_flavifrons	396.5	157.979166666667	22.8374257191	0.440888786198397	0.188096949567152	0.887130824365331	0.83434359108391	1.95565496405922	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Hapalemur_griseus	148	537.25	47.7997285409	0.719500924214418	0.393695123052405	0.926285158924753	0.961585716847123	1.757354286278	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_flavifrons	Hapalemur_griseus	157.979166666667	537.25	47.7997285409	0.701055144793592	0.393695123052405	0.918584382401289	0.956338682337327	1.70295773089489	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Propithecus_tattersalli	148	689	71.9834962261	1	0.592881011452355	0.957180251555493	0.995504463487161	1.67909655438031	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_flavifrons	Propithecus_tattersalli	157.979166666667	689	71.9834962261	0.981554220579174	0.592881011452355	0.953199663965136	0.994708214807847	1.64680606669738	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_mongoz	Eulemur_macaco	299.1875	148	15.6477288181	0.279459334565619	0.128880115234574	0.775268565444312	0.662378369265905	1.43627911853428	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Lemuridae	STR	family
Lemur_catta	Propithecus_tattersalli	231.5625	689	71.983496227	0.845540665434381	0.592881011459768	0.913216078085293	0.983706886768303	1.40291923599057	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Indriidae	STR	superfamily
Nycticebus_pygmaeus	Galago_moholi	284	579	43.154528579	0.545286506469501	0.355435646975288	0.846257712077345	0.885682145907381	1.35875657743981	285.690907129318	280.9536729466	4.7372341827176	OU	Lorisidae	STR	Galagidae	STR	superfamily
Callithrix_jacchus	Saguinus_oedipus	543.271653543307	338.147141472868	26.3249190819	0.379158062976782	0.216821153041178	0.795888322524992	0.754886095478687	1.32007945587969	285.690907129318	280.9536729466	4.7372341827176	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_mongoz	Eulemur_flavifrons	299.1875	157.979166666667	15.6477288181	0.261013555144793	0.128880115234574	0.743167482593278	0.629525227008698	1.27494157850344	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Propithecus_tattersalli	299.1875	689	71.983496226	0.720540665434381	0.592881011451531	0.855552966534648	0.959355918269705	1.16592526727427	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Indriidae	STR	superfamily
Macaca_arctoides	Macaca_nemestrina	442.758064516129	545.949382716049	10.9824679326	0.190741808132939	0.0904554104411791	0.677382109584825	0.532841372904686	1.12359367361412	285.690907129318	280.9536729466	4.7372341827176	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pan_paniscus	Gorilla_gorilla	382.203246753247	228.498214285714	20.238906202	0.284112814172889	0.166694642644773	0.722198450214497	0.64023145076895	1.09120459010541	285.690907129318	280.9536729466	4.7372341827176	OU	Hominidae	APE	Hominidae	APE	family
Macaca_nemestrina	Gorilla_gorilla	545.949382716049	228.498214285714	62.1515760325	0.586785893586571	0.51190191076251	0.79912786399765	0.905413166759192	1.03786226023353	285.690907129318	280.9536729466	4.7372341827176	OU	Cercopithecidae	OWM	Hominidae	APE	order
Eulemur_macaco	Galago_moholi	148	579	99.3606340181	0.796672828096118	0.818368602299689	0.830388444847115	0.976079755218817	0.95020289983312	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Galagidae	STR	superfamily
Eulemur_flavifrons	Galago_moholi	157.979166666667	579	99.3606340181	0.778227048675292	0.818368602299689	0.820291387407252	0.972624243452786	0.924916342495644	285.690907129318	280.9536729466	4.7372341827176	OU	Lemuridae	STR	Galagidae	STR	superfamily
Macaca_nemestrina	Pongo_pygmaeus	545.949382716049	256.320146520147	62.1515760365	0.535359031785401	0.511901910795456	0.756777896535594	0.872784315052321	0.912778319459328	285.690907129318	280.9536729466	4.7372341827176	OU	Cercopithecidae	OWM	Hominidae	APE	order
