Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_albifrons	Eulemur_sanfordi	11.30684932	19.27945205	5.21120138	0.446182152236623	0.0524473442762965	0.993997981362158	0.966743047877883	8.22431525778688	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_collaris	11.30684932	23.19178082	9.5384061272	0.665133394380839	0.0959978387940162	0.997534607701449	0.986856732746673	6.83756401878803	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_rufus	11.30684932	22.36712329	9.5384061272	0.618981907337719	0.0959978387940162	0.995159854122177	0.978989387000428	6.31239958775698	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_albifrons	23.58082192	11.30684932	15.6477288182	0.686905857048937	0.157484188505926	0.985359103094931	0.968771502718835	4.2255341674166	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_fulvus	11.30684932	19.18082192	9.5384061272	0.440662373417947	0.0959978387940162	0.95512335320731	0.89960723224117	4.12949982086528	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_macaco	23.58082192	15.69315068	15.6477288181	0.441429009971267	0.15748418850492	0.883296284196071	0.833742313116503	2.33698409563621	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_macaco	23.19178082	15.69315068	14.8274950171	0.419656547303168	0.149229070076143	0.874497430858721	0.819385844207849	2.30424698159618	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_mongoz	13.15068493	23.58082192	22.837425719	0.583716651628648	0.229843800254125	0.91404227428632	0.899921597312891	2.28546178287599	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_collaris	13.15068493	23.19178082	22.8374257184	0.56194418896055	0.229843800248087	0.901683260914031	0.886609361089418	2.16766768476876	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rufus	Eulemur_macaco	22.36712329	15.69315068	14.8274950171	0.373505060260048	0.149229070076143	0.827303622296522	0.766591830053309	1.91870074331245	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_rufus	13.15068493	22.36712329	22.8374257184	0.51579270191743	0.229843800248087	0.870810486527914	0.85380821358122	1.91603186567142	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_collaris	19.18082192	23.19178082	7.651134656	0.224471020962892	0.0770036819048309	0.746057033974384	0.638408364914156	1.86100422627377	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_flavifrons	23.58082192	16.87945205	15.6477288181	0.375038332247399	0.15748418850492	0.8174090987424	0.760455802096314	1.81097593652807	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_flavifrons	23.19178082	16.87945205	14.8274950171	0.353265869579301	0.149229070076143	0.802845742939127	0.740280579118581	1.75244583633441	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Nycticebus_coucang	11.35342466	8.164383562	5.9520781674	0.178472861230436	0.0599037861025927	0.696235265872355	0.57893619002676	1.7248391967574	149.493341355001	146.315414975746	3.17792637925524	OU	Lorisidae	STR	Lorisidae	STR	family
Eulemur_albifrons	Eulemur_coronatus	11.30684932	17.4630137	14.8274950179	0.344526218803685	0.149229070084195	0.791534093293119	0.728306811974101	1.68144713303403	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Galago_moholi	Otolemur_garnettii	8.484931507	14.64657534	15.608317406	0.34483287325712	0.157087538337694	0.780185406637603	0.720863954599809	1.58241443797897	149.493341355001	146.315414975746	3.17792637925524	OU	Galagidae	STR	Galagidae	STR	family
Eulemur_mongoz	Eulemur_coronatus	23.58082192	17.4630137	15.6477288181	0.342379638245252	0.15748418850492	0.77630320557816	0.717046689503507	1.55890053781175	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_coronatus	23.19178082	17.4630137	14.8274950171	0.320607175577153	0.149229070076143	0.758188700181332	0.69362628551124	1.49020270775903	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_flavifrons	11.30684932	16.87945205	14.8274950179	0.311867524801538	0.149229070084195	0.745115266020068	0.680252956110253	1.42163189478658	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rufus	Eulemur_flavifrons	22.36712329	16.87945205	14.8274950171	0.307114382536181	0.149229070076143	0.737802369513018	0.672821801776606	1.38467157976706	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_collaris	19.27945205	23.19178082	9.5384061272	0.218951242144215	0.0959978387940162	0.681052551839293	0.585689317307401	1.33583635992279	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Varecia_rubra	11.30684932	24.24931507	52.6432531402	0.724317693876086	0.529820020363193	0.839500230570795	0.924257349553554	1.26355352052899	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_rufus	19.18082192	22.36712329	7.651134656	0.178319533919772	0.0770036819048309	0.635206897485249	0.531400153424338	1.23057788068675	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Varecia_variegata	11.30684932	23.39726027	52.6432531402	0.676632934285971	0.529820020363193	0.810142806425538	0.902888959900749	1.15307912648009	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rufus	Eulemur_coronatus	22.36712329	17.4630137	14.8274950171	0.274455688534033	0.149229070076143	0.683647603185507	0.61876315072489	1.13800257875383	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_coucang	Perodicticus_potto	8.164383562	17.63287671	39.9170348614	0.5298988039772	0.401738930661854	0.761625038394688	0.819584984208639	1.08104310969897	149.493341355001	146.315414975746	3.17792637925524	OU	Lorisidae	STR	Lorisidae	STR	family
Eulemur_albifrons	Lemur_catta	11.30684932	21.67945205	47.7997285392	0.580496779671709	0.481073103148614	0.762136553986177	0.849042049808815	1.0245140967019	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Varecia_rubra	13.15068493	24.24931507	52.643253141	0.621128488455797	0.529820020371244	0.771201538699	0.872224600272844	1.02254261207763	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_sanfordi	13.15068493	19.27945205	22.8374257192	0.342992946816334	0.229843800256138	0.687016370407734	0.666103739673298	0.994018043128937	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Daubentonia_madagascariensis	Nycticebus_coucang	26.03287671	8.164383562	99.3606340134	1	0.999999999925524	0.841551559872804	0.983081095241888	0.983081095315104	149.493341355001	146.315414975746	3.17792637925524	OU	Daubentoniidae	STR	Lorisidae	STR	superfamily
Eulemur_rubriventer	Eulemur_fulvus	13.15068493	19.18082192	22.8374257184	0.337473167997658	0.229843800248087	0.679165140896759	0.658266200243862	0.966513692091314	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Daubentonia_madagascariensis	Galago_moholi	26.03287671	8.484931507	99.360634015	0.982060717580101	0.999999999941627	0.833950327998224	0.981004433864902	0.963405918326863	149.493341355001	146.315414975746	3.17792637925524	OU	Daubentoniidae	STR	Galagidae	STR	superfamily
Perodicticus_potto	Galago_moholi	17.63287671	8.484931507	43.154528579	0.511959521557302	0.434322194139443	0.726737180970922	0.799855624213769	0.942833933455232	149.493341355001	146.315414975746	3.17792637925524	OU	Lorisidae	STR	Galagidae	STR	superfamily
Eulemur_albifrons	Eulemur_macaco	11.30684932	15.69315068	14.8274950179	0.245476847077671	0.149229070084195	0.629846530266667	0.56647032500586	0.931824806433807	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Varecia_variegata	13.15068493	23.39726027	52.643253141	0.573443728865681	0.529820020371244	0.733461234276741	0.84028059927155	0.909466652094673	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_fulvus	23.58082192	19.18082192	15.6477288174	0.24624348363099	0.157484188497875	0.61848366530143	0.560018178281367	0.875648713893243	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Nycticebus_coucang	24.24931507	8.164383562	99.3606340184	0.900183992839954	0.999999999975846	0.795750630301605	0.968449392827455	0.871782641319905	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lorisidae	STR	superfamily
Eulemur_sanfordi	Eulemur_rufus	19.27945205	22.36712329	9.5384061272	0.172799755101095	0.0959978387940162	0.568455042915515	0.480594097770213	0.865087625315385	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Galago_moholi	24.24931507	8.484931507	99.36063402	0.882244710420055	0.999999999991949	0.786587915422836	0.964900697474938	0.85127853643474	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Galagidae	STR	superfamily
Daubentonia_madagascariensis	Eulemur_albifrons	26.03287671	11.30684932	92.4969438832	0.824133701036132	0.930921433772623	0.77165574208796	0.951198799984291	0.842085012776333	149.493341355001	146.315414975746	3.17792637925524	OU	Daubentoniidae	STR	Lemuridae	STR	superfamily
Eulemur_mongoz	Eulemur_sanfordi	23.58082192	19.27945205	15.6477288182	0.240723704812314	0.157484188505926	0.607719782055116	0.549699287518479	0.840247203732189	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Nycticebus_coucang	23.58082192	8.164383562	99.3606340164	0.862772156012806	0.999999999955717	0.776310318261249	0.960668461993764	0.828838000204569	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lorisidae	STR	superfamily
Varecia_variegata	Nycticebus_coucang	23.39726027	8.164383562	99.3606340184	0.852499233249839	0.999999999975846	0.770747804909111	0.958266196355804	0.816921197662295	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Lorisidae	STR	superfamily
Eulemur_mongoz	Galago_moholi	23.58082192	8.484931507	99.360634018	0.844832873592906	0.99999999997182	0.766533018436398	0.956393533592116	0.80799269729307	149.493341355001	146.315414975746	3.17792637925524	OU	Lemuridae	STR	Galagidae	STR	superfamily
