Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_macaco	Eulemur_flavifrons	0.731506849	2.646575342	3.030803714	0.607826087006476	0.0305030633496716	0.995778496427747	0.831382269489967	16.5667240000697	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Nycticebus_coucang	3.739726027	1.276712329	5.9520781674	0.781739130360541	0.0599037861025927	0.99135562199226	0.923325960013817	12.0493224215301	92.098541649292	73.3243639773451	18.774177671947	OU	Lorisidae	STR	Lorisidae	STR	family
Eulemur_rubriventer	Eulemur_macaco	3.695890411	0.731506849	22.8374257191	0.940869565481792	0.229843800255132	0.893341625694573	0.96688481482219	3.95795968646053	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_macaco	2.901369863	0.731506849	15.6477288181	0.688695652380356	0.15748418850492	0.846337698841287	0.881148736142672	3.85336019725527	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_macaco	2.747945205	0.731506849	14.8274950179	0.640000000050783	0.149229070084195	0.826806331235839	0.852756708179521	3.65722504985308	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Loris_tardigradus	3.739726027	1.038356164	22.2897034077	0.857391304481406	0.224331332296389	0.863302670895271	0.947819295302655	3.62255247046144	92.098541649292	73.3243639773451	18.774177671947	OU	Lorisidae	STR	Lorisidae	STR	family
Varecia_rubra	Varecia_variegata	1.77260274	2.663013699	3.814273482	0.282608695728072	0.0383881757558182	0.764302426726811	0.477829306809805	3.51771644573917	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_macaco	2.471232877	0.731506849	13.292473054	0.552173913323611	0.133780074825382	0.785432776234516	0.78886392408379	3.25601611906501	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_macaco	2.512328767	0.731506849	14.8274950171	0.565217391456144	0.149229070076143	0.770971456981401	0.799449855614621	3.02798216031183	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rufus	Eulemur_collaris	1.501369863	2.512328767	5.630114132	0.320869565234227	0.0566634280012887	0.732210300572391	0.532552349392375	3.01569895859656	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_rufus	3.695890411	1.501369863	22.8374257184	0.696521739259875	0.229843800248087	0.767674801039017	0.885281835201121	2.6827699634443	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_rufus	2.747945205	1.501369863	9.5384061272	0.395652173828866	0.0959978387940162	0.706194782319289	0.629741912437736	2.59546214516101	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_fulvus	3.695890411	1.736986301	22.8374257184	0.621739130665236	0.229843800248087	0.713645938945906	0.840864291453005	2.27458053256663	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Lemur_catta	Hapalemur_griseus	1.638356164	3.698630137	25.8477057818	0.653913043709543	0.260140306435535	0.708121167166392	0.861352134819876	2.16517541592638	92.098541649292	73.3243639773451	18.774177671947	OU	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Otolemur_garnettii	3.739726027	0.75890411	43.154528579	0.946086956417414	0.434322194139443	0.76207666639612	0.967846670165857	2.10826691062894	92.098541649292	73.3243639773451	18.774177671947	OU	Lorisidae	STR	Galagidae	STR	superfamily
