Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_coucang	Perodicticus_potto	0.826086957	4	39.9170348614	0.963509316642205	0.401738930661854	0.999477095235168	0.99961739467953	2.39709278720648	45.2335028045573	46.1851253078988	-0.951622503341511	BM	Lorisidae	STR	Lorisidae	STR	family
Loris_tardigradus	Perodicticus_potto	0.909090909	4	39.9170348617	0.938311688356041	0.401738930664873	0.999269918205546	0.999457641416497	2.3339202962558	45.2335028045573	46.1851253078988	-0.951622503341511	BM	Lorisidae	STR	Lorisidae	STR	family
Nycticebus_pygmaeus	Perodicticus_potto	1.307692308	4	39.917034862	0.81730769222888	0.401738930667892	0.996743191604632	0.997411972216449	2.02779918869421	45.2335028045573	46.1851253078988	-0.951622503341511	BM	Lorisidae	STR	Lorisidae	STR	family
Nycticebus_pygmaeus	Nycticebus_coucang	1.307692308	0.826086957	5.9520781674	0.146201624413325	0.0599037861025927	0.827134330055273	0.751586022992348	2.01871017726665	45.2335028045573	46.1851253078988	-0.951622503341511	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_macaco	Eulemur_flavifrons	1.19047619	0.916666667	3.030803714	0.0831207480550557	0.0305030633496716	0.722516261336887	0.633723223816146	1.96885445359411	45.2335028045573	46.1851253078988	-0.951622503341511	BM	Lemuridae	STR	Lemuridae	STR	family
Perodicticus_potto	Galago_moholi	4	1.3	43.154528579	0.819642857157494	0.434322194139443	0.995459731158437	0.996869498163317	1.87860871316646	45.2335028045573	46.1851253078988	-0.951622503341511	BM	Lorisidae	STR	Galagidae	STR	superfamily
Perodicticus_potto	Otolemur_garnettii	4	1.344827586	43.154528579	0.806034482835822	0.434322194139443	0.994742906032935	0.996334140739128	1.84608821432099	45.2335028045573	46.1851253078988	-0.951622503341511	BM	Lorisidae	STR	Galagidae	STR	superfamily
Eulemur_fulvus	Eulemur_rufus	1.388888889	0.853333333	7.651134656	0.162579365217189	0.0770036819048309	0.818743286988415	0.747233766526357	1.72862856140987	45.2335028045573	46.1851253078988	-0.951622503341511	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rufus	Eulemur_collaris	0.853333333	1.269230769	5.630114132	0.126254578787969	0.0566634280012887	0.773826049142939	0.693622733218835	1.72419998817364	45.2335028045573	46.1851253078988	-0.951622503341511	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Varecia_variegata	0.971014493	1.253731343	3.814273482	0.0858247580372469	0.0383881757558182	0.682468490628152	0.596578077354915	1.52580037792832	45.2335028045573	46.1851253078988	-0.951622503341511	BM	Lemuridae	STR	Lemuridae	STR	family
