Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Ateles_geoffroyi	Ateles_belzebuth	24.1	54.73	7.4708789	0.413918918918919	0.0615327466824922	0.997595723309564	0.9935597460798	6.71063402128156	426.739992611396	424.78931730789	1.95067530350588	BM	Atelidae	PLA	Atelidae	PLA	family
Macaca_fascicularis	Macaca_fuscata	42.9	20.1	7.327012852	0.308108108108108	0.0603478160730835	0.977471132276227	0.959238367234212	4.99051665649664	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Alouatta_seniculus	Alouatta_belzebul	78.5	57.3	7.8255798887	0.286486486486487	0.0644541869009525	0.959884117867152	0.935202317771157	4.266500619805	426.739992611396	424.78931730789	1.95067530350588	BM	Atelidae	PLA	Atelidae	PLA	family
Alouatta_caraya	Alouatta_seniculus	61.6	78.5	6.6926645562	0.228378378378378	0.0551231037579191	0.923157963226373	0.885965610948573	3.82469970404084	426.739992611396	424.78931730789	1.95067530350588	BM	Atelidae	PLA	Atelidae	PLA	family
Macaca_fascicularis	Macaca_mulatta	42.9	25	7.3270128521	0.241891891891892	0.0603478160739071	0.926713918084808	0.891780456540059	3.71454341634419	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_nigra	42.9	19.5	10.9824679326	0.316216216216216	0.0904554104397635	0.944177395660418	0.920802320770867	3.30067822412281	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callimico_goeldii	Callithrix_jacchus	66	30	20.891989517	0.486486486486487	0.172073663065646	0.967090854223079	0.962572140318683	2.73415828664445	426.739992611396	424.78931730789	1.95067530350588	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Cercopithecus_mitis	Cercopithecus_ascanius	27.6	10	9.5808815419	0.237837837837838	0.0789114593883589	0.876444956299217	0.838813138185972	2.64159065116511	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Colobus_angolensis	Colobus_polykomos	22	9	6.780108392	0.175675675675676	0.0558433214818641	0.823689685558967	0.773122578892778	2.59121839850895	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Alouatta_seniculus	Ateles_geoffroyi	78.5	24.1	34.5806779974	0.735135135135135	0.284818443426093	0.987773092129051	0.991873262517853	2.54950731711855	426.739992611396	424.78931730789	1.95067530350588	BM	Atelidae	PLA	Atelidae	PLA	family
Trachypithecus_auratus	Piliocolobus_tephrosceles	50.5	8.5	27.0170263241	0.567567567567568	0.222521588044355	0.971367127951316	0.973162589253725	2.47758647990831	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Piliocolobus_kirkii	50.5	9	27.0170263241	0.560810810810811	0.222521588044355	0.969416562119328	0.971295334134077	2.44317548240399	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Colobus_polykomos	50.5	9	27.0170263241	0.560810810810811	0.222521588044355	0.969416562119328	0.971295334134077	2.44317548240399	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_mongoz	Eulemur_coronatus	69.1	44	15.6477288181	0.339189189189189	0.128880115232557	0.91430569456226	0.895607500338255	2.4062874761559	426.739992611396	424.78931730789	1.95067530350588	BM	Lemuridae	STR	Lemuridae	STR	family
Cercopithecus_petaurista	Cercopithecus_ascanius	23.8	10	7.762733782	0.186486486486486	0.0639365645950211	0.820239820320206	0.772351042690052	2.39242823158712	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Colobus_guereza	50.5	10.25	27.0170263241	0.543918918918919	0.222521588044355	0.964034462533717	0.966131159199146	2.35643016603584	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callimico_goeldii	Saguinus_mystax	66	27.2	26.324919085	0.524324324324324	0.216821153063317	0.959456255001621	0.960939328036895	2.32018991466005	426.739992611396	424.78931730789	1.95067530350588	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Colobus_angolensis	Colobus_guereza	22	10.25	6.780108392	0.158783783783784	0.0558433214818641	0.778361825249046	0.725274726775572	2.21317845153666	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Piliocolobus_badius	50.5	13	27.0170263241	0.506756756756757	0.222521588044355	0.949301372337913	0.951921473883343	2.16187961293359	426.739992611396	424.78931730789	1.95067530350588	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
