Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Papio_papio	Papio_cynocephalus	297.3	668.9	4.8778566854	0.559638554216867	0.0401757174485443	0.999961279661417	0.999185327269711	13.9184230540279	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Papio_cynocephalus	342.9	668.9	4.8778566854	0.490963855421687	0.0401757174485443	0.999693832678782	0.99668540803966	12.1799072088859	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_papio	Papio_ursinus	297.3	589.3	4.8778566851	0.439759036144578	0.0401757174460734	0.99877724993254	0.991477597702277	10.8526060128171	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Macaca_mulatta	485.4	231.9	4.6628169341	0.381777108433735	0.0384045755627458	0.995910617394489	0.980250826233591	9.74460257652912	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Papio_ursinus	342.9	589.3	4.8778566851	0.371084337349398	0.0401757174460734	0.993638826789848	0.97356959000059	8.99240758186394	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_cynocephalus	Cercocebus_torquatus	668.9	196.2	18.5708053179	0.711897590361446	0.152955585898418	0.992697663779619	0.986550497827457	4.59167880694257	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_ursinus	Cercocebus_torquatus	589.3	196.2	18.5708053176	0.592018072289157	0.152955585895947	0.974317254685735	0.960162463286857	3.71633064114564	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Papio_cynocephalus	231.9	668.9	22.4016461426	0.658132530120482	0.184507718010901	0.976062338977395	0.968409038588706	3.45428092455338	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_mulatta	400.9	231.9	7.3270128521	0.254518072289157	0.0603478160744042	0.873231413612819	0.796391862341263	3.35879796113849	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_cynocephalus	Erythrocebus_patas	668.9	186.9	29.8369393139	0.725903614457831	0.245747368304715	0.969082060181096	0.970979296544359	2.86813806303435	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Papio_ursinus	231.9	589.3	22.4016461423	0.538253012048193	0.18450771800843	0.935225015554245	0.921253488787881	2.6875161134307	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_ursinus	Erythrocebus_patas	589.3	186.9	29.8369393136	0.606024096385542	0.245747368302244	0.928410975799932	0.931644986119352	2.2974785641273	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_cynocephalus	Papio_ursinus	668.9	589.3	3.7904618637	0.119879518072289	0.0312195570016026	0.682660683968504	0.579234691087152	2.22419477684179	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Cercocebus_torquatus	485.4	196.2	22.4016461426	0.435542168674699	0.184507718010901	0.864927647743262	0.845130046541976	1.994983067653	504.183364967269	496.030571094304	8.15279387296528	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
