Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	160.514285714286	117.583333333333	1.4560128688	0.2546033949468	0.0119922263796461	0.999573894917186	0.995242093770833	21.1296891708188	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Cebuella_pygmaea	Callithrix_jacchus	50.2222222222222	151.316091954023	8.0860732424	0.599540448430523	0.0665997004031833	0.999569546127186	0.997224907769073	8.97716753634795	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Cebuella_pygmaea	Leontopithecus_rosalia	50.2222222222222	160.514285714286	23.8355055678	0.654090632595094	0.196317480956025	0.974725689546786	0.969594255404616	3.23049438485936	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Aotus_trivirgatus	Cebuella_pygmaea	182.151515151515	50.2222222222222	40.5102348762	0.782410918226714	0.333656328002383	0.959899701716878	0.975331852294621	2.28711469282892	371.809841662178	367.322429677147	4.48741198503103	OU	Aotidae	PLA	Callitrichidae	PLA	superfamily
Varecia_rubra	Varecia_variegata	28.2509803921569	46.5925925925926	3.814273482	0.108775521530252	0.0314156777389774	0.647649193162066	0.553415291269536	1.9161782034698	371.809841662178	367.322429677147	4.48741198503103	OU	Lemuridae	STR	Lemuridae	STR	family
Cebuella_pygmaea	Leontopithecus_chrysomelas	50.2222222222222	117.583333333333	23.8355055678	0.399487237648295	0.196317480956025	0.828175545959945	0.813876579366211	1.65616074989512	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Aotus_trivirgatus	Pongo_pygmaeus	182.151515151515	13.5325837742504	78.0653383581	1	0.642973170124224	0.941233338280535	0.990664034608199	1.54075485671789	371.809841662178	367.322429677147	4.48741198503103	OU	Aotidae	PLA	Hominidae	APE	order
Aotus_trivirgatus	Pan_paniscus	182.151515151515	16.9202380952381	78.0653383541	0.979909407008349	0.642973170091279	0.935969154988275	0.989143203344092	1.5074823879473	371.809841662178	367.322429677147	4.48741198503103	OU	Aotidae	PLA	Hominidae	APE	order
Aotus_trivirgatus	Macaca_nigra	182.151515151515	23.6666666666667	78.0653383561	0.939899495213011	0.642973170107751	0.924324571548544	0.985445108843462	1.44052567575546	371.809841662178	367.322429677147	4.48741198503103	OU	Aotidae	PLA	Cercopithecidae	OWM	order
Aotus_trivirgatus	Pan_troglodytes	182.151515151515	23.8706745887614	78.0653383541	0.938689619664468	0.642973170091279	0.923947156002655	0.985317768643319	1.43848546800971	371.809841662178	367.322429677147	4.48741198503103	OU	Aotidae	PLA	Hominidae	APE	order
Aotus_trivirgatus	Gorilla_gorilla	182.151515151515	29.3407738095238	78.0653383541	0.90624902016545	0.642973170091279	0.91324176855333	0.981516855953077	1.38341493916002	371.809841662178	367.322429677147	4.48741198503103	OU	Aotidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Pongo_pygmaeus	160.514285714286	13.5325837742504	78.0653383557	0.871679714368381	0.642973170104457	0.900527831608304	0.976544422157958	1.3239027731692	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Hominidae	APE	order
Aotus_trivirgatus	Macaca_arctoides	182.151515151515	35.2973484848485	78.0653383562	0.87092336232459	0.642973170108575	0.900233871995448	0.976423754551548	1.32259058216074	371.809841662178	367.322429677147	4.48741198503103	OU	Aotidae	PLA	Cercopithecidae	OWM	order
Aotus_trivirgatus	Macaca_mulatta	182.151515151515	37.0501505822402	78.0653383568	0.86052831306722	0.642973170113517	0.896123190231581	0.974709962266135	1.30451091670062	371.809841662178	367.322429677147	4.48741198503103	OU	Aotidae	PLA	Cercopithecidae	OWM	order
Aotus_trivirgatus	Macaca_nemestrina	182.151515151515	38.3333333333333	78.0653383566	0.852918356459073	0.64297317011187	0.89302940007397	0.973387931955479	1.29122096179552	371.809841662178	367.322429677147	4.48741198503103	OU	Aotidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_rosalia	Pan_paniscus	160.514285714286	16.9202380952381	78.0653383517	0.85158912137673	0.642973170071512	0.892481591175362	0.973150989929436	1.2888948327171	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Hominidae	APE	order
Aotus_trivirgatus	Macaca_fascicularis	182.151515151515	42.515	78.0653383567	0.828118847693887	0.642973170112693	0.882438366840986	0.968657344806963	1.24758456725522	371.809841662178	367.322429677147	4.48741198503103	OU	Aotidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Pongo_pygmaeus	151.316091954023	13.5325837742504	78.0653383543	0.817129530203809	0.642973170092926	0.877489569906878	0.966340582300043	1.22808456520447	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Macaca_nigra	160.514285714286	23.6666666666667	78.0653383537	0.811579209581391	0.642973170087984	0.874928988462775	0.965115815199262	1.21819691223933	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_rosalia	Pan_troglodytes	160.514285714286	23.8706745887614	78.0653383517	0.810369334032849	0.642973170071512	0.874365325252879	0.964843842738172	1.21603808475938	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Pan_paniscus	151.316091954023	16.9202380952381	78.0653383503	0.797038937212159	0.642973170059981	0.868023096729659	0.961725492196963	1.19216897358097	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Gorilla_gorilla	160.514285714286	29.3407738095238	78.0653383517	0.77792873453383	0.642973170071512	0.858501799540625	0.95684697154894	1.15768244829999	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Macaca_nigra	151.316091954023	23.6666666666667	78.0653383523	0.75702902541682	0.642973170076453	0.847493995721548	0.950920112227533	1.11960212231447	371.809841662178	367.322429677147	4.48741198503103	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
