Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_beringei	Gorilla_gorilla	1.67	2.383	2.069936054	0.426946107784431	0.0170487104082223	0.999998562095112	0.999923838236152	25.0408142665091	55.9417082901988	40.7532714892304	15.1884368009684	OU	Hominidae	APE	Hominidae	APE	family
Mandrillus_sphinx	Mandrillus_leucophaeus	2.45	1.4	5.449018498	0.62874251497006	0.0448800039991228	0.999987833747025	0.999840034928581	14.0071720613268	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nasalis_larvatus	Presbytis_comata	2.077	0.996	17.957258552	0.647305389221557	0.147902202189779	0.986895585767505	0.988819696603798	4.32764562733669	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_francoisi	Nasalis_larvatus	1.048	2.077	17.7111143212	0.616167664670659	0.145874873035598	0.982589941074827	0.984655496713257	4.15913217464722	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cercopithecus_mitis	Cercopithecus_ascanius	1.866	1.267	9.5808815419	0.358682634730539	0.0789114593891388	0.940170679716622	0.915001281523348	4.15902928394942	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Colobus_polykomos	Colobus_guereza	1.193	1.467	3.839420472	0.164071856287425	0.0316227970598594	0.82615593287209	0.748285394064804	3.88240715723474	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Mandrillus_sphinx	1.25	2.45	22.4016461427	0.718562874251497	0.184507718012028	0.986327143174492	0.992256699611258	3.86433062936419	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pan_troglodytes	Gorilla_gorilla	1.303	2.383	20.238906202	0.646706586826347	0.166694642643812	0.980442606149094	0.985962796957653	3.82512974049627	55.9417082901988	40.7532714892304	15.1884368009684	OU	Hominidae	APE	Hominidae	APE	family
Trachypithecus_cristatus	Nasalis_larvatus	1.148	2.077	17.7111143211	0.556287425149701	0.145874873034775	0.968193979943577	0.971371298266803	3.70428180765817	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pan_paniscus	Gorilla_gorilla	1.355	2.383	20.238906202	0.615568862275449	0.166694642643812	0.973738282386881	0.98061499118577	3.62120848565185	55.9417082901988	40.7532714892304	15.1884368009684	OU	Hominidae	APE	Hominidae	APE	family
Nasalis_larvatus	Pygathrix_nemaeus	2.077	1.303	14.9942228138	0.463473053892216	0.123497613394793	0.948098952045908	0.944340814502483	3.54400793004297	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Mandrillus_sphinx	1.37	2.45	22.4016461426	0.646706586826347	0.184507718011204	0.973524883287718	0.983459081594719	3.44706157984607	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_pileatus	Nasalis_larvatus	1.217	2.077	17.7111143211	0.514970059880239	0.145874873034775	0.953120460210477	0.957236228514064	3.37925228424987	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nigra	1.25	1.808	10.9824679327	0.334131736526946	0.0904554104414812	0.898481698990679	0.873452921989503	3.22643322466261	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_cynocephalus	Papio_ursinus	1.772	2.014	3.7904618637	0.144910179640718	0.031219557001654	0.773283582938946	0.691374984227346	3.20911898776064	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_obscurus	Nasalis_larvatus	1.262	2.077	17.7111143203	0.488023952095808	0.145874873028186	0.940353238955966	0.94514181533717	3.16196912077333	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_silenus	Mandrillus_sphinx	1.459	2.45	22.401646143	0.593413173652695	0.184507718014499	0.958279213643823	0.972139556131884	3.12659234770987	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cercopithecus_nictitans	Cercopithecus_mitis	1.566	1.866	5.193516448	0.179640718562874	0.0427756006042741	0.799545495627975	0.728972914723925	3.06139987198202	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Mandrillus_sphinx	1.624	2.45	18.570805318	0.494610778443114	0.152955585899494	0.937693774146741	0.945270695757721	3.05671134479135	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Cercocebus_torquatus	2.45	1.722	16.146299604	0.435928143712575	0.13298651694145	0.92192788073048	0.921707934867751	3.02134711347428	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Mandrillus_sphinx	1.493	2.45	22.4016461426	0.573053892215569	0.184507718011204	0.950751243910731	0.96631249620678	3.00122478895008	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Semnopithecus_entellus	Nasalis_larvatus	1.314	2.077	17.7111143207	0.45688622754491	0.14587487303148	0.922137979260395	0.927742899985511	2.90572971819816	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Cercopithecus_ascanius	2.45	1.267	29.8369393137	0.708383233532934	0.245747368303472	0.964819295909141	0.986744333719645	2.84435657079933	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cercopithecus_mitis	Cercopithecus_mona	1.866	1.289	12.9463432658	0.345508982035928	0.106630568010804	0.881142115337006	0.86490366493069	2.80249829297606	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Cercopithecus_mona	2.45	1.289	29.8369393136	0.695209580838323	0.245747368302649	0.961275496119791	0.984932999204402	2.78633648148551	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nasalis_larvatus	Piliocolobus_badius	2.077	1.018	27.017026323	0.634131736526946	0.222521588037495	0.952459670218677	0.976061338227463	2.7815344876233	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Presbytis_comata	2.45	0.996	38.593674153	0.870658682634731	0.317870869949005	0.977166847399659	0.99661908596264	2.72977218897745	55.9417082901988	40.7532714892304	15.1884368009684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
