Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Theropithecus_gelada	Papio_hamadryas	9.31	26.78	12.5784127639	0.656766917293233	0.10360016493991	0.996810331636302	0.974264842716686	6.17629245811862	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Chlorocebus_pygerythrus	26.78	3.74	29.8369393138	0.866165413533834	0.245747368307332	0.988433137657313	0.98017007828429	3.45472436607686	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Mandrillus_sphinx	26.78	12.24	18.5708053179	0.546616541353383	0.15295558590056	0.956601756749202	0.899786860803973	3.21556338666599	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Papio_hamadryas	10.1	26.78	22.4016461419	0.627067669172932	0.184507718007719	0.965118692810784	0.927340449741488	3.15165793945188	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Papio_hamadryas	11.36	26.78	22.401646142	0.579699248120301	0.184507718008542	0.948867399406872	0.902959251947452	2.83698050730308	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Semnopithecus_vetulus	26.78	2.85	38.5936741539	0.899624060150376	0.317870869960345	0.978888440764156	0.979696485420506	2.77269360995237	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_fulvus	Eulemur_macaco	1.9	11.7	14.8274950171	0.368421052631579	0.122124385504819	0.872384989289975	0.764012832761263	2.30485018128367	137.77230643785	135.559154603906	2.21315183394435	OU	Lemuridae	STR	Lemuridae	STR	family
Papio_hamadryas	Colobus_guereza	26.78	7.25	38.5936741539	0.734210526315789	0.317870869960345	0.94016169229234	0.941773213226292	2.17528522396295	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Semnopithecus_vetulus	Nomascus_concolor	2.85	25.45	62.151576036	0.849624060150376	0.51190191079471	0.91386444264023	0.964132305521427	1.60020892023543	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Cebuella_pygmaea	Papio_hamadryas	0.18	26.78	78.0653383526	1	0.642973170083161	0.928499806701253	0.985658489387493	1.53296985822909	137.77230643785	135.559154603906	2.21315183394435	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Chlorocebus_pygerythrus	Nomascus_concolor	3.74	25.45	62.1515760359	0.816165413533835	0.511901910793887	0.900762607673304	0.956177755403235	1.5245092794052	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Saguinus_oedipus	Papio_hamadryas	0.33	26.78	78.0653383521	0.994360902255639	0.642973170079043	0.926886921493147	0.985099395882347	1.52346065074634	137.77230643785	135.559154603906	2.21315183394435	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Papio_hamadryas	0.54	26.78	78.0653383522	0.986466165413534	0.642973170079866	0.924578993988238	0.984284430456992	1.51011478079022	137.77230643785	135.559154603906	2.21315183394435	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Papio_hamadryas	1.1	26.78	78.0653383536	0.965413533834586	0.642973170091397	0.918132674128307	0.981916577118751	1.47433142896495	137.77230643785	135.559154603906	2.21315183394435	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Sapajus_apella	Papio_hamadryas	1.25	26.78	78.0653383489	0.959774436090226	0.642973170052686	0.916332093385017	0.981231514818808	1.46469707862306	137.77230643785	135.559154603906	2.21315183394435	OU	Cebidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Nomascus_concolor	0.18	25.45	78.0653383547	0.95	0.642973170100457	0.913135221246764	0.97999019947951	1.4479464039846	137.77230643785	135.559154603906	2.21315183394435	OU	Callitrichidae	PLA	Hylobatidae	APE	order
Saguinus_oedipus	Nomascus_concolor	0.33	25.45	78.0653383542	0.944360902255639	0.642973170096339	0.911246467830344	0.979241937687373	1.43825254740015	137.77230643785	135.559154603906	2.21315183394435	OU	Callitrichidae	PLA	Hylobatidae	APE	order
Callithrix_jacchus	Nomascus_concolor	0.54	25.45	78.0653383543	0.936466165413534	0.642973170097163	0.908546764102525	0.978153445294163	1.42464359121274	137.77230643785	135.559154603906	2.21315183394435	OU	Callitrichidae	PLA	Hylobatidae	APE	order
Leontopithecus_chrysomelas	Nomascus_concolor	1.1	25.45	78.0653383557	0.915413533834586	0.642973170108693	0.901023990343937	0.975004731787768	1.38813339113419	137.77230643785	135.559154603906	2.21315183394435	OU	Callitrichidae	PLA	Hylobatidae	APE	order
Sapajus_apella	Nomascus_concolor	1.25	25.45	78.065338351	0.909774436090225	0.642973170069983	0.898927248885924	0.974097336864689	1.37829834368766	137.77230643785	135.559154603906	2.21315183394435	OU	Cebidae	PLA	Hylobatidae	APE	order
Colobus_guereza	Nomascus_concolor	7.25	25.45	62.151576036	0.684210526315789	0.51190191079471	0.833036911894422	0.908949351161567	1.21490602171645	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Theropithecus_gelada	Nomascus_concolor	9.31	25.45	62.151576036	0.606766917293233	0.51190191079471	0.779651025965823	0.866024929370507	1.02651556013426	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Papio_hamadryas	Cheirogaleus_medius	26.78	0.32	121.4130573119	0.994736842105263	0.999999999957995	0.849443605232112	0.984606801396971	0.979424660378128	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Macaca_nigra	Nomascus_concolor	10.1	25.45	62.151576036	0.577067669172932	0.51190191079471	0.756228472593292	0.84591710545795	0.953603419065763	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Nomascus_concolor	Cheirogaleus_medius	25.45	0.32	121.413057314	0.944736842105263	0.999999999975291	0.827844424895236	0.97861983493573	0.924538212501599	137.77230643785	135.559154603906	2.21315183394435	OU	Hylobatidae	APE	Cheirogaleidae	STR	order
Papio_hamadryas	Eulemur_fulvus	26.78	1.9	121.4130573123	0.935338345864662	0.999999999961289	0.823537567556257	0.977291880622839	0.914098571084116	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Papio_hamadryas	Lemur_catta	26.78	2.27	121.4130573139	0.921428571428571	0.999999999974467	0.81701677288722	0.975195142373942	0.898572666924646	137.77230643785	135.559154603906	2.21315183394435	OU	Cercopithecidae	OWM	Lemuridae	STR	order
