Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_gorilla	Hylobates_lar	14567	4784	45.7765141047	0.675560895775932	0.377031228073906	0.999773853240949	0.999773853229996	1.79138508849568	689.925115230392	691.925115230392	-1.99999999999955	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_mitis	Gorilla_gorilla	2733	14567	62.1515760318	0.817191826700642	0.511901910757166	0.99987107677584	0.999871076769138	1.59617781165734	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_gorilla	2827	14567	62.1515760317	0.81070069676065	0.511901910756343	0.999854188063128	0.999854188055661	1.58347228226631	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	174	14567	78.0653383507	0.993902481130838	0.642973170063805	0.99996743729955	0.999967437297572	1.54574119614267	689.925115230392	691.925115230392	-1.99999999999955	BM	Callitrichidae	PLA	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	3166	14567	62.1515760308	0.787291196232383	0.51190191074893	0.999774352074711	0.999774352063779	1.53762572297451	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	3217	14567	62.151576032	0.783769412967068	0.511901910758814	0.999759268738294	0.999759268726729	1.53072438039128	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	372	14567	78.0653383503	0.980229675512558	0.64297317006051	0.999958255453144	0.999958255450675	1.52446291993287	689.925115230392	691.925115230392	-1.99999999999955	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	453	14567	78.0653383502	0.974636255032352	0.642973170059687	0.999953831942157	0.999953831939456	1.51575727161194	689.925115230392	691.925115230392	-1.99999999999955	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	471	14567	78.0653383511	0.973393272703418	0.642973170067099	0.99995279030083	0.999952790298075	1.513822604757	689.925115230392	691.925115230392	-1.99999999999955	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Gorilla_gorilla	493	14567	78.0653383533	0.971874072079164	0.642973170085219	0.999951486912828	0.999951486910005	1.511457971627	689.925115230392	691.925115230392	-1.99999999999955	BM	Callitrichidae	PLA	Hominidae	APE	order
Plecturocebus_moloch	Gorilla_gorilla	721	14567	78.0653383522	0.956129629245993	0.642973170076159	0.999935812175653	0.999935812172032	1.48694891460565	689.925115230392	691.925115230392	-1.99999999999955	BM	Pitheciidae	PLA	Hominidae	APE	order
Erythrocebus_patas	Gorilla_gorilla	3624	14567	62.151576032	0.755664201418381	0.511901910758814	0.999600255441495	0.99960025542357	1.47559935388032	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Aotus_trivirgatus	Gorilla_gorilla	862	14567	78.0653383541	0.946392934336006	0.642973170091808	0.999923835743472	0.999923835739258	1.47178902175134	689.925115230392	691.925115230392	-1.99999999999955	BM	Aotidae	PLA	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	3735	14567	62.151576031	0.747999143723285	0.511901910750577	0.999542262789935	0.9995422627698	1.46054691529839	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	1042	14567	78.065338345	0.93396311104666	0.642973170016858	0.999905462388494	0.999905462383393	1.45243201420119	689.925115230392	691.925115230392	-1.99999999999955	BM	Cebidae	PLA	Hominidae	APE	order
Macaca_mulatta	Gorilla_gorilla	4032	14567	62.1515760327	0.727489935295864	0.511901910764579	0.999346207673822	0.999346207646525	1.42022190710897	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Hylobates_lar	12246	4784	45.7765141047	0.515285229917204	0.377031228073906	0.995090653415375	0.995090653271828	1.35998155578002	689.925115230392	691.925115230392	-1.99999999999955	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cebuella_pygmaea	Pan_troglodytes	174	12246	78.0653383507	0.83362681527211	0.642973170063805	0.999507438015804	0.999507437994363	1.29588020338581	689.925115230392	691.925115230392	-1.99999999999955	BM	Callitrichidae	PLA	Hominidae	APE	order
Cercopithecus_mitis	Pan_troglodytes	2733	12246	62.1515760318	0.656916160841913	0.511901910757167	0.99791340807417	0.997913408002147	1.2806075365398	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Callithrix_jacchus	Pan_troglodytes	372	12246	78.0653383503	0.81995400965383	0.64297317006051	0.999391087837595	0.9993910878119	1.27447733100219	689.925115230392	691.925115230392	-1.99999999999955	BM	Callitrichidae	PLA	Hominidae	APE	order
Cercopithecus_ascanius	Pan_troglodytes	2827	12246	62.1515760317	0.650425030901922	0.511901910756343	0.997690249933785	0.997690249855513	1.26767003210622	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Pan_troglodytes	453	12246	78.0653383502	0.814360589173624	0.642973170059687	0.999336494797513	0.999336494769871	1.26571417686131	689.925115230392	691.925115230392	-1.99999999999955	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_midas	Pan_troglodytes	471	12246	78.0653383511	0.813117606844689	0.642973170067099	0.99932376041381	0.999323760385718	1.2637661761935	689.925115230392	691.925115230392	-1.99999999999955	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Pan_troglodytes	493	12246	78.0653383533	0.811598406220436	0.642973170085219	0.99930788765698	0.999307887628329	1.26138496391447	689.925115230392	691.925115230392	-1.99999999999955	BM	Callitrichidae	PLA	Hominidae	APE	order
Alouatta_seniculus	Gorilla_gorilla	2829	14567	78.0653383544	0.810562587612991	0.642973170094279	0.999296867531753	0.999296867502716	1.25976120375493	689.925115230392	691.925115230392	-1.99999999999955	BM	Atelidae	PLA	Hominidae	APE	order
Plecturocebus_moloch	Pan_troglodytes	721	12246	78.0653383522	0.795853963387265	0.642973170076159	0.999121723677067	0.999121723642019	1.23668454719584	689.925115230392	691.925115230392	-1.99999999999955	BM	Pitheciidae	PLA	Hominidae	APE	order
Aotus_trivirgatus	Pan_troglodytes	862	12246	78.0653383541	0.786117268477278	0.642973170091808	0.998984393067334	0.998984393027728	1.22138670610065	689.925115230392	691.925115230392	-1.99999999999955	BM	Aotidae	PLA	Hominidae	APE	order
Pygathrix_nemaeus	Pan_troglodytes	3166	12246	62.1515760308	0.627015530373654	0.51190191074893	0.996691716707587	0.996691716602823	1.22082213847595	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Pan_troglodytes	3217	12246	62.151576032	0.62349374710834	0.511901910758814	0.996511347655069	0.996511347545735	1.21374540928053	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebus_albifrons	Gorilla_gorilla	3258	14567	78.0653383462	0.78093817544005	0.642973170026741	0.998903492444427	0.998903492402191	1.21324171395488	689.925115230392	691.925115230392	-1.99999999999955	BM	Cebidae	PLA	Hominidae	APE	order
Papio_anubis	Cercopithecus_mitis	7182	2733	29.8369393137	0.307223798968325	0.245747368305091	0.9622305090553	0.962230508414889	1.20294314650884	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saimiri_sciureus	Pan_troglodytes	1042	12246	78.065338345	0.773687445187932	0.642973170016858	0.998780191856171	0.998780191809996	1.20182883357521	689.925115230392	691.925115230392	-1.99999999999955	BM	Cebidae	PLA	Hominidae	APE	order
Papio_anubis	Cercopithecus_ascanius	7182	2827	29.8369393136	0.300732669028333	0.245747368304268	0.957993592358061	0.957993591671998	1.17234203535875	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Erythrocebus_patas	Pan_troglodytes	3624	12246	62.151576032	0.595388535559653	0.511901910758814	0.994718901045228	0.994718900893174	1.15694866016209	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Nasalis_larvatus	Pan_troglodytes	3735	12246	62.151576031	0.587723477864556	0.511901910750577	0.994103061666497	0.994103061500695	1.14134699732175	689.925115230392	691.925115230392	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
