Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_gorilla	Hylobates_lar	178	61.6	45.7765141047	0.656329292359741	0.377031228073906	0.99275400182329	0.989353155903089	1.72816860511156	216.650178406349	217.913379488759	-1.26320108240975	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_ascanius	Gorilla_gorilla	25.7	178	62.1515760317	0.858753876515365	0.511901910756343	0.997433220298778	0.997330033969395	1.6732690902271	216.650178406349	217.913379488759	-1.26320108240975	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	31.9	178	62.151576032	0.823794756131943	0.511901910758814	0.996179364605746	0.996037320501842	1.60313395883321	216.650178406349	217.913379488759	-1.26320108240975	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Gorilla_gorilla	127	178	20.238906202	0.28756695799267	0.16669464264491	0.923183294312977	0.881385220421374	1.59259474331607	216.650178406349	217.913379488759	-1.26320108240975	BM	Hominidae	APE	Hominidae	APE	family
Nasalis_larvatus	Gorilla_gorilla	37.2	178	62.151576031	0.79391034677192	0.511901910750577	0.994691135819863	0.994506935414358	1.54266973415241	216.650178406349	217.913379488759	-1.26320108240975	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	1.95	178	78.0653383507	0.992669861855089	0.642973170063805	0.99812963673907	0.998780739978018	1.54098686344396	216.650178406349	217.913379488759	-1.26320108240975	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	4.45	178	78.0653383502	0.978573442345644	0.642973170059687	0.997829956015194	0.998569407772931	1.5186479629356	216.650178406349	217.913379488759	-1.26320108240975	BM	Callitrichidae	PLA	Hominidae	APE	order
Papio_anubis	Cercopithecus_ascanius	94.7	25.7	29.8369393136	0.389061178460671	0.245747368304268	0.951353984673551	0.92653358554708	1.5061601878563	216.650178406349	217.913379488759	-1.26320108240975	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saimiri_sciureus	Gorilla_gorilla	11.5	178	78.065338345	0.93882153932901	0.642973170016858	0.996732373766963	0.997778384648261	1.45535438347206	216.650178406349	217.913379488759	-1.26320108240975	BM	Cebidae	PLA	Hominidae	APE	order
Cebus_albifrons	Gorilla_gorilla	41.7	178	78.0653383462	0.76853679165492	0.642973170026741	0.983953723583924	0.98772231991901	1.17610605404989	216.650178406349	217.913379488759	-1.26320108240975	BM	Cebidae	PLA	Hominidae	APE	order
Ateles_geoffroyi	Gorilla_gorilla	52.8	178	78.065338351	0.705948689032986	0.642973170066276	0.97301743010641	0.978559451825371	1.06831888353765	216.650178406349	217.913379488759	-1.26320108240975	BM	Atelidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Pan_troglodytes	1.95	127	78.0653383507	0.705102903862419	0.642973170063805	0.972833703733569	0.978402880295955	1.06683746914308	216.650178406349	217.913379488759	-1.26320108240975	BM	Callitrichidae	PLA	Hominidae	APE	order
Cercopithecus_ascanius	Pan_troglodytes	25.7	127	62.1515760317	0.571186918522695	0.511901910756343	0.955102923745767	0.954245776895904	1.06571646720426	216.650178406349	217.913379488759	-1.26320108240975	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Pan_troglodytes	4.45	127	78.0653383502	0.691006484352974	0.642973170059687	0.969608887797669	0.975642978882119	1.04204352522558	216.650178406349	217.913379488759	-1.26320108240975	BM	Callitrichidae	PLA	Hominidae	APE	order
