Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_gorilla	Hylobates_lar	369878	76001	45.7765141047	0.796956737509797	0.377031228073906	0.999982300093975	0.999982300085898	2.11373109734618	936.904391295405	938.904391295405	-1.99999999999966	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Hylobates_lar	313493	76001	45.7765141047	0.644047848265351	0.377031228073906	0.99947679114688	0.999476790987475	1.70731448431408	936.904391295405	938.904391295405	-1.99999999999966	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_ascanius	Gorilla_gorilla	51279	369878	62.1515760317	0.86399963118544	0.511901910756343	0.999934867742086	0.999934867716185	1.68771270195521	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	56189	369878	62.1515760308	0.85068434083889	0.51190191074893	0.999915708107898	0.999915708075354	1.66167114672759	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Gorilla_gorilla	56277	369878	62.1515760318	0.850445696123922	0.511901910757166	0.999915320427276	0.9999153203946	1.66120434965351	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	57885	369878	62.151576032	0.846085006332221	0.511901910758814	0.999907932787876	0.999907932752694	1.652674256266	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	70873	369878	62.151576031	0.810863215900246	0.511901910750577	0.999821611069023	0.999821611006133	1.58373811437679	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_mulatta	Gorilla_gorilla	71080	369878	62.1515760327	0.810301858445718	0.511901910764579	0.999819757270424	0.999819757206964	1.58263876416659	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	3099	369878	78.0653383507	0.994657612630814	0.642973170063805	0.999959047727629	0.99995904771049	1.5469026165472	936.904391295405	938.904391295405	-1.99999999999966	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	5318	369878	78.0653383503	0.988639969193137	0.64297317006051	0.999954423264939	0.999954423246084	1.53753679973638	936.904391295405	938.904391295405	-1.99999999999966	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	7052	369878	78.0653383502	0.983937583559549	0.642973170059687	0.999950469248564	0.999950469228259	1.53021758015243	936.904391295405	938.904391295405	-1.99999999999966	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	7055	369878	78.0653383511	0.983929447944266	0.642973170067099	0.999950462134084	0.999950462113776	1.53020491675652	936.904391295405	938.904391295405	-1.99999999999966	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Gorilla_gorilla	7733	369878	78.0653383533	0.982090798890302	0.642973170085219	0.999948829175155	0.999948829154252	1.52734295952643	936.904391295405	938.904391295405	-1.99999999999966	BM	Callitrichidae	PLA	Hominidae	APE	order
Erythrocebus_patas	Gorilla_gorilla	84770	369878	62.151576032	0.773176334037516	0.511901910758814	0.999647915310124	0.999647915196664	1.50986760206075	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Aotus_trivirgatus	Gorilla_gorilla	12128	369878	78.0653383541	0.970172122500671	0.642973170091808	0.999936940760435	0.999936940735267	1.508789152191	936.904391295405	938.904391295405	-1.99999999999966	BM	Aotidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	17635	369878	78.065338345	0.955237844712799	0.642973170016858	0.999918338330363	0.999918338298719	1.48553607356658	936.904391295405	938.904391295405	-1.99999999999966	BM	Cebidae	PLA	Hominidae	APE	order
Alouatta_seniculus	Gorilla_gorilla	37388	369878	78.0653383544	0.901670241817605	0.642973170094279	0.999799633318682	0.999799633249083	1.40206406592584	936.904391295405	938.904391295405	-1.99999999999966	BM	Atelidae	PLA	Hominidae	APE	order
Cercopithecus_ascanius	Pan_troglodytes	51279	313493	62.1515760317	0.711090741940995	0.511901910756343	0.998986158012539	0.998986157733305	1.38770688947095	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Pan_troglodytes	56189	313493	62.1515760308	0.697775451594445	0.51190191074893	0.998740774514802	0.998740774180004	1.36138736802773	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Pan_troglodytes	56277	313493	62.1515760318	0.697536806879476	0.511901910757167	0.998735914167694	0.998735913831818	1.36091513988285	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Pan_troglodytes	57885	313493	62.151576032	0.693176117087775	0.511901910758814	0.998643996391986	0.998643996035873	1.35228283626815	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebus_albifrons	Gorilla_gorilla	52113	369878	78.0653383462	0.86173793013676	0.642973170026741	0.999620393142249	0.99962039302119	1.33973056523194	936.904391295405	938.904391295405	-1.99999999999966	BM	Cebidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Pan_troglodytes	3099	313493	78.0653383507	0.841748723386369	0.642973170063805	0.999482311538505	0.999482311380539	1.30847288651454	936.904391295405	938.904391295405	-1.99999999999966	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Pan_troglodytes	5318	313493	78.0653383503	0.835731079948691	0.64297317006051	0.999432344814632	0.999432344643737	1.29905369580037	936.904391295405	938.904391295405	-1.99999999999966	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Pan_troglodytes	7052	313493	78.0653383502	0.831028694315103	0.642973170059687	0.999390211561371	0.999390211379725	1.29168988893898	936.904391295405	938.904391295405	-1.99999999999966	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_midas	Pan_troglodytes	7055	313493	78.0653383511	0.83102055869982	0.642973170067099	0.99939013620817	0.999390136026505	1.29167714613058	936.904391295405	938.904391295405	-1.99999999999966	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Pan_troglodytes	7733	313493	78.0653383533	0.829181909645857	0.642973170085219	0.999372882359238	0.999372882173208	1.28879703477065	936.904391295405	938.904391295405	-1.99999999999966	BM	Callitrichidae	PLA	Hominidae	APE	order
Nasalis_larvatus	Pan_troglodytes	70873	313493	62.151576031	0.657954326655801	0.511901910750577	0.997642538776882	0.997642538214929	1.28228320906573	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_mulatta	Pan_troglodytes	71080	313493	62.1515760327	0.657392969201272	0.511901910764579	0.997622143291095	0.997622142725175	1.28116299065874	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Aotus_trivirgatus	Pan_troglodytes	12128	313493	78.0653383541	0.817263233256226	0.642973170091808	0.99924955314348	0.999249552926825	1.27011508196411	936.904391295405	938.904391295405	-1.99999999999966	BM	Aotidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Pan_troglodytes	17635	313493	78.065338345	0.802328955468354	0.642973170016858	0.999063243462484	0.999063243201214	1.24667312098429	936.904391295405	938.904391295405	-1.99999999999966	BM	Cebidae	PLA	Hominidae	APE	order
Ateles_geoffroyi	Gorilla_gorilla	79946	369878	78.065338351	0.786258403412619	0.642973170066276	0.998815501807752	0.998815501489633	1.22139945850958	936.904391295405	938.904391295405	-1.99999999999966	BM	Atelidae	PLA	Hominidae	APE	order
Erythrocebus_patas	Pan_troglodytes	84770	313493	62.151576032	0.620267444793071	0.511901910758814	0.995854498644899	0.995854497758665	1.20666891894293	936.904391295405	938.904391295405	-1.99999999999966	BM	Cercopithecidae	OWM	Hominidae	APE	order
Alouatta_seniculus	Pan_troglodytes	37388	313493	78.0653383544	0.74876135257316	0.642973170094279	0.997984551353842	0.997984550859594	1.16218264971966	936.904391295405	938.904391295405	-1.99999999999966	BM	Atelidae	PLA	Hominidae	APE	order
Pongo_pygmaeus	Hylobates_lar	238300	76001	45.7765141087	0.440134074939864	0.377031228106852	0.982230479033731	0.982230476344729	1.14662412829298	936.904391295405	938.904391295405	-1.99999999999966	BM	Hominidae	APE	Hylobatidae	APE	superfamily
