Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Saimiri_oerstedii	Saimiri_sciureus	9.5285	1.9345	3.4920815264	0.816251948191541	0.0287619931787016	0.99999999999974	0.99999998494469	28.3795330466546	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Cebidae	PLA	family
Saguinus_oedipus	Saguinus_mystax	6.8742	3.5777	9.2557724803	0.354329015961735	0.0762337485334839	0.948826777725417	0.916066284412966	4.25781063316335	337.57830436445	309.711638832566	27.866665531884	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Saguinus_oedipus	Leontocebus_fuscicolis	6.8742	3.1707	10.8504714419	0.398075992905896	0.0893682416170134	0.956967873589008	0.936674288540912	4.17226008583974	337.57830436445	309.711638832566	27.866665531884	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Cebuella_pygmaea	Mico_humeralifer	5.5846	3.1388	6.9646224476	0.26289031009835	0.0573630431637173	0.904660929753343	0.839473761191274	3.84724214803497	337.57830436445	309.711638832566	27.866665531884	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Saguinus_oedipus	Saguinus_imperator	6.8742	3.8922	9.2557724801	0.320524533777611	0.0762337485318367	0.922265287141762	0.882045365472484	3.70855670859084	337.57830436445	309.711638832566	27.866665531884	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Piliocolobus_tephrosceles	Piliocolobus_kirkii	0.7134	1.6205	2.077757066	0.0975009405062611	0.0171131269724101	0.742589797211612	0.602450153266867	3.4324210091096	337.57830436445	309.711638832566	27.866665531884	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mico_humeralifer	Callithrix_jacchus	3.1388	5.5146	8.086073242	0.255366260009674	0.0665997003995048	0.867317397326929	0.80574650784	3.08951047810548	337.57830436445	309.711638832566	27.866665531884	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Cebus_olivaceus	Saimiri_oerstedii	1.5633	9.5285	36.6614225674	0.856150910947493	0.301956176519194	0.982090045338572	0.999144603308228	2.83292288355041	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Cebidae	PLA	family
Eulemur_rufus	Eulemur_collaris	0.9828	2.6481	5.630114132	0.178997151609609	0.0463715703759165	0.793435706186672	0.69692413524938	2.6901705956117	337.57830436445	309.711638832566	27.866665531884	OU	Lemuridae	STR	Lemuridae	STR	family
Sapajus_apella	Saimiri_oerstedii	1.9839	9.5285	36.6614225684	0.810942118557532	0.30195617652743	0.975068388039252	0.99841229085259	2.68136452000785	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Cebidae	PLA	family
Cercopithecus_nictitans	Cercopithecus_mitis	1.2396	2.8025	5.193516448	0.167990541194174	0.0427756006042741	0.782880265131264	0.680691461456737	2.67324655600382	337.57830436445	309.711638832566	27.866665531884	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebus_albifrons	Saimiri_oerstedii	2.1912	9.5285	36.6614225676	0.788660181652066	0.301956176520841	0.970805154107614	0.997869281929227	2.60627147362559	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Cebidae	PLA	family
Saimiri_oerstedii	Alouatta_palliata	9.5285	0.6506	46.5475501474	0.954253775460848	0.383381748021491	0.98081047708064	0.999776671565792	2.48848743682461	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Atelidae	PLA	superfamily
Saimiri_oerstedii	Ateles_belzebuth	9.5285	1.3499	46.5475501444	0.879088515074972	0.383381747996782	0.969022843122027	0.999326912273735	2.29144140527146	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Atelidae	PLA	superfamily
Saimiri_oerstedii	Alouatta_seniculus	9.5285	1.5414	46.5475501478	0.85850486376095	0.383381748024785	0.964869572060207	0.999102065243686	2.23728434341079	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Atelidae	PLA	superfamily
Leontopithecus_rosalia	Saimiri_oerstedii	2.5028	9.5285	41.3912937971	0.755167410114473	0.340913034489521	0.950620226188585	0.996597074715054	2.20759418297736	337.57830436445	309.711638832566	27.866665531884	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Saimiri_oerstedii	Cheracebus_torquatus	9.5285	1.3165	49.0936032007	0.882678561831569	0.404351922972452	0.965077707649424	0.999353338759892	2.1815347416519	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Pitheciidae	PLA	superfamily
Saimiri_oerstedii	Ateles_geoffroyi	9.5285	1.7633	46.5475501444	0.834653624979846	0.383381747996782	0.959471209491494	0.998755321357335	2.17437255110488	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Atelidae	PLA	superfamily
Saimiri_oerstedii	Ateles_paniscus	9.5285	1.8238	46.5475501444	0.828150695974633	0.383381747996782	0.957882756498624	0.998641308048181	2.15718536057189	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Atelidae	PLA	superfamily
Saimiri_oerstedii	Cacajao_calvus	9.5285	1.4504	49.0936032004	0.868286128876229	0.404351922969981	0.962001042785977	0.999208146297216	2.14565215102096	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Pitheciidae	PLA	superfamily
Cercopithecus_nictitans	Cercopithecus_ascanius	1.2396	3.3233	9.5808815419	0.223969473853926	0.0789114593891388	0.774298641473968	0.7205282838945	2.04503049227518	337.57830436445	309.711638832566	27.866665531884	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saimiri_oerstedii	Plecturocebus_moloch	9.5285	1.8423	49.0936032016	0.826162197022626	0.404351922979865	0.951641696032841	0.99859115228195	2.04029760565203	337.57830436445	309.711638832566	27.866665531884	OU	Cebidae	PLA	Pitheciidae	PLA	superfamily
Leontopithecus_rosalia	Saguinus_oedipus	2.5028	6.8742	26.3249190833	0.469866179394851	0.216821153051459	0.874800801029546	0.938445091466437	2.03367431403031	337.57830436445	309.711638832566	27.866665531884	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Callimico_goeldii	Saimiri_oerstedii	3.1333	9.5285	41.3912937987	0.687397216101467	0.340913034502699	0.926373620034843	0.992322838474971	2.00086206042732	337.57830436445	309.711638832566	27.866665531884	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Mico_humeralifer	Saimiri_oerstedii	3.1388	9.5285	41.3912937957	0.686806040737357	0.34091303447799	0.926125472131164	0.992270321207413	1.99903547745883	337.57830436445	309.711638832566	27.866665531884	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Leontocebus_fuscicolis	Saimiri_oerstedii	3.1707	9.5285	41.3912937957	0.683377223625517	0.34091303447799	0.92467269827734	0.991959323327224	1.98843206263083	337.57830436445	309.711638832566	27.866665531884	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Saguinus_mystax	Saimiri_oerstedii	3.5777	9.5285	41.3912937957	0.639630246681356	0.34091303447799	0.904010661108174	0.986887241258406	1.851624507521	337.57830436445	309.711638832566	27.866665531884	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Eulemur_fulvus	Eulemur_collaris	0.9842	2.6481	7.651134656	0.178846670607836	0.0630173955337354	0.72100243158134	0.6452332051774	1.83120564622231	337.57830436445	309.711638832566	27.866665531884	OU	Lemuridae	STR	Lemuridae	STR	family
