Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_paniscus	Pan_troglodytes	15	24.64	4.786270704	0.371054657428791	0.0394213835788339	0.999954554966959	0.99928104152152	9.41209468449102	252.757792420657	251.078370212812	1.67942220784545	BM	Hominidae	APE	Hominidae	APE	family
Pan_paniscus	Gorilla_gorilla	15	26.52	20.238906202	0.443418013856813	0.16669464264491	0.982203612409725	0.9665475335345	2.61272208936827	252.757792420657	251.078370212812	1.67942220784545	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_gorilla	Hylobates_lar	26.52	4.12	45.7765141047	0.86220169361047	0.377031228073906	0.997815787741216	0.998072618329603	2.28182282538437	252.757792420657	251.078370212812	1.67942220784545	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pongo_pygmaeus	Hylobates_lar	25.64	4.12	45.7765141087	0.82832948421863	0.377031228106852	0.99675580170291	0.997111553963089	2.18985101913762	252.757792420657	251.078370212812	1.67942220784545	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Hylobates_lar	24.64	4.12	45.7765141047	0.789838337182448	0.377031228073906	0.994996601040639	0.995501648470701	2.08440681394719	252.757792420657	251.078370212812	1.67942220784545	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Piliocolobus_badius	Gorilla_gorilla	4.52	26.52	62.151576032	0.846805234795997	0.511901910758814	0.990193637931886	0.994986176384422	1.63801138155446	252.757792420657	251.078370212812	1.67942220784545	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_gorilla	5.28	26.52	62.1515760317	0.817551963048499	0.511901910756343	0.987346202219974	0.993255529735816	1.57687793085351	252.757792420657	251.078370212812	1.67942220784545	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Pongo_pygmaeus	4.52	25.64	62.151576036	0.812933025404157	0.511901910791759	0.986835215390423	0.992937833566531	1.56715753606367	252.757792420657	251.078370212812	1.67942220784545	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	5.58	26.52	62.1515760308	0.806004618937644	0.51190191074893	0.986034515425594	0.992436064296864	1.5525403542687	252.757792420657	251.078370212812	1.67942220784545	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	0.54	26.52	78.0653383507	1	0.642973170063805	0.99349636426853	0.998388006248706	1.54515990794754	252.757792420657	251.078370212812	1.67942220784545	BM	Callitrichidae	PLA	Hominidae	APE	order
