Trait	Primary Domain	Secondary Domain
Body_mass	Morphology	Body_Mass
Brain_mass	Morphology	Brain
Colour_vision	Physiology	Vestibular_and_Visual_Systems
Social_organization	Behavior	Social_organization
Coenspecific_violence	Behavior	Social_organization
Paternal_care	Behavior	Social_organization
Female_Ranging_patterns	Behavior	Social_organization
Infanticide	Behavior	Social_organization
Mating_system	Behavior	Social_organization
Gestation_length	Life_History	Reproduction
Weaning_age	Life_History	Reproduction
Weaning_prop	Life_History	Reproduction
Seasonal_breeders	Life_History	Reproduction
BodyMass_kg	Morphology	Body_Mass
BodyMassMale_kg	Morphology	Body_Mass
BodyMassFemale_kg	Morphology	Body_Mass
DielActivity	Behavior	Habitat_Use
TrophicGuild	Behavior	Diet
Locomotion	Behavior	Habitat_Use
IUCN_ER	Ecology	Conservation
IUCN_Pop_Trend	Ecology	Conservation
Habitat	Behavior	Habitat_Use
LitterSz	Life_History	Reproduction
BrainSizeSpeciesMean	Morphology	Brain
BrainSizeFemaleMean	Morphology	Brain
Body.MassMaleMean	Morphology	Body_Mass
BodyMassFemaleMean	Morphology	Body_Mass
MassDimorphism	Morphology	Sexual_Selection
MeanGroupSize	Behavior	Social_organization
AdultMales	Behavior	Social_organization
AdultFemale	Behavior	Social_organization
AdultSexRatio	Behavior	Social_organization
InterbirthInterval_days	Life_History	Reproduction
Gestation	Life_History	Reproduction
WeaningAge_d	Life_History	Reproduction
MaxLongevity_m	Life_History	Longevity
GR_MidRangeLat_dd	Ecology	Climate
Precip_Mean_mm	Ecology	Climate
Temp_Mean_degC	Ecology	Climate
AET_Mean_mm	Ecology	Climate
PET_Mean_mm	Ecology	Climate
HomeRange_km2	Behavior	Habitat_Use
DayLength_km	Behavior	Habitat_Use
Territoriality	Behavior	Habitat_Use
Fruit	Behavior	Diet
Leaves	Behavior	Diet
Fauna	Behavior	Diet
CanineDimorphism	Morphology	Sexual_Selection
Feed	Behavior	Habitat_Use
Move	Behavior	Habitat_Use
Rest	Behavior	Habitat_Use
Social	Behavior	Habitat_Use
Mating.System	Behavior	Social_organization
SocialSystem	Behavior	Social_organization
NatalDispersal	Behavior	Social_organization
StableGroups	Behavior	Social_organization
Body.mass..g.	Morphology	Body_Mass
Endocranial.volume..cm3.	Morphology	Brain
Neonatal.mass..g.	Morphology	Body_Mass
Offspring.per.litter	Life_History	Reproduction
Interbirth.interval..days.	Life_History	Reproduction
Gestation..days.	Life_History	Reproduction
Lactation..days.	Life_History	Reproduction
Age.of.female.at.first.reproduction..y.	Life_History	Reproduction
Maximum.lifespan..y.	Life_History	Longevity
Maximum.possible.reproductive.success.under.optimal.conditions..rmax.	Life_History	Reproduction
SocialMatingSystem	Behavior	Social_organization
Monopolization	Behavior	Social_organization
FemalesPerMaleInBreedingGroup	Behavior	Social_organization
MalesPerBreedingGroup	Behavior	Social_organization
SocialGroupSize	Behavior	Social_organization
MaleBodyMass.SexSzeDimorphismDataset..in.g	Morphology	Body_Mass
FemaleBodyMass.SexSizeDimorphismDataset..in.g	Morphology	Body_Mass
SexualSizeDimorphism	Morphology	Sexual_Selection
MaleCanineHeight.in.mm	Morphology	Sexual_Selection
FemaleCanineHeight.in.mm	Morphology	Sexual_Selection
SexualCanineDimorphism	Morphology	Sexual_Selection
MaleBodyMass.CanineDataset..in.g	Morphology	Body_Mass
CombinedTestesMass.in.g	Morphology	Sexual_Selection
MaleBodyMass.TestesDataset..in.g	Morphology	Body_Mass
meanMaleBodyMass.in.g	Morphology	Body_Mass
HeadFlesh	Morphology	Sexual_Selection
HeadSkin	Morphology	Sexual_Selection
HeadHair	Morphology	Sexual_Selection
BodyFlesh	Morphology	Sexual_Selection
BodySkin	Morphology	Sexual_Selection
BodyHair	Morphology	Sexual_Selection
BodyPelageDichrom	Morphology	Sexual_Selection
GenitalFlesh	Morphology	Sexual_Selection
GenitalSkin	Morphology	Sexual_Selection
GenitalHair	Morphology	Sexual_Selection
SexualOrnamentDimorphism..ExcludingDichromatism.	Morphology	Sexual_Selection
SexualOrnamentDimorphism	Morphology	Sexual_Selection
TotalOrnamentDimorphism	Morphology	Sexual_Selection
BasalMetabolicRate_ml_O2.h	Physiology	Energetics
RestingMetabolicRate_kcal.day	Physiology	Energetics
R_Ratio_MtoF_DLCBirths	Life_History	Reproduction
R_Mean_LitterSize	Life_History	Reproduction
R_MostCommon_LitterSize	Life_History	Reproduction
R_Freq_MostCommon_LitterSize	Life_History	Reproduction
R_Min_LitterSize	Life_History	Reproduction
R_Max_LitterSize	Life_History	Reproduction
R_Expected_Gestation_d	Life_History	Reproduction
R_Pattern_Breeding	Life_History	Reproduction
R_Peak_Breeding_Month	Life_History	Reproduction
R_Peak_Birth_Month	Life_History	Reproduction
R_Min_Dam_AgeAtConcep_y	Life_History	Reproduction
