species	trait_value
Alouatta_seniculus	0.59999999999999998
Aotus_trivirgatus	0.22
Ateles_geoffroyi	2.1899999999999999
Avahi_laniger	3.0099999999999998
Avahi_occidentalis	2.5499999999999998
Callimico_goeldii	0.51000000000000001
Callithrix_jacchus	0.33000000000000002
Carlito_syrichta	0.81999999999999995
Cebuella_pygmaea	0.39000000000000001
Cebus_albifrons	0.67000000000000004
Cheirogaleus_major	4.04
Cheirogaleus_medius	2.6600000000000001
Daubentonia_madagascariensis	8.3100000000000005
Eulemur_fulvus	3.21
Galago_senegalensis	2.5800000000000001
Galagoides_demidovii	1.26
Indri_indri	2.3199999999999998
Lagothrix_lagotricha	1.4299999999999999
Lepilemur_ruficaudatus	2.7200000000000002
Loris_tardigradus	2.2999999999999998
Microcebus_murinus	1.6200000000000001
Nycticebus_coucang	4.2800000000000002
Otolemur_crassicaudatus	2.52
Perodicticus_potto	2.7400000000000002
Pithecia_monachus	0.84999999999999998
Propithecus_verreauxi	3.3999999999999999
Saguinus_midas	0.28999999999999998
Saguinus_oedipus	0.40999999999999998
Saimiri_sciureus	0.98999999999999999
Varecia_variegata	5.2699999999999996
