species	trait_value
Allochrocebus_preussi	1255
Alouatta_palliata	1300
Alouatta_seniculus	1450
Aotus_azarae	1186
Aotus_lemurinus	1490
Aotus_miconax	1334
Aotus_nancymaae	1531
Aotus_nigriceps	1432
Ateles_belzebuth	1493
Ateles_geoffroyi	1344
Ateles_paniscus	1457
Avahi_laniger	1334
Cacajao_calvus	1516
Cacajao_melanocephalus	1581
Callicebus_personatus	1205
Callithrix_jacchus	913
Carlito_syrichta	1565
Cebuella_pygmaea	1483
Cebus_albifrons	1467
Cebus_capucinus	1382
Cercocebus_torquatus	1238
Cercopithecus_ascanius	1303
Cercopithecus_diana	1328
Cercopithecus_mitis	1116
Cercopithecus_mona	1142
Cercopithecus_neglectus	1330
Cercopithecus_pogonias	1270
Cercopithecus_wolfi	1431
Cheirogaleus_major	1320
Cheirogaleus_medius	900
Chiropotes_albinasus	1324
Chlorocebus_aethiops	805
Colobus_angolensis	1225
Colobus_guereza	1126
Eulemur_coronatus	1253
Eulemur_fulvus	1179
Eulemur_macaco	1189
Eulemur_rubriventer	1344
Euoticus_elegantulus	1298
Galago_moholi	852
Galago_senegalensis	837
Galagoides_demidovii	1291
Hapalemur_griseus	1339
Hylobates_lar	1278
Hylobates_muelleri	1679
Indri_indri	1343
Lagothrix_lagotricha	1517
Lemur_catta	839
Leontocebus_fuscicolis	1450
Leontocebus_nigricollis	1481
Leontopithecus_rosalia	1231
Lepilemur_mustelinus	1388
Lophocebus_albigena	1350
Macaca_assamensis	1021
Macaca_fascicularis	1553
Macaca_mulatta	902
Macaca_nemestrina	1681
Macaca_thibetana	961
Mico_argentatus	1413
Mico_humeralifer	1434
Microcebus_murinus	897
Microcebus_rufus	1320
Miopithecus_talapoin	1092
Nasalis_larvatus	1684
Nomascus_concolor	1062
Nycticebus_coucang	1665
Nycticebus_pygmaeus	1172
Otolemur_crassicaudatus	913
Papio_anubis	1020
Perodicticus_potto	1256
Phaner_furcifer	1471
Piliocolobus_badius	1122
Pithecia_irrorata	1388
Pithecia_monachus	1427
Pithecia_pithecia	1468
Plecturocebus_cupreus	1530
Plecturocebus_hoffmansi	1418
Plecturocebus_moloch	1330
Presbytis_frontata	1675
Presbytis_hosei	1702
Presbytis_melalophos	1828
Presbytis_rubicunda	1685
Presbytis_thomasi	1497
Propithecus_diadema	1343
Propithecus_verreauxi	800
Pygathrix_nemaeus	1211
Rhinopithecus_roxellana	749
Saguinus_bicolor	1447
Saguinus_geoffroyi	1563
Saguinus_leucopus	1500
Saguinus_midas	1441
Saguinus_mystax	1532
Saguinus_oedipus	1367
Saimiri_boliviensis	1418
Saimiri_oerstedii	1440
Saimiri_sciureus	1461
Sapajus_apella	1292
Semnopithecus_entellus	653
Semnopithecus_vetulus	1544
Trachypithecus_cristatus	1682
Trachypithecus_francoisi	1100
Trachypithecus_obscurus	1624
Trachypithecus_phayrei	1056
Trachypithecus_pileatus	1064
