species	trait_value
Aotus_trivirgatus	812.02941176470597
Callithrix_jacchus	182.93956043956001
Cebuella_pygmaea	170.26666666666699
Cheirogaleus_medius	58.1666666666667
Daubentonia_madagascariensis	494.37239583333297
Eulemur_albifrons	154.763888888889
Eulemur_collaris	117.738945578231
Eulemur_coronatus	167.20238095238099
Eulemur_flavifrons	269.95303030303
Eulemur_fulvus	100
Eulemur_macaco	195.604166666667
Eulemur_mongoz	356.03300000000002
Eulemur_rubriventer	300.84833333333302
Eulemur_rufifrons	127.951388888889
Eulemur_sanfordi	162.97499999999999
Galago_moholi	198.833333333333
Gorilla_gorilla	451.19813161375703
Hapalemur_griseus	167.08771929824599
Lemur_catta	197.69728260869601
Leontopithecus_chrysomelas	97.9583333333333
Leontopithecus_rosalia	245.171428571429
Loris_tardigradus	138
Macaca_arctoides	252.25757575757601
Macaca_fascicularis	303.05000000000001
Macaca_mulatta	181.594882085867
Macaca_nemestrina	179.614441778274
Macaca_nigra	117.833333333333
Mirza_zaza	136.79545454545499
Nomascus_leucogenys	186.5
Nycticebus_pygmaeus	43.6666666666667
Pan_paniscus	281.072420634921
Pan_troglodytes	259.53608153112799
Pongo_pygmaeus	327.30326278659601
Propithecus_coquereli	225.09300144300099
Propithecus_tattersalli	97.6666666666667
Saimiri_sciureus	230.42819285415399
Varecia_rubra	426.28137254901998
Varecia_variegata	322.48333333333301
