species	trait_value
Cheirogaleus_medius	126.5
Daubentonia_madagascariensis	1476.9666666666701
Eulemur_albifrons	3008.2222222222199
Eulemur_collaris	2831.3070175438602
Eulemur_coronatus	2725.79545454545
Eulemur_flavifrons	2487.7222222222199
Eulemur_fulvus	4182.5
Eulemur_macaco	2220.9000000000001
Eulemur_mongoz	2299.3863636363599
Eulemur_rubriventer	2759.3166666666698
Eulemur_sanfordi	4125.8703703703704
Galago_moholi	514.5
Hapalemur_griseus	746.70614035087704
Lemur_catta	1556.75231481481
Loris_tardigradus	553
Macaca_mulatta	250.24329624777701
Microcebus_murinus	38.5
Nycticebus_pygmaeus	619.16666666666697
Pan_troglodytes	30.553700185748099
Propithecus_coquereli	137.96406250000001
Propithecus_tattersalli	126.333333333333
Varecia_rubra	1842.0208333333301
Varecia_variegata	1346.9642857142901
