species	trait_value
Alouatta_caraya	53861
Alouatta_palliata	43520
Alouatta_seniculus	45911.230000000003
Aotus_trivirgatus	16681.48
Ateles_geoffroyi	96223.5
Ateles_paniscus	90700
Avahi_laniger	9751.6100000000006
Avahi_occidentalis	9222.7099999999991
Callimico_goeldii	10510.15
Callithrix_jacchus	7264.8100000000004
Carlito_syrichta	3366.6900000000001
Cebuella_pygmaea	4149.8599999999997
Cebus_albifrons	68906.679999999993
Cercocebus_agilis	91988
Cercocebus_atys	100897.78
Cercopithecus_ascanius	62298.989999999998
Cercopithecus_mitis	70744.580000000002
Cercopithecus_nictitans	64740
Cheirogaleus_major	6441.1700000000001
Cheirogaleus_medius	2931.0500000000002
Colobus_angolensis	71815
Daubentonia_madagascariensis	42472.290000000001
Erythrocebus_patas	100333.75
Eulemur_fulvus	22207.650000000001
Eulemur_mongoz	22240
Galago_senegalensis	4201.3299999999999
Galagoides_demidovii	3219.0599999999999
Gorilla_beringei	401096.46999999997
Gorilla_gorilla	424538.40000000002
Hylobates_lar	93644.160000000003
Hylobates_muelleri	98262.770000000004
Indri_indri	35978.669999999998
Lagothrix_lagotricha	95837.559999999998
Lemur_catta	21000
Leontopithecus_rosalia	12259
Lepilemur_ruficaudatus	7234.1099999999997
Lophocebus_albigena	102761.66
Loris_tardigradus	6560.1300000000001
Macaca_fascicularis	55600
Macaca_maura	80405
Macaca_mulatta	86070.350000000006
Mandrillus_sphinx	127610
Microcebus_murinus	1688.3299999999999
Miopithecus_talapoin	37963.110000000001
Nasalis_larvatus	92796.860000000001
Nomascus_concolor	115800
Nycticebus_coucang	11733.25
Otolemur_crassicaudatus	9293.7199999999993
Pan_paniscus	327248.03999999998
Pan_troglodytes	342043.78999999998
Papio_anubis	192076.56
Papio_cynocephalus	144300
Papio_hamadryas	159110
Perodicticus_potto	12679
Piliocolobus_badius	74040.529999999999
Pithecia_monachus	33034.529999999999
Pithecia_pithecia	28958
Plecturocebus_moloch	16071.799999999999
Pongo_abelii	333880
Pongo_pygmaeus	362486.46999999997
Propithecus_verreauxi	25322.400000000001
Pygathrix_nemaeus	72530.220000000001
Saguinus_geoffroyi	10135
Saguinus_midas	9643.8299999999999
Saguinus_oedipus	9472.9099999999999
Saimiri_sciureus	22429.259999999998
Sapajus_apella	66475
Semnopithecus_entellus	107540
Symphalangus_syndactylus	133890
Trachypithecus_francoisi	98552
Varecia_variegata	30064.509999999998
