species	trait_value
Aotus_trivirgatus	0.52636363636363603
Callithrix_jacchus	0.13177777777777799
Cebuella_pygmaea	0.20000000000000001
Cheirogaleus_medius	0.25
Daubentonia_madagascariensis	0.27994791666666702
Eulemur_albifrons	0.22430555555555601
Eulemur_collaris	0.170566893424036
Eulemur_coronatus	0.20476190476190501
Eulemur_flavifrons	0.43090909090909102
Eulemur_fulvus	0.27500000000000002
Eulemur_macaco	0.52812499999999996
Eulemur_mongoz	0.19826666666666701
Eulemur_rubriventer	0.36058333333333298
Eulemur_rufifrons	0.27858974358974398
Eulemur_sanfordi	0.24833333333333299
Galago_moholi	0.20000000000000001
Gorilla_gorilla	0.43306712962963001
Hapalemur_griseus	0.253070175438597
Lemur_catta	0.51552536231884105
Leontopithecus_chrysomelas	0.57499999999999996
Leontopithecus_rosalia	0.35714285714285698
Loris_tardigradus	0.43333333333333302
Macaca_arctoides	0.191477272727273
Macaca_fascicularis	0.13431372549019599
Macaca_mulatta	0.22701367522805299
Macaca_nemestrina	0.46666666666666701
Macaca_nigra	0.20000000000000001
Microcebus_murinus	0.45000000000000001
Mirza_zaza	0.44583333333333303
Nomascus_leucogenys	0.25
Nycticebus_pygmaeus	0.233333333333333
Pan_paniscus	0.21613095238095201
Pan_troglodytes	0.277934849622199
Pongo_pygmaeus	0.56978395061728404
Propithecus_coquereli	0.19397759103641499
Propithecus_tattersalli	0.266666666666667
Saimiri_sciureus	0.10000000000000001
Varecia_rubra	0.29907407407407399
Varecia_variegata	0.36233333333333301
