species	trait_value
Aotus_trivirgatus	19.882352941176499
Callithrix_jacchus	24.539772727272702
Cebuella_pygmaea	17.3055555555556
Cheirogaleus_medius	17.8333333333333
Daubentonia_madagascariensis	15.2552083333333
Eulemur_albifrons	20.875
Eulemur_collaris	17.308956916099799
Eulemur_coronatus	14.5178571428571
Eulemur_flavifrons	18.647727272727298
Eulemur_fulvus	14.25
Eulemur_macaco	15.602083333333301
Eulemur_mongoz	18.338999999999999
Eulemur_rubriventer	22.6875
Eulemur_rufifrons	13.365384615384601
Eulemur_sanfordi	13.875
Galago_moholi	32.6875
Gorilla_gorilla	13.0355654761905
Hapalemur_griseus	22.757894736842101
Lemur_catta	20.715942028985499
Leontopithecus_chrysomelas	11.9166666666667
Leontopithecus_rosalia	21.757142857142899
Loris_tardigradus	21.3333333333333
Macaca_arctoides	18.8087121212121
Macaca_fascicularis	17.02
Macaca_mulatta	18.596363578339801
Macaca_nemestrina	17.985910458754201
Macaca_nigra	11.1666666666667
Microcebus_murinus	21
Mirza_zaza	18.875
Nomascus_leucogenys	8
Nycticebus_pygmaeus	22
Pan_paniscus	10.728968253968301
Pan_troglodytes	11.754170206366799
Pongo_pygmaeus	15.4830687830688
Propithecus_coquereli	25.1570767195767
Propithecus_tattersalli	28.3333333333333
Saimiri_sciureus	23.3293787409172
Varecia_rubra	17.596296296296298
Varecia_variegata	15.303333333333301
