species	trait_value
Alouatta_caraya	4240
Alouatta_guariba	4550
Alouatta_palliata	5350
Alouatta_seniculus	5210
Aotus_azarae	1230
Aotus_lemurinus	716
Aotus_trivirgatus	933
Arctocebus_calabarensis	309
Ateles_belzebuth	8484
Ateles_fusciceps	9160
Ateles_geoffroyi	7290
Ateles_paniscus	8070
Avahi_laniger	1106
Cacajao_calvus	2880
Cacajao_melanocephalus	2710
Callimico_goeldii	484
Callithrix_jacchus	320
Callithrix_penicillata	328
Cebuella_pygmaea	116
Cebus_albifrons	2290
Cebus_capucinus	2437
Cebus_olivaceus	2633
Tarsius_bancanus	111
Cercocebus_atys	6200
Cercopithecus_ascanius	2901
Cercopithecus_cephus	2880
Cercopithecus_diana	3900
Cercopithecus_lowei	2097
Cercopithecus_mitis	4628
Cercopithecus_neglectus	4130
Cheirogaleus_major	400
Cheirogaleus_medius	140
Chlorocebus_aethiops	3576
Colobus_guereza	7506
Colobus_polykomos	6709
Daubentonia_madagascariensis	2555
Erythrocebus_patas	6500
Eulemur_fulvus	2292
Eulemur_macaco	2390
Eulemur_mongoz	1212
Eulemur_rubriventer	1960
Galago_moholi	148
Galago_senegalensis	194
Galagoides_demidovii	75
Galagoides_zanzibaricus	143
Gorilla_beringei	97500
Gorilla_gorilla	71500
Hapalemur_griseus	709
Hylobates_lar	5595
Indri_indri	6335
Lagothrix_lagotricha	7020
Lemur_catta	2210
Leontocebus_fuscicolis	401
Leontocebus_nigricollis	476
Leontopithecus_rosalia	609
Lepilemur_mustelinus	804
Lophocebus_albigena	6010
Loris_lydekkerianus	267
Loris_tardigradus	193
Macaca_arctoides	8400
Macaca_fascicularis	3518
Macaca_fuscata	8030
Macaca_maura	6050
Macaca_mulatta	5670
Macaca_nemestrina	6539
Macaca_nigra	5470
Macaca_radiata	3856
Macaca_silenus	6100
Macaca_sylvanus	9625
Mandrillus_leucophaeus	12500
Mandrillus_sphinx	12800
Mico_argentatus	345
Microcebus_murinus	65
Miopithecus_talapoin	1560
Mirza_coquereli	312
Nasalis_larvatus	9730
Nycticebus_bengalensis	1060
Nycticebus_coucang	653
Nycticebus_pygmaeus	307
Otolemur_crassicaudatus	1150
Otolemur_garnettii	1188
Pan_paniscus	33200
Pan_troglodytes	40367
Papio_anubis	13300
Papio_cynocephalus	12000
Papio_hamadryas	10300
Papio_ursinus	14800
Perodicticus_potto	835
Pithecia_monachus	2110
Pithecia_pithecia	1580
Plecturocebus_cupreus	1120
Pongo_abelii	41148
Pongo_pygmaeus	36948
Presbytis_comata	6695
Presbytis_melalophos	6567
Propithecus_diadema	6130
Propithecus_edwardsi	5682
Propithecus_verreauxi	2955
Pygathrix_nemaeus	8440
Saguinus_geoffroyi	517
Saguinus_midas	425
Saguinus_mystax	584
Saguinus_oedipus	431
Saimiri_sciureus	763
Sapajus_apella	2501
Semnopithecus_entellus	11340
Semnopithecus_hypoleucos	10130
Semnopithecus_johnii	11600
Semnopithecus_vetulus	5103
Symphalangus_syndactylus	11295
Tarsius_tarsier	117
Theropithecus_gelada	11700
Trachypithecus_cristatus	6060
Trachypithecus_geei	9500
Trachypithecus_obscurus	6765
Varecia_variegata	3575
