species	trait_value
Allenopithecus_nigroviridis	3180
Allocebus_trichotis	84
Allochrocebus_lhoesti	3450
Allochrocebus_solatus	3920
Alouatta_belzebul	5520
Alouatta_caraya	4240
Alouatta_guariba	4550
Alouatta_palliata	5350
Alouatta_pigra	6430
Alouatta_seniculus	5210
Aotus_azarae	1230
Aotus_lemurinus	716.10000000000002
Aotus_nancymaae	780
Aotus_nigriceps	1040
Aotus_trivirgatus	933.29999999999995
Aotus_vociferans	698
Arctocebus_calabarensis	306
Ateles_belzebuth	8484.3999999999996
Ateles_fusciceps	9160
Ateles_geoffroyi	7290
Ateles_paniscus	8070
Avahi_laniger	1307
Avahi_occidentalis	766.5
Brachyteles_arachnoides	8070
Cacajao_calvus	2880
Cacajao_melanocephalus	2710
Callicebus_personatus	1380
Callimico_goeldii	468
Callithrix_jacchus	322
Callithrix_penicillata	311.69999999999999
Carlito_syrichta	117
Cebuella_pygmaea	122
Cebus_albifrons	2290
Cebus_capucinus	2436.5
Cebus_olivaceus	2633.3000000000002
Tarsius_bancanus	123
Cercocebus_agilis	5660
Cercocebus_atys	6200
Cercocebus_galeritus	5260
Cercocebus_torquatus	5500
Cercopithecus_albogularis	4261.8999999999996
Cercopithecus_ascanius	2901
Cercopithecus_campbelli	2700
Cercopithecus_cephus	2880
Cercopithecus_diana	3900
Cercopithecus_erythrotis	2900
Cercopithecus_hamlyni	3360
Cercopithecus_mitis	4628
Cercopithecus_mona	2733
Cercopithecus_neglectus	4130
Cercopithecus_nictitans	4260
Cercopithecus_petaurista	2918.1999999999998
Cercopithecus_pogonias	2900
Cercopithecus_wolfi	2870
Cheirogaleus_major	362
Cheirogaleus_medius	139
Cheracebus_torquatus	1210
Chiropotes_satanas	2960
Chlorocebus_aethiops	3039
Chlorocebus_pygerythrus	3575.8000000000002
Chlorocebus_sabaeus	3700
Colobus_angolensis	7570
Colobus_guereza	7505.6000000000004
Colobus_polykomos	8300
Colobus_satanas	7420
Colobus_vellerosus	7220
Daubentonia_madagascariensis	2490
Erythrocebus_patas	6500
Eulemur_albifrons	2281
Eulemur_cinereiceps	2130
Eulemur_coronatus	1080
Eulemur_fulvus	2333.3000000000002
Eulemur_macaco	2430
Eulemur_mongoz	1281.5
Eulemur_rubriventer	1940
Eulemur_rufus	2270
Eulemur_sanfordi	1830
Euoticus_elegantulus	261
Galago_matschiei	212
Galago_moholi	147.19999999999999
Galago_senegalensis	188
Galagoides_demidovii	73.099999999999994
Galagoides_zanzibaricus	137
Gorilla_beringei	97500
Gorilla_gorilla	71500
Hapalemur_alaotrensis	1251
Hapalemur_griseus	670
Hoolock_hoolock	6350
Hylobates_agilis	5820
Hylobates_klossii	5920
Hylobates_lar	5380.8999999999996
Hylobates_moloch	6250
Hylobates_muelleri	6010.3000000000002
Hylobates_pileatus	5440
Indri_indri	6840
Lagothrix_lagotricha	7020
Lemur_catta	2210
Leontocebus_fuscicolis	396.60000000000002
Leontopithecus_chrysomelas	700
Leontopithecus_rosalia	598
Lepilemur_dorsalis	923
Lepilemur_edwardsi	934
Lepilemur_leucopus	594
Lepilemur_ruficaudatus	803
Lophocebus_albigena	6010
Lophocebus_aterrimus	5760
Loris_lydekkerianus	269
Loris_tardigradus	193
Macaca_arctoides	8400
Macaca_assamensis	6900
Macaca_cyclopis	4940
Macaca_fascicularis	3517.9000000000001
Macaca_fuscata	8030
Macaca_leonina	4762.6999999999998
Macaca_mulatta	5670.5
Macaca_nemestrina	6539.1999999999998
Macaca_nigra	5470
Macaca_ochreata	2600
Macaca_radiata	3855.6999999999998
Macaca_silenus	6100
Macaca_sinica	3200
Macaca_sylvanus	9625
