species	trait_value
Allenopithecus_nigroviridis	58.020000000000003
Allochrocebus_lhoesti	74.200000000000003
Alouatta_belzebul	52.840000000000003
Alouatta_caraya	52.630000000000003
Alouatta_guariba	51.700000000000003
Alouatta_palliata	49.880000000000003
Alouatta_pigra	51.130000000000003
Alouatta_seniculus	55.219999999999999
Aotus_azarae	20.670000000000002
Aotus_lemurinus	16.300000000000001
Aotus_trivirgatus	16.850000000000001
Arctocebus_calabarensis	6.9199999999999999
Ateles_belzebuth	117.02
Ateles_fusciceps	114.23999999999999
Ateles_geoffroyi	105.09
Ateles_paniscus	103.84999999999999
Avahi_laniger	9.8599999999999994
Avahi_occidentalis	7.9500000000000002
Brachyteles_arachnoides	116.72
Cacajao_calvus	76
Cacajao_melanocephalus	68.769999999999996
Callimico_goeldii	11.43
Callithrix_jacchus	7.2400000000000002
Callithrix_penicillata	7.3200000000000003
Carlito_syrichta	3.3599999999999999
Cebuella_pygmaea	4.1699999999999999
Cebus_albifrons	65.450000000000003
Cebus_capucinus	72.930000000000007
Cebus_olivaceus	69.840000000000003
Tarsius_bancanus	3.1600000000000001
Cercocebus_agilis	116.43000000000001
Cercocebus_atys	94.680000000000007
Cercocebus_galeritus	99.069999999999993
Cercocebus_torquatus	105.98999999999999
Cercopithecus_albogularis	70.099999999999994
Cercopithecus_ascanius	59.579999999999998
Cercopithecus_campbelli	57.390000000000001
Cercopithecus_cephus	65.260000000000005
Cercopithecus_diana	62.609999999999999
Cercopithecus_erythrotis	65.400000000000006
Cercopithecus_hamlyni	65.900000000000006
Cercopithecus_mitis	71.329999999999998
Cercopithecus_mona	61.840000000000003
Cercopithecus_neglectus	65.969999999999999
Cercopithecus_nictitans	71.129999999999995
Cercopithecus_petaurista	55.079999999999998
Cercopithecus_pogonias	59.560000000000002
Cercopithecus_wolfi	61.450000000000003
Cheirogaleus_major	5.8099999999999996
Cheirogaleus_medius	2.6000000000000001
Chiropotes_satanas	48.329999999999998
Chlorocebus_aethiops	65
Chlorocebus_pygerythrus	62.579999999999998
Chlorocebus_sabaeus	64.909999999999997
Colobus_angolensis	77.700000000000003
Colobus_guereza	74.390000000000001
Colobus_polykomos	73.829999999999998
Colobus_satanas	74.900000000000006
Colobus_vellerosus	73.069999999999993
Daubentonia_madagascariensis	44.850000000000001
Erythrocebus_patas	97.730000000000004
Eulemur_albifrons	21.449999999999999
Eulemur_cinereiceps	22.100000000000001
Eulemur_coronatus	20.649999999999999
Eulemur_fulvus	25.77
Eulemur_macaco	24.510000000000002
Eulemur_mongoz	20.170000000000002
Eulemur_rubriventer	26.23
Eulemur_rufus	25.399999999999999
Euoticus_elegantulus	5.5300000000000002
Galago_matschiei	4.6200000000000001
Galago_moholi	3.71
Galago_senegalensis	3.96
Galagoides_demidovii	2.6499999999999999
Galagoides_zanzibaricus	3.5099999999999998
Gorilla_beringei	491.26999999999998
Gorilla_gorilla	490.41000000000003
Hapalemur_alaotrensis	13.800000000000001
Hapalemur_griseus	14.09
Hoolock_hoolock	110.68000000000001
Hylobates_agilis	91.159999999999997
Hylobates_klossii	87.989999999999995
Hylobates_lar	101.87
Hylobates_muelleri	85.129999999999995
Hylobates_pileatus	84.689999999999998
Indri_indri	34.810000000000002
Lagothrix_lagotricha	96.5
Lemur_catta	22.899999999999999
Leontocebus_fuscicolis	7.9400000000000004
Leontopithecus_chrysomelas	11.84
Leontopithecus_rosalia	12.83
Lepilemur_dorsalis	6.7000000000000002
Lepilemur_edwardsi	7.25
Lepilemur_leucopus	6.8700000000000001
Lepilemur_ruficaudatus	8.25
Lophocebus_albigena	93.969999999999999
Lophocebus_aterrimus	101.59
Loris_lydekkerianus	6.3399999999999999
Loris_tardigradus	5.8700000000000001
Macaca_arctoides	100.7
Macaca_assamensis	90.459999999999994
Macaca_cyclopis	82
Macaca_fascicularis	63.979999999999997
Macaca_fuscata	102.92
Macaca_leonina	85.599999999999994
Macaca_mulatta	88.980000000000004
Macaca_nemestrina	105.59
Macaca_nigra	94.900000000000006
Macaca_radiata	74.870000000000005
Macaca_silenus	85
Macaca_sinica	69.700000000000003
Macaca_sylvanus	93.200000000000003
Mandrillus_leucophaeus	148
Mandrillus_sphinx	153.88
Mico_argentatus	7.9500000000000002
Microcebus_murinus	1.6299999999999999
Microcebus_rufus	1.72
Miopithecus_talapoin	37.350000000000001
Mirza_coquereli	5.7999999999999998
Nasalis_larvatus	92.299999999999997
Nomascus_gabriellae	119.38
Nycticebus_bengalensis	13.49
Nycticebus_coucang	10.130000000000001
Otolemur_crassicaudatus	11.779999999999999
Otolemur_garnettii	11.5
Pan_paniscus	341.29000000000002
Pan_troglodytes	368.35000000000002
Papio_anubis	167.41999999999999
Papio_cynocephalus	163.19
Papio_hamadryas	146.16999999999999
Papio_ursinus	178
Perodicticus_potto	12.42
Phaner_furcifer	6.6799999999999997
Piliocolobus_badius	63.590000000000003
Piliocolobus_kirkii	57.25
Piliocolobus_tephrosceles	70.950000000000003
Pithecia_pithecia	32.259999999999998
Pongo_abelii	389.5
Pongo_pygmaeus	377.38
Presbytis_comata	80.299999999999997
Presbytis_melalophos	64.849999999999994
Procolobus_verus	52.600000000000001
Propithecus_coquereli	30.190000000000001
Propithecus_deckenii	30.149999999999999
Propithecus_diadema	39.799999999999997
Propithecus_edwardsi	39.490000000000002
Propithecus_verreauxi	26.210000000000001
Pygathrix_nemaeus	91.409999999999997
