species	trait_value
Aotus_trivirgatus	27.914705882352902
Callithrix_jacchus	71.866003030303006
Cebuella_pygmaea	45.609166666666702
Cheirogaleus_medius	49.174999999999997
Daubentonia_madagascariensis	21.175520833333302
Eulemur_albifrons	20.731249999999999
Eulemur_collaris	17.209302721088399
Eulemur_coronatus	17.476964285714299
Eulemur_flavifrons	17.251051969696999
Eulemur_fulvus	16.829999999999998
Eulemur_macaco	18.4582083333333
Eulemur_mongoz	18.629166666666698
Eulemur_rubriventer	24.5058333333333
Eulemur_rufifrons	14.0363076923077
Eulemur_sanfordi	13.823995999999999
Galago_moholi	51.287500000000001
Gorilla_gorilla	14.607011970899499
Hapalemur_griseus	22.974077017543902
Lemur_catta	20.908628125
Loris_tardigradus	31.699999999999999
Macaca_arctoides	25.310324753787899
Macaca_fascicularis	19.780703299999999
Macaca_mulatta	20.350043589213801
Macaca_nemestrina	16.320724341630601
Macaca_nigra	11.236833333333299
Microcebus_murinus	44.600000000000001
Mirza_zaza	52.908333333333303
Nomascus_leucogenys	6.9320000000000004
Nycticebus_pygmaeus	56.1666666666667
Pan_paniscus	16.592757936507901
Pan_troglodytes	13.644396053252301
Pongo_pygmaeus	16.8015114638448
Propithecus_coquereli	34.523546918767501
Propithecus_tattersalli	28.1666666666667
Saimiri_sciureus	27.327725954601
Varecia_rubra	21.3584259259259
Varecia_variegata	19.125499999999999
