species	trait_value
Alouatta_seniculus	4924.5
Aotus_trivirgatus	1818.3299999999999
Ateles_geoffroyi	12438
Ateles_paniscus	10366.67
Avahi_laniger	1489
Avahi_occidentalis	1383
Callimico_goeldii	1240
Callithrix_jacchus	757
Carlito_syrichta	428
Cebuella_pygmaea	468
Cebus_albifrons	7871
Cercocebus_atys	8925
Cercopithecus_ascanius	5828
Cercopithecus_mitis	6758
Cheirogaleus_major	947
Cheirogaleus_medius	437
Daubentonia_madagascariensis	6461
Erythrocebus_patas	8458.6700000000001
Eulemur_fulvus	3328
Galago_senegalensis	672
Galagoides_demidovii	413
Gorilla_beringei	44135.089999999997
Gorilla_gorilla	59983.32
Hylobates_lar	11792.309999999999
Indri_indri	5504
Lagothrix_lagotricha	11268
Lepilemur_ruficaudatus	1165
Lophocebus_albigena	11213
Loris_tardigradus	728
Macaca_mulatta	7830.4200000000001
Microcebus_murinus	234
Miopithecus_talapoin	3374
Nasalis_larvatus	12113
Nycticebus_coucang	1310
Otolemur_crassicaudatus	1414
Pan_paniscus	44900
Pan_troglodytes	46879.550000000003
Papio_anubis	18683
Papio_cynocephalus	13783.33
Perodicticus_potto	1699
Piliocolobus_badius	8648
Pithecia_monachus	3908
Plecturocebus_moloch	1287
Pongo_pygmaeus	44765
Propithecus_verreauxi	3957
Pygathrix_nemaeus	8063
Saguinus_midas	1061
Saguinus_oedipus	984
Saimiri_sciureus	2023.6400000000001
Sapajus_apella	6475
Varecia_variegata	4286
