species	trait_value
Alouatta_sara	113.34999999999999
Callithrix_jacchus	10.800000000000001
Cebuella_pygmaea	6.96
Cheirogaleus_medius	3.7799999999999998
Chlorocebus_pygerythrus	74.060000000000002
Colobus_guereza	302.35000000000002
Eulemur_fulvus	41.210000000000001
Eulemur_macaco	53.979999999999997
Lemur_catta	67.810000000000002
Leontocebus_lagonotus	9.6600000000000001
Leontopithecus_chrysomelas	15.01
Macaca_arctoides	246.02000000000001
Macaca_nigra	178.31999999999999
Mandrillus_sphinx	436.69999999999999
Nomascus_concolor	344.52999999999997
Papio_hamadryas	458.67000000000002
Saguinus_oedipus	12.67
Saimiri_boliviensis	25.300000000000001
Sapajus_apella	44.409999999999997
Semnopithecus_vetulus	150.81
Symphalangus_syndactylus	406.85000000000002
Theropithecus_gelada	361.44999999999999
Varecia_rubra	82.569999999999993
