species	trait_value
Alouatta_caraya	49.200000000000003
Alouatta_guariba	49.100000000000001
Alouatta_palliata	51.200000000000003
Alouatta_seniculus	55.399999999999999
Aotus_azarae	20.699999999999999
Aotus_lemurinus	16.300000000000001
Aotus_trivirgatus	15.699999999999999
Arctocebus_calabarensis	7
Ateles_belzebuth	112.7
Ateles_fusciceps	108.7
Ateles_geoffroyi	103.40000000000001
Ateles_paniscus	110.90000000000001
Avahi_laniger	9.9000000000000004
Cacajao_calvus	74.299999999999997
Cacajao_melanocephalus	64.900000000000006
Callimico_goeldii	11.4
Callithrix_jacchus	8.1999999999999993
Callithrix_penicillata	7.2999999999999998
Cebuella_pygmaea	4.2000000000000002
Cebus_albifrons	66.099999999999994
Cebus_capucinus	69.200000000000003
Cebus_olivaceus	68.400000000000006
Tarsius_bancanus	3.2000000000000002
Cercocebus_atys	86.799999999999997
Cercopithecus_ascanius	56.700000000000003
Cercopithecus_cephus	60.700000000000003
Cercopithecus_diana	55.200000000000003
Cercopithecus_lowei	51.200000000000003
Cercopithecus_mitis	65.900000000000006
Cercopithecus_neglectus	60.899999999999999
Cheirogaleus_major	5.5999999999999996
Cheirogaleus_medius	2.5
Chlorocebus_aethiops	59.899999999999999
Colobus_guereza	72.599999999999994
Colobus_polykomos	71
Daubentonia_madagascariensis	44.799999999999997
Erythrocebus_patas	88.900000000000006
Eulemur_fulvus	24.800000000000001
Eulemur_macaco	22.699999999999999
Eulemur_mongoz	17.899999999999999
Eulemur_rubriventer	26.199999999999999
Galago_moholi	3.7000000000000002
Galago_senegalensis	3.8999999999999999
Galagoides_demidovii	2.6000000000000001
Galagoides_zanzibaricus	3.5
Gorilla_beringei	480.19999999999999
Gorilla_gorilla	433.5
Hapalemur_griseus	13.800000000000001
Hylobates_lar	101.5
Indri_indri	34.799999999999997
Lagothrix_lagotricha	89.299999999999997
Lemur_catta	22.100000000000001
Leontocebus_fuscicolis	8.3000000000000007
Leontocebus_nigricollis	8.9000000000000004
Leontopithecus_rosalia	12.800000000000001
Lepilemur_mustelinus	8.3000000000000007
Lophocebus_albigena	90.700000000000003
Loris_lydekkerianus	6.2999999999999998
Loris_tardigradus	5.5
Macaca_arctoides	99.799999999999997
Macaca_fascicularis	60.899999999999999
Macaca_fuscata	96.799999999999997
Macaca_maura	87.400000000000006
Macaca_mulatta	84.299999999999997
Macaca_nemestrina	98.099999999999994
Macaca_nigra	80.299999999999997
Macaca_radiata	70.5
Macaca_silenus	78
Macaca_sylvanus	92.900000000000006
Mandrillus_leucophaeus	126.3
Mandrillus_sphinx	136
Mico_argentatus	8
Microcebus_murinus	1.6000000000000001
Miopithecus_talapoin	34.799999999999997
Mirza_coquereli	5.7999999999999998
Nasalis_larvatus	84.799999999999997
Nycticebus_bengalensis	13.5
Nycticebus_coucang	10
Nycticebus_pygmaeus	7.2000000000000002
Otolemur_crassicaudatus	11.800000000000001
Otolemur_garnettii	10.9
Pan_paniscus	326.30000000000001
Pan_troglodytes	356.80000000000001
Papio_anubis	155.30000000000001
Papio_cynocephalus	149.5
Papio_hamadryas	138.30000000000001
Papio_ursinus	165
Perodicticus_potto	12.5
Pithecia_monachus	36.899999999999999
Pithecia_pithecia	32.600000000000001
Plecturocebus_cupreus	16.600000000000001
Pongo_abelii	346.10000000000002
Pongo_pygmaeus	337.69999999999999
Presbytis_comata	80.299999999999997
Presbytis_melalophos	59.200000000000003
Propithecus_diadema	38.299999999999997
Propithecus_edwardsi	39.5
Propithecus_verreauxi	26.199999999999999
Pygathrix_nemaeus	94.900000000000006
Saguinus_geoffroyi	10.199999999999999
Saguinus_midas	9.8000000000000007
Saguinus_mystax	11.1
Saguinus_oedipus	9.6999999999999993
Saimiri_sciureus	23.5
Sapajus_apella	64.200000000000003
Semnopithecus_entellus	95.200000000000003
Semnopithecus_hypoleucos	88.299999999999997
Semnopithecus_johnii	84.599999999999994
Semnopithecus_vetulus	59.899999999999999
Symphalangus_syndactylus	123.5
Tarsius_tarsier	3.2999999999999998
Theropithecus_gelada	124.5
Trachypithecus_cristatus	55
Trachypithecus_geei	81.299999999999997
Trachypithecus_obscurus	59.299999999999997
Varecia_variegata	30.300000000000001
