species	trait_value
Alouatta_sara	4325.71
Callithrix_jacchus	306.06
Cebuella_pygmaea	141.05000000000001
Cheirogaleus_medius	216.91
Chlorocebus_pygerythrus	5060.5
Colobus_guereza	9561.5799999999999
Eulemur_fulvus	2115.3600000000001
Eulemur_macaco	1726.0699999999999
Lemur_catta	1864.8
Leontocebus_lagonotus	318.81999999999999
Leontopithecus_chrysomelas	586.15999999999997
Macaca_arctoides	14187.559999999999
Macaca_nigra	5267.5
Mandrillus_sphinx	20667.900000000001
Nomascus_concolor	6475.6700000000001
Papio_hamadryas	22243.169999999998
Saguinus_oedipus	560.79999999999995
Saimiri_boliviensis	986.41999999999996
Sapajus_apella	1574.3
Semnopithecus_vetulus	3876.04
Symphalangus_syndactylus	7913.3999999999996
Theropithecus_gelada	10938.299999999999
Varecia_rubra	3135.2199999999998
