species	trait_value
Allenopithecus_nigroviridis	3180
Allochrocebus_lhoesti	3450
Alouatta_caraya	4330
Alouatta_guariba	4350
Alouatta_palliata	5350
Alouatta_pigra	6430
Alouatta_seniculus	5210
Aotus_trivirgatus	736
Ateles_geoffroyi	7640
Ateles_paniscus	8440
Avahi_laniger	1320
Brachyteles_arachnoides	8070
Cacajao_calvus	2880
Callithrix_jacchus	324
Callithrix_penicillata	307
Cebuella_pygmaea	122
Cebus_capucinus	2540
Cebus_olivaceus	2520
Cercocebus_torquatus	6200
Cercopithecus_ascanius	2920
Cercopithecus_cephus	2880
Cercopithecus_diana	3900
Cercopithecus_erythrogaster	2400
Cercopithecus_mitis	4250
Cercopithecus_mona	3700
Cercopithecus_neglectus	4130
Cercopithecus_nictitans	4260
Cercopithecus_petaurista	2900
Cercopithecus_pogonias	2900
Cercopithecus_wolfi	2870
Cheirogaleus_medius	282
Cheracebus_torquatus	1210
Chiropotes_satanas	2580
Chlorocebus_aethiops	2980
Chlorocebus_pygerythrus	2730
Colobus_angolensis	7570
Colobus_guereza	9200
Colobus_polykomos	8300
Colobus_satanas	7420
Erythrocebus_patas	6500
Eulemur_coronatus	1620
Eulemur_fulvus	2250
Eulemur_macaco	2510
Eulemur_mongoz	1610
Eulemur_rubriventer	1940
Gorilla_beringei	97500
Gorilla_gorilla	71500
Hapalemur_griseus	903
Hylobates_klossii	5920
Hylobates_lar	5340
Hylobates_pileatus	5440
Lagothrix_lagotricha	7020
Lemur_catta	2210
Leontocebus_fuscicolis	358
Lophocebus_albigena	6020
Macaca_fascicularis	3590
Macaca_fuscata	8030
Macaca_mulatta	8800
Macaca_nemestrina	6500
Macaca_nigra	5470
Macaca_silenus	6100
Macaca_sinica	3200
Macaca_sylvanus	11000
Macaca_tonkeana	9000
Mandrillus_leucophaeus	12500
Mandrillus_sphinx	12900
Miopithecus_talapoin	1120
Nasalis_larvatus	9820
Nomascus_concolor	7620
Pan_paniscus	33200
Pan_troglodytes	45800
Papio_anubis	13300
Papio_cynocephalus	12300
Papio_hamadryas	11400
Papio_ursinus	14800
Piliocolobus_badius	8210
Pithecia_pithecia	1580
Plecturocebus_moloch	956
Pongo_abelii	35600
Pongo_pygmaeus	35800
Presbytis_comata	6710
Presbytis_melalophos	6470
Procolobus_verus	4200
Propithecus_verreauxi	2950
Pygathrix_nemaeus	8440
Rhinopithecus_roxellana	11600
Saguinus_midas	575
Saguinus_oedipus	404
Saimiri_boliviensis	711
Saimiri_oerstedii	680
Saimiri_sciureus	662
Sapajus_apella	2520
Semnopithecus_entellus	9890
Semnopithecus_vetulus	5900
Symphalangus_syndactylus	10700
Theropithecus_gelada	11700
Trachypithecus_cristatus	5760
Trachypithecus_francoisi	7350
Trachypithecus_obscurus	6260
Trachypithecus_pileatus	9860
