species	trait_value
Allenopithecus_nigroviridis	-0.17000000000000001
Allocebus_trichotis	-16.59
Allochrocebus_lhoesti	-1.1299999999999999
Allochrocebus_preussi	4.7800000000000002
Allochrocebus_solatus	-0.80000000000000004
Alouatta_belzebul	-6.7999999999999998
Alouatta_caraya	-20.34
Alouatta_guariba	-21.129999999999999
Alouatta_palliata	6.9500000000000002
Alouatta_pigra	18.800000000000001
Alouatta_seniculus	0.68000000000000005
Aotus_azarae	-17.050000000000001
Aotus_nancymaae	-4.5899999999999999
Aotus_nigriceps	-7.7199999999999998
Aotus_trivirgatus	4.1500000000000004
Aotus_vociferans	1.0600000000000001
Arctocebus_calabarensis	5.5199999999999996
Ateles_belzebuth	-0.44
Ateles_geoffroyi	12.380000000000001
Ateles_paniscus	2.0600000000000001
Avahi_laniger	-19.629999999999999
Avahi_occidentalis	-17.379999999999999
Brachyteles_arachnoides	-22.66
Cacajao_calvus	-5.7300000000000004
Cacajao_melanocephalus	0.53000000000000003
Callicebus_personatus	-19.25
Callimico_goeldii	-5.3300000000000001
Callithrix_aurita	-23.149999999999999
Callithrix_jacchus	-6.5800000000000001
Callithrix_penicillata	-12.68
Carlito_syrichta	9.0700000000000003
Cebuella_pygmaea	-5.96
Cebus_albifrons	-0.81999999999999995
Cebus_capucinus	8.7400000000000002
Cebus_olivaceus	4.7800000000000002
Tarsius_bancanus	0.56000000000000005
Cercocebus_atys	7.9199999999999999
Cercocebus_galeritus	-2.1000000000000001
Cercocebus_torquatus	4.2000000000000002
Cercopithecus_ascanius	-2.71
Cercopithecus_campbelli	8.5299999999999994
Cercopithecus_cephus	-0.41999999999999998
Cercopithecus_diana	6.6500000000000004
Cercopithecus_mitis	-1.8999999999999999
Cercopithecus_neglectus	-1.1100000000000001
Cercopithecus_nictitans	1.6899999999999999
Cercopithecus_petaurista	8.9299999999999997
Cercopithecus_pogonias	1.53
Cheirogaleus_major	-18.760000000000002
Cheirogaleus_medius	-19.030000000000001
Colobus_angolensis	-4.1600000000000001
Colobus_guereza	5.1500000000000004
Colobus_polykomos	9.0600000000000005
Colobus_satanas	1.97
Colobus_vellerosus	7.4400000000000004
Daubentonia_madagascariensis	-18.789999999999999
Erythrocebus_patas	7.9699999999999998
Eulemur_coronatus	-13.06
Eulemur_fulvus	-16.640000000000001
Eulemur_macaco	-13.94
Eulemur_mongoz	-16.109999999999999
Eulemur_rubriventer	-18.449999999999999
Eulemur_rufus	-19.510000000000002
Eulemur_sanfordi	-12.779999999999999
Euoticus_elegantulus	-0.26000000000000001
Galago_matschiei	-0.33000000000000002
Galago_moholi	-13.460000000000001
Galago_senegalensis	1.95
Galagoides_demidovii	-0.14000000000000001
Galagoides_zanzibaricus	-11.84
Gorilla_gorilla	0.88
Hapalemur_aureus	-21.66
Hapalemur_griseus	-19.449999999999999
Hoolock_hoolock	23.440000000000001
Hylobates_agilis	0.16
Hylobates_lar	13.68
Hylobates_moloch	-7
Hylobates_muelleri	1.1299999999999999
Hylobates_pileatus	12.92
Indri_indri	-17.23
Lagothrix_lagotricha	0.02
Lemur_catta	-23.050000000000001
Leontocebus_fuscicolis	-5.2800000000000002
Leontopithecus_chrysomelas	-15.01
Leontopithecus_chrysopygus	-21.989999999999998
Leontopithecus_rosalia	-22.100000000000001
Lepilemur_dorsalis	-13.789999999999999
Lepilemur_edwardsi	-17.309999999999999
Lepilemur_leucopus	-24.5
Lepilemur_microdon	-21.5
Lepilemur_mustelinus	-15.859999999999999
Lepilemur_ruficaudatus	-21.579999999999998
Lophocebus_albigena	0.22
Lophocebus_aterrimus	-1.6499999999999999
Loris_tardigradus	6.75
Macaca_assamensis	23.010000000000002
Macaca_fascicularis	4.1299999999999999
Macaca_fuscata	35.880000000000003
Macaca_mulatta	25.07
Macaca_nemestrina	3.04
Macaca_radiata	14.59
Macaca_silenus	13.19
Macaca_sinica	7.8700000000000001
Macaca_sylvanus	34.210000000000001
Macaca_thibetana	28.379999999999999
Mandrillus_leucophaeus	5.21
Mandrillus_sphinx	-0.76000000000000001
Mico_argentatus	-3.0899999999999999
Mico_humeralifer	-5.3600000000000003
Microcebus_murinus	-18.949999999999999
Microcebus_myoxinus	-20.079999999999998
Microcebus_rufus	-19.32
Miopithecus_talapoin	-7.6799999999999997
Mirza_coquereli	-18.34
Nasalis_larvatus	1.4199999999999999
Nomascus_concolor	22.699999999999999
Nomascus_leucogenys	20.91
Nycticebus_coucang	0.27000000000000002
Nycticebus_pygmaeus	16.940000000000001
Otolemur_crassicaudatus	-14.710000000000001
Otolemur_garnettii	-4.6100000000000003
Pan_paniscus	-1.6599999999999999
Pan_troglodytes	2.2000000000000002
Papio_anubis	8.0399999999999991
Papio_cynocephalus	-5.96
Papio_hamadryas	12.720000000000001
Papio_ursinus	-24.420000000000002
Perodicticus_potto	1.77
Phaner_furcifer	-15.35
Piliocolobus_badius	9.6899999999999995
Piliocolobus_preussi	5.1699999999999999
Piliocolobus_rufomitratus	-2.5800000000000001
Pithecia_irrorata	-8.1500000000000004
Pithecia_pithecia	2.9199999999999999
Plecturocebus_donacophilus	-15.869999999999999
Plecturocebus_hoffmansi	-3.9700000000000002
Plecturocebus_moloch	-7.7000000000000002
