species	trait_value
Aotus_trivirgatus	3
Callithrix_jacchus	2.0136363636363601
Cheirogaleus_medius	2.3500000000000001
Daubentonia_madagascariensis	1.88984375
Eulemur_albifrons	2.0472222222222198
Eulemur_collaris	1.85801587301587
Eulemur_coronatus	1.8488095238095199
Eulemur_flavifrons	1.82007575757576
Eulemur_fulvus	1.75
Eulemur_macaco	1.8272222222222201
Eulemur_mongoz	1.37126666666667
Eulemur_rubriventer	1.8350833333333301
Eulemur_sanfordi	1.8625
Galago_moholi	2.6499999999999999
Gorilla_gorilla	3.3974659863945602
Hapalemur_griseus	1.2869298245614
Lemur_catta	1.70303703703704
Loris_tardigradus	3.5
Macaca_arctoides	3.4140625
Macaca_fascicularis	3.38620689655172
Macaca_mulatta	3.0115974838295401
Macaca_nemestrina	3.7333333333333298
Microcebus_murinus	2.7000000000000002
Mirza_zaza	2.1083333333333298
Nycticebus_pygmaeus	3.5166666666666702
Pan_paniscus	3.26996031746032
Pan_troglodytes	3.6398036341423601
Pongo_pygmaeus	3.2088507326007298
Propithecus_coquereli	2.2237394957983199
Propithecus_tattersalli	1.86666666666667
Saimiri_sciureus	2.7695801100608799
Varecia_rubra	1.7724074074074101
Varecia_variegata	2.0963333333333298
