species	trait_value
Callithrix_jacchus	149.891791044776
Cebuella_pygmaea	155.805555555556
Cheirogaleus_medius	100.5
Daubentonia_madagascariensis	175.895833333333
Eulemur_albifrons	115.069444444444
Eulemur_collaris	159.81264172335599
Eulemur_coronatus	111.208333333333
Eulemur_flavifrons	108.083333333333
Eulemur_fulvus	97.5
Eulemur_macaco	84.867708333333297
Eulemur_mongoz	129.245
Eulemur_rubriventer	125.871666666667
Eulemur_rufifrons	116.75256410256399
Eulemur_sanfordi	137.22499999999999
Galago_moholi	148.1875
Gorilla_gorilla	78.548495370370404
Hapalemur_griseus	140.19824561403499
Lemur_catta	159.85944444444399
Leontopithecus_chrysomelas	146.166666666667
Leontopithecus_rosalia	124.889285714286
Loris_tardigradus	107.833333333333
Macaca_arctoides	60.085227272727302
Macaca_fascicularis	64.8055555555556
Macaca_mulatta	70.439323602025993
Macaca_nemestrina	67.472482324609203
Macaca_nigra	70.8333333333333
Microcebus_murinus	113
Mirza_zaza	132.625
Nomascus_leucogenys	164.5
Nycticebus_pygmaeus	154.166666666667
Pan_paniscus	79.198809523809501
Pan_troglodytes	92.911735192067994
Pongo_pygmaeus	98.448941798941803
Propithecus_coquereli	144.77943121693099
Propithecus_tattersalli	140.666666666667
Saimiri_sciureus	78.926979270729305
Varecia_rubra	119.076470588235
Varecia_variegata	105.65333333333299
