species	trait_value
Alouatta_caraya	178
Ateles_geoffroyi	200
Avahi_laniger	26
Cebuella_pygmaea	6
Cebus_albifrons	216
Cercocebus_agilis	316
Cercopithecus_mitis	268
Colobus_angolensis	76
Galagoides_demidovii	10
Gorilla_gorilla	799.75
Hylobates_lar	234
Hylobates_muelleri	222
Indri_indri	100
Leontopithecus_rosalia	8
Lophocebus_albigena	342
Loris_tardigradus	6
Macaca_maura	362
Pan_paniscus	531.33000000000004
Pan_troglodytes	1273
Perodicticus_potto	32
Piliocolobus_badius	144
Pithecia_pithecia	80
Pongo_abelii	397
Pongo_pygmaeus	512
Saguinus_geoffroyi	18
Saguinus_oedipus	14
Symphalangus_syndactylus	396
Trachypithecus_francoisi	498
Varecia_variegata	88
