species	trait_value
Callithrix_jacchus	14.8921875
Cebuella_pygmaea	13.4305555555556
Cheirogaleus_medius	16.074999999999999
Daubentonia_madagascariensis	16.094010416666698
Eulemur_albifrons	12.877083333333299
Eulemur_collaris	14.0957369614512
Eulemur_coronatus	15.3232142857143
Eulemur_flavifrons	14.7892028985507
Eulemur_fulvus	14.2916666666667
Eulemur_macaco	14.6076041666667
Eulemur_mongoz	13.8697
Eulemur_rubriventer	15.614333333333301
Eulemur_rufifrons	14.007261904761901
Eulemur_sanfordi	14.067500000000001
Galago_moholi	14.0875
Gorilla_gorilla	12.1574120082816
Hapalemur_griseus	13.7578703703704
Lemur_catta	14.883315972222199
Leontopithecus_chrysomelas	15.915277777777799
Leontopithecus_rosalia	14.2182142857143
Loris_tardigradus	13.699999999999999
Macaca_arctoides	12.0161290322581
Macaca_fascicularis	13.71875
Macaca_mulatta	13.233958530522999
Macaca_nemestrina	12.234780396285499
Macaca_nigra	10.9
Microcebus_murinus	15.4
Mirza_zaza	14.953333333333299
Nomascus_leucogenys	15.199999999999999
Nycticebus_pygmaeus	13.5666666666667
Pan_paniscus	13.2780519480519
Pan_troglodytes	14.581027171144299
Pongo_pygmaeus	12.5071031746032
Propithecus_coquereli	12.989880952381
Propithecus_tattersalli	12.5
Saguinus_oedipus	14.0304360465116
Saimiri_sciureus	14.015320970695999
Varecia_rubra	15.1650925925926
Varecia_variegata	15.9643333333333
