species	trait_value
Alouatta_seniculus	1320
Aotus_trivirgatus	539
Ateles_geoffroyi	1366
Avahi_laniger	526
Avahi_occidentalis	476
Callimico_goeldii	281
Callithrix_jacchus	221
Carlito_syrichta	153
Cebuella_pygmaea	133
Cebus_albifrons	890
Cercopithecus_ascanius	1189
Cercopithecus_mitis	1366
Cheirogaleus_major	347
Cheirogaleus_medius	174
Daubentonia_madagascariensis	1776
Erythrocebus_patas	1591
Eulemur_fulvus	752
Galago_senegalensis	261
Galagoides_demidovii	152
Gorilla_beringei	2969.4699999999998
Gorilla_gorilla	4071.3200000000002
Hylobates_lar	2141.5
Indri_indri	1520
Lagothrix_lagotricha	1586
Lepilemur_ruficaudatus	392
Lophocebus_albigena	1485
Loris_tardigradus	191
Macaca_mulatta	1353
Microcebus_murinus	100
Miopithecus_talapoin	705
Nasalis_larvatus	1966
Nomascus_concolor	1900
Nycticebus_coucang	566
Otolemur_crassicaudatus	461
Pan_paniscus	3305
Pan_troglodytes	3009.7399999999998
Papio_anubis	3398
Perodicticus_potto	607
Piliocolobus_badius	1671
Pithecia_monachus	834
Pongo_pygmaeus	2614
Propithecus_verreauxi	1043
Pygathrix_nemaeus	2295
Saguinus_midas	280
Saguinus_oedipus	262
Saimiri_sciureus	352
Varecia_variegata	1404
