species	trait_value
Alouatta_caraya	544
Ateles_geoffroyi	832
Avahi_laniger	76
Cebuella_pygmaea	22
Cebus_albifrons	594
Cercocebus_agilis	758
Cercopithecus_mitis	1228
Colobus_angolensis	444
Galagoides_demidovii	24
Gorilla_beringei	2714.7199999999998
Gorilla_gorilla	2752.5999999999999
Hylobates_lar	578
Hylobates_muelleri	1078
Indri_indri	334
Leontopithecus_rosalia	74
Lophocebus_albigena	1072
Macaca_maura	984
Pan_paniscus	3279
Pan_troglodytes	3133.3299999999999
Perodicticus_potto	62
Piliocolobus_badius	482
Pithecia_pithecia	558
Pongo_abelii	2313.5
Pongo_pygmaeus	3289
Saguinus_geoffroyi	46
Saguinus_oedipus	52
Symphalangus_syndactylus	832
Trachypithecus_francoisi	1250
Varecia_variegata	200
