species	trait_value
Alouatta_sara	9.8599999999999994
Callithrix_jacchus	2.9399999999999999
Cebuella_pygmaea	1.9099999999999999
Cheirogaleus_medius	1
Chlorocebus_pygerythrus	12.109999999999999
Colobus_guereza	23.25
Eulemur_fulvus	9.5199999999999996
Eulemur_macaco	14.16
Lemur_catta	11.199999999999999
Leontocebus_lagonotus	1.9299999999999999
Leontopithecus_chrysomelas	4.1299999999999999
Macaca_arctoides	49.950000000000003
Macaca_nigra	18.640000000000001
Mandrillus_sphinx	49.869999999999997
Nomascus_concolor	35.210000000000001
Papio_hamadryas	80.310000000000002
Saguinus_oedipus	3.1499999999999999
Saimiri_boliviensis	6.7000000000000002
Sapajus_apella	10.4
Semnopithecus_vetulus	15.41
Symphalangus_syndactylus	43.719999999999999
Theropithecus_gelada	38.039999999999999
Varecia_rubra	22.41
